Protein IDs	Reporter intensity corrected 1 PNNL SC boost50ng_run1	Reporter intensity corrected 2 PNNL SC boost50ng_run1	Reporter intensity corrected 3 PNNL SC boost50ng_run1	Reporter intensity corrected 4 PNNL SC boost50ng_run1	Reporter intensity corrected 5 PNNL SC boost50ng_run1	Reporter intensity corrected 6 PNNL SC boost50ng_run1	Reporter intensity corrected 7 PNNL SC boost50ng_run1	Reporter intensity corrected 8 PNNL SC boost50ng_run1	Reporter intensity corrected 9 PNNL SC boost50ng_run1	Reporter intensity corrected 10 PNNL SC boost50ng_run1	Reporter intensity 1 PNNL SC boost50ng_run1	Reporter intensity 2 PNNL SC boost50ng_run1	Reporter intensity 3 PNNL SC boost50ng_run1	Reporter intensity 4 PNNL SC boost50ng_run1	Reporter intensity 5 PNNL SC boost50ng_run1	Reporter intensity 6 PNNL SC boost50ng_run1	Reporter intensity 7 PNNL SC boost50ng_run1	Reporter intensity 8 PNNL SC boost50ng_run1	Reporter intensity 9 PNNL SC boost50ng_run1	Reporter intensity 10 PNNL SC boost50ng_run1
CON__P15636	9219.3	10450	12246	9399.4	7251	10282	4831.1	114440	13333	4123800	9219.3	10450	12246	9399.4	7251	10282	4831.1	114440	13333	4123800
CON__P34955	21195	25345	24613	15906	21216	18116	24372	90730	22764	2997800	21195	25345	24613	15906	21216	18116	24372	90730	22764	2997800
CON__P62894;P99999	1997.3	1566.8	2802.3	888.2	2543.4	1796.9	2822.9	17176	1946.6	406950	1997.3	1566.8	2802.3	888.2	2543.4	1796.9	2822.9	17176	1946.6	406950
CON__Q29443;CON__Q0IIK2	537.38	782.47	387.75	0	0	519.72	0	9286.6	1157.9	261840	537.38	782.47	387.75	0	0	519.72	0	9286.6	1157.9	261840
CON__Q28194;P35442	319.89	857.19	399.28	621.51	619.34	0	0	2143.7	643.57	62094	319.89	857.19	399.28	621.51	619.34	0	0	2143.7	643.57	62094
CON__Q3SX14;P06396	15805	18833	24212	9337.3	18602	13491	14085	68673	11512	2813100	15805	18833	24212	9337.3	18602	13491	14085	68673	11512	2813100
CON__Q3SZV7	868.56	1485.6	2097.1	415.69	856.12	815.13	0	5423	742.09	204400	868.56	1485.6	2097.1	415.69	856.12	815.13	0	5423	742.09	204400
CON__Q3ZBD7;P06744	3056.1	3566.4	4964.4	1917	2497.1	3860.5	3325.2	36799	3093	1674400	3056.1	3566.4	4964.4	1917	2497.1	3860.5	3325.2	36799	3093	1674400
CON__Q3ZBS7	698.18	719.75	917.38	480.82	548.17	461.65	379.59	5808.5	885.98	194920	698.18	719.75	917.38	480.82	548.17	461.65	379.59	5808.5	885.98	194920
CON__Q86YZ3;Q86YZ3	12418	17387	20093	18440	20655	26761	22356	12319	20732	4278.3	12418	17387	20093	18440	20655	26761	22356	12319	20732	4278.3
E9PAV3;Q13765;Q9BZK3	18962	17645	18146	9596.4	8135.2	12078	10386	99007	10976	3777000	18962	17645	18146	9596.4	8135.2	12078	10386	99007	10976	3777000
O00151	523.75	557.66	1023.4	328.08	531.58	479.87	971.95	7197.7	650.2	223370	523.75	557.66	1023.4	328.08	531.58	479.87	971.95	7197.7	650.2	223370
O00154	4156.3	2738.6	4734.9	3440.9	3854	3363	4986.1	20700	6461	672710	4156.3	2738.6	4734.9	3440.9	3854	3363	4986.1	20700	6461	672710
O00159	5010.1	7201.4	7454.2	3283.1	3851.8	3862.5	4995.7	41835	4420.7	1277200	5010.1	7201.4	7454.2	3283.1	3851.8	3862.5	4995.7	41835	4420.7	1277200
O00231	3263.3	4506.3	2919.7	3921.7	5291.8	2412.4	2925.9	11439	4616.9	366670	3263.3	4506.3	2919.7	3921.7	5291.8	2412.4	2925.9	11439	4616.9	366670
O00232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O00264;O15173	2623.2	2428.2	2605.8	1807.2	1618.3	2225.9	1876.6	18598	2959.6	739220	2623.2	2428.2	2605.8	1807.2	1618.3	2225.9	1876.6	18598	2959.6	739220
O00299	20873	24841	29853	13306	19866	20077	20647	128960	19855	4706200	20873	24841	29853	13306	19866	20077	20647	128960	19855	4706200
O00303	14257	16052	17065	13916	15604	14070	55360	47387	11898	1758000	14257	16052	17065	13916	15604	14070	55360	47387	11898	1758000
O00330	1014.4	999.45	1709.9	1020.3	1426.3	831.97	1896.9	2412.3	2211.6	35890	1014.4	999.45	1709.9	1020.3	1426.3	831.97	1896.9	2412.3	2211.6	35890
O00410	4883.7	9259.5	8802.5	7265.8	9686.1	12717	17933	35066	9792.2	1037000	4883.7	9259.5	8802.5	7265.8	9686.1	12717	17933	35066	9792.2	1037000
O00429	508.36	456.1	936.42	474.15	930.31	664.67	725.92	2296.3	744.31	63843	508.36	456.1	936.42	474.15	930.31	664.67	725.92	2296.3	744.31	63843
O00461	1227.5	1820	1974.7	512.95	1144.6	1412.5	1247.3	8254.4	1257.7	228010	1227.5	1820	1974.7	512.95	1144.6	1412.5	1247.3	8254.4	1257.7	228010
O00469	3445.1	9781.6	4680	3406.1	5055.5	3673.5	6706.3	29979	5053	977610	3445.1	9781.6	4680	3406.1	5055.5	3673.5	6706.3	29979	5053	977610
O00483	7305.4	9872.3	10416	4231.1	4996.7	5415.6	5232.9	55877	7125	2111000	7305.4	9872.3	10416	4231.1	4996.7	5415.6	5232.9	55877	7125	2111000
O00499	269.09	681.95	465.49	0	541.03	362.62	521.02	2162.8	0	70496	269.09	681.95	465.49	0	541.03	362.62	521.02	2162.8	0	70496
O00534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O00567	1973.3	2777.4	3050.6	2408.6	3444.2	2854.1	2201	19810	2485.4	728730	1973.3	2777.4	3050.6	2408.6	3444.2	2854.1	2201	19810	2485.4	728730
O00571;O15523;Q9NQI0	23967	31405	36047	20489	38495	30462	52423	163570	31858	5006900	23967	31405	36047	20489	38495	30462	52423	163570	31858	5006900
O00629;O00505	6233.8	8002.9	7191.1	3357.7	4645.4	3843.7	5409.3	16466	3737.8	423330	6233.8	8002.9	7191.1	3357.7	4645.4	3843.7	5409.3	16466	3737.8	423330
O14497	4109.6	6503.5	5199.2	1914.6	3720.4	3206.7	2858.8	19645	3854.7	876270	4109.6	6503.5	5199.2	1914.6	3720.4	3206.7	2858.8	19645	3854.7	876270
P47813;O14602	7209.8	9437	12383	4467.8	13097	7851.7	13881	83048	10258	2867700	7209.8	9437	12383	4467.8	13097	7851.7	13881	83048	10258	2867700
O14639	1040.1	1673	1051.2	812.23	843.26	993.37	965.65	8220.7	695.18	311890	1040.1	1673	1051.2	812.23	843.26	993.37	965.65	8220.7	695.18	311890
O14737	1779.1	1111.5	2079.9	1197.1	2905.2	1410	2803.6	3808.2	1743.1	46973	1779.1	1111.5	2079.9	1197.1	2905.2	1410	2803.6	3808.2	1743.1	46973
O14744	457.46	355.86	294.82	440.23	0	498.06	432.41	2016.7	0	73698	457.46	355.86	294.82	440.23	0	498.06	432.41	2016.7	0	73698
O14745	8852.3	14897	15846	4772.4	6818	7653.4	7403.3	24046	8807.4	753130	8852.3	14897	15846	4772.4	6818	7653.4	7403.3	24046	8807.4	753130
O14776	2370.7	8104.3	5059.4	1952.1	2905.6	2714	3261.9	16353	2306.1	521010	2370.7	8104.3	5059.4	1952.1	2905.6	2714	3261.9	16353	2306.1	521010
O14818;Q8TAA3	10295	12492	14520	8065.5	12181	10357	12154	65348	12149	2293900	10295	12492	14520	8065.5	12181	10357	12154	65348	12149	2293900
O14828	292.77	0	0	331.52	532.64	319.49	0	2332.4	0	116550	292.77	0	0	331.52	532.64	319.49	0	2332.4	0	116550
P19105;O14950;P24844	19338	22824	28305	5897	11280	4913.6	15386	85225	10615	2948500	19338	22824	28305	5897	11280	4913.6	15386	85225	10615	2948500
O14979	631.91	2207.9	1819.1	932.59	3096.8	3410.5	5262.5	24070	3141.5	668940	631.91	2207.9	1819.1	932.59	3096.8	3410.5	5262.5	24070	3141.5	668940
O14980	5809	6348.5	7793.1	5697.3	5704.2	5167	6940.5	43694	7940	1522900	5809	6348.5	7793.1	5697.3	5704.2	5167	6940.5	43694	7940	1522900
O15031	2259.2	6960.7	9063.3	3096	8154.3	2916.4	10428	25223	3673.8	767030	2259.2	6960.7	9063.3	3096	8154.3	2916.4	10428	25223	3673.8	767030
O15042	0	1539.9	2811.2	916.34	5515.9	1870.8	5076.6	2404	1326.6	63253	0	1539.9	2811.2	916.34	5515.9	1870.8	5076.6	2404	1326.6	63253
O15131;O60684;P52294	1015.3	4507.6	1364.5	615.45	5120.9	1239.1	656.9	8410.2	1226.2	271390	1015.3	4507.6	1364.5	615.45	5120.9	1239.1	656.9	8410.2	1226.2	271390
O15143	18109	15706	18820	9542.8	13091	9469.7	11787	65990	12962	2268800	18109	15706	18820	9542.8	13091	9469.7	11787	65990	12962	2268800
O15144	4050	6689.7	6584.2	3590.3	10832	4814.4	10921	42238	7154.7	1181800	4050	6689.7	6584.2	3590.3	10832	4814.4	10921	42238	7154.7	1181800
O15145	10205	13357	13407	7114	10193	8713.4	10815	62488	8258.2	2463300	10205	13357	13407	7114	10193	8713.4	10815	62488	8258.2	2463300
O15212	3164	3219.5	3295.7	3190.3	3598.1	2629.4	4000.3	18636	3731.5	544690	3164	3219.5	3295.7	3190.3	3598.1	2629.4	4000.3	18636	3731.5	544690
O15258	1189	2297.5	3181.8	1204.6	3345.5	1664.3	2177	16164	2788.2	422110	1189	2297.5	3181.8	1204.6	3345.5	1664.3	2177	16164	2788.2	422110
O15260	2605.6	3809.1	4933.3	2131.1	4927.8	3417.8	6829.7	14633	3507.6	414210	2605.6	3809.1	4933.3	2131.1	4927.8	3417.8	6829.7	14633	3507.6	414210
O15371	1945.1	4099.7	4406.2	1772.7	3941.5	3079.7	2629.3	21917	3681.1	731780	1945.1	4099.7	4406.2	1772.7	3941.5	3079.7	2629.3	21917	3681.1	731780
O15372	4269.3	5298.1	5378.9	2963.4	3975.7	4562	2007.3	35984	4656.2	1538300	4269.3	5298.1	5378.9	2963.4	3975.7	4562	2007.3	35984	4656.2	1538300
O15399	529.92	1267.9	1873.4	760.36	2169.1	1124.2	2154.4	9946.6	1692	288580	529.92	1267.9	1873.4	760.36	2169.1	1124.2	2154.4	9946.6	1692	288580
O15460	2116.2	2037.2	2933.8	983.51	3291.8	2052.5	4225	18125	2834.4	605620	2116.2	2037.2	2933.8	983.51	3291.8	2052.5	4225	18125	2834.4	605620
O15511	2308.6	1666	1550.1	965.27	954.28	2194.9	1047.1	13850	1776.5	599080	2308.6	1666	1550.1	965.27	954.28	2194.9	1047.1	13850	1776.5	599080
O43143	5464	8230.6	9523	5889.7	9506.4	6012.2	13982	50803	8593.8	2037600	5464	8230.6	9523	5889.7	9506.4	6012.2	13982	50803	8593.8	2037600
O43175	16965	20570	19888	9894	8093.9	11668	12700	120610	16451	3857000	16965	20570	19888	9894	8093.9	11668	12700	120610	16451	3857000
O95340;O43252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O43390	3771.9	6105.5	5019.8	3571.8	6900.6	5196.6	9080.8	34204	6399.2	964100	3771.9	6105.5	5019.8	3571.8	6900.6	5196.6	9080.8	34204	6399.2	964100
O43396	1261.8	1723.3	1837.8	1405.2	898.46	1022	1282.3	11925	1953	419060	1261.8	1723.3	1837.8	1405.2	898.46	1022	1282.3	11925	1953	419060
O43399	3649	4483.2	4582.7	1970.1	2235.4	3058.2	3179.8	29449	3810.8	1095800	3649	4483.2	4582.7	1970.1	2235.4	3058.2	3179.8	29449	3810.8	1095800
O95626;O43423;P39687	1189.5	1679	981.15	646.45	972.02	1380.4	1215.7	16065	2257.3	643870	1189.5	1679	981.15	646.45	972.02	1380.4	1215.7	16065	2257.3	643870
O43491;Q9Y2J2	5992.7	5190.1	8396.9	3405.5	13577	10145	21154	41999	10454	1684600	5992.7	5190.1	8396.9	3405.5	13577	10145	21154	41999	10454	1684600
O43504	2267.1	3118.5	3826.8	2716.6	6532.4	3126.6	8488.7	16136	5279.9	392180	2267.1	3118.5	3826.8	2716.6	6532.4	3126.6	8488.7	16136	5279.9	392180
O43615	803.59	649.33	1275.8	546.08	827.08	1020.4	829.99	8674.3	1609	279480	803.59	649.33	1275.8	546.08	827.08	1020.4	829.99	8674.3	1609	279480
O43633	805.12	896.91	1321.3	0	1580.1	693.89	1584.4	5140.9	1030.9	138000	805.12	896.91	1321.3	0	1580.1	693.89	1584.4	5140.9	1030.9	138000
O43684	5516.1	5058.9	5269.3	2174.7	7695.3	4086.8	4118.7	35957	5472.2	1148100	5516.1	5058.9	5269.3	2174.7	7695.3	4086.8	4118.7	35957	5472.2	1148100
O43707	78082	149520	118540	50199	239320	80659	136040	608900	120080	20574000	78082	149520	118540	50199	239320	80659	136040	608900	120080	20574000
O43747	3475.7	3827.3	6768.5	1952.9	4520.8	2867.4	4203	13477	5894.2	494590	3475.7	3827.3	6768.5	1952.9	4520.8	2867.4	4203	13477	5894.2	494590
O43772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O43776	5489	7305.2	9519	4701.3	7803.9	7662	6064.6	52562	7981.2	1465600	5489	7305.2	9519	4701.3	7803.9	7662	6064.6	52562	7981.2	1465600
O43852	33041	22275	33727	13083	19692	12536	12815	96464	16904	3473300	33041	22275	33727	13083	19692	12536	12815	96464	16904	3473300
O43865	1427.5	2635.4	1709.5	1322.8	1022.9	1020.9	2296.5	10696	1429.3	344140	1427.5	2635.4	1709.5	1322.8	1022.9	1020.9	2296.5	10696	1429.3	344140
O60216	1527.7	1057.2	520.33	726.37	789.25	522.79	625.21	2677.8	513.42	96691	1527.7	1057.2	520.33	726.37	789.25	522.79	625.21	2677.8	513.42	96691
O60220	978.79	849.54	1074.5	601.6	983.04	647.56	998.76	7167.9	1070.2	278310	978.79	849.54	1074.5	601.6	983.04	647.56	998.76	7167.9	1070.2	278310
O60264;P28370	1337.4	1630	2142.8	1467.6	3088.5	2021.7	4019	14940	2624.3	513150	1337.4	1630	2142.8	1467.6	3088.5	2021.7	4019	14940	2624.3	513150
O60282;P33176;Q12840	1718.4	2969.7	3064.7	2307.8	4496.5	2480.2	4198.4	13596	2237.9	367780	1718.4	2969.7	3064.7	2307.8	4496.5	2480.2	4198.4	13596	2237.9	367780
O60493	22186	12536	30166	12115	14556	12558	12281	27067	14865	510600	22186	12536	30166	12115	14556	12558	12281	27067	14865	510600
O60506	22048	38249	36981	20316	24466	21840	25596	135400	21001	5446800	22048	38249	36981	20316	24466	21840	25596	135400	21001	5446800
O60716	5224.4	7841.6	10410	4002.3	8660.1	5911.1	9636.6	34558	8177.7	966440	5224.4	7841.6	10410	4002.3	8660.1	5911.1	9636.6	34558	8177.7	966440
P41567;O60739	7479.2	6026.9	8951.3	6090	8465.1	7791.1	9719.7	30960	11176	1063100	7479.2	6026.9	8951.3	6090	8465.1	7791.1	9719.7	30960	11176	1063100
O60749	476.56	454.61	598.66	408.11	270.18	426.61	445.33	5021.2	711.59	170490	476.56	454.61	598.66	408.11	270.18	426.61	445.33	5021.2	711.59	170490
O60763	2972	4117	3984.7	3337.9	2529.2	3007.8	3074.8	21220	3972	641150	2972	4117	3984.7	3337.9	2529.2	3007.8	3074.8	21220	3972	641150
Q99879;Q99877;Q93079;Q5QNW6;P62807;P58876;O60814;P57053;Q16778;P33778;P23527;P06899;Q6DRA6;Q6DN03	19308	21147	23102	13532	11206	19428	17407	21065	16696	1236900	19308	21147	23102	13532	11206	19428	17407	21065	16696	1236900
O60884	1596.1	2148.4	2921.6	3259.7	3769.7	1544.9	3697.4	17723	3604.4	547920	1596.1	2148.4	2921.6	3259.7	3769.7	1544.9	3697.4	17723	3604.4	547920
Q9BZK7;Q9BQ87;O60907	706.91	1504.7	951.59	669.79	935.94	1025.7	588.9	6373.5	982.91	264660	706.91	1504.7	951.59	669.79	935.94	1025.7	588.9	6373.5	982.91	264660
O75083	18243	20068	29450	9620.6	14753	10390	24679	58685	19120	2212200	18243	20068	29450	9620.6	14753	10390	24679	58685	19120	2212200
O75131	604.48	1210.1	891.64	546.03	699.27	1170.1	1519.3	8677.8	886.72	291840	604.48	1210.1	891.64	546.03	699.27	1170.1	1519.3	8677.8	886.72	291840
O75340	4085.4	4544.2	5167.6	3546.3	6172.6	3563.5	5043.5	8979.2	4686.4	220470	4085.4	4544.2	5167.6	3546.3	6172.6	3563.5	5043.5	8979.2	4686.4	220470
O75348;O95670	1690.6	3456	3490.7	2222.5	2106.4	2294.9	2403.9	15404	1792.4	659100	1690.6	3456	3490.7	2222.5	2106.4	2294.9	2403.9	15404	1792.4	659100
O75368	1230	1505.3	2170.8	2404.6	2381.7	2200.9	1981.7	17412	1893.4	665070	1230	1505.3	2170.8	2404.6	2381.7	2200.9	1981.7	17412	1893.4	665070
O75369	116940	69247	113470	52388	115300	76638	79650	338040	93757	11585000	116940	69247	113470	52388	115300	76638	79650	338040	93757	11585000
O75390	13394	14159	18961	9404.8	11997	14701	22129	165810	16799	5695800	13394	14159	18961	9404.8	11997	14701	22129	165810	16799	5695800
O75396	1718.1	1067.8	1948.7	1606.4	1077.7	1540.4	1381.2	12127	2384.5	422500	1718.1	1067.8	1948.7	1606.4	1077.7	1540.4	1381.2	12127	2384.5	422500
O75400	1168.4	1350.8	1339.5	1285.7	1381.4	1671.7	753.6	19355	2192.6	486230	1168.4	1350.8	1339.5	1285.7	1381.4	1671.7	753.6	19355	2192.6	486230
O75436	1089.4	1268.5	1101.4	904.74	1322.2	825.08	1609.4	8599.9	1906.6	256090	1089.4	1268.5	1101.4	904.74	1322.2	825.08	1609.4	8599.9	1906.6	256090
O75475;Q9Y3E1;Q7Z4V5	5728.8	6520	8036.3	5289.6	6139.9	7795.2	7628.9	55028	10281	2054400	5728.8	6520	8036.3	5289.6	6139.9	7795.2	7628.9	55028	10281	2054400
O94905;O75477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O75489	2909	6698.7	4207.5	3086	3775.2	2431.5	2373.1	10666	3815	370980	2909	6698.7	4207.5	3086	3775.2	2431.5	2373.1	10666	3815	370980
Q8WXF0;O75494	1174.1	1839.9	1832.9	1021	1470	1841.4	1817.7	13293	1848.9	456220	1174.1	1839.9	1832.9	1021	1470	1841.4	1817.7	13293	1848.9	456220
O75531	6734.9	11283	11917	3457.8	6435.6	3763.4	6528.9	18954	6578.5	640490	6734.9	11283	11917	3457.8	6435.6	3763.4	6528.9	18954	6578.5	640490
O75533	3201	5669.7	7257.7	4156.8	12549	4596.9	59075	45630	6397.2	1355600	3201	5669.7	7257.7	4156.8	12549	4596.9	59075	45630	6397.2	1355600
O75534	5787.3	9426.9	7847.8	5124.2	10043	5552.1	9708.3	36651	7513.1	1222500	5787.3	9426.9	7847.8	5124.2	10043	5552.1	9708.3	36651	7513.1	1222500
O75643	8135	8644.7	10595	5796.1	8659.8	7144.7	12194	64480	9323.8	2107200	8135	8644.7	10595	5796.1	8659.8	7144.7	12194	64480	9323.8	2107200
O75694	882.02	1285.6	1558.9	1632.9	1172.5	2005.3	2108.3	7152	1391.8	243710	882.02	1285.6	1558.9	1632.9	1172.5	2005.3	2108.3	7152	1391.8	243710
O75746	6611.6	10946	12087	5754.5	7988.3	6755.9	8801.3	52705	8543.8	1749600	6611.6	10946	12087	5754.5	7988.3	6755.9	8801.3	52705	8543.8	1749600
P54855;O75795	1184.1	3428.6	3846.6	2013.5	4298.9	1347.2	2426.4	13687	1643.6	499930	1184.1	3428.6	3846.6	2013.5	4298.9	1347.2	2426.4	13687	1643.6	499930
O75821	1089.4	1517.8	2300.5	1742.8	2182.7	2668.7	2303.2	18060	2934.8	880260	1089.4	1517.8	2300.5	1742.8	2182.7	2668.7	2303.2	18060	2934.8	880260
O75822	3780.5	4852.8	5923.3	2202.7	2454.7	3312.7	2673.9	33091	3707.2	1237800	3780.5	4852.8	5923.3	2202.7	2454.7	3312.7	2673.9	33091	3707.2	1237800
O75844	3335.7	3839.2	3568	3083.6	7126.8	4454.4	6332.7	33921	5158.2	1288600	3335.7	3839.2	3568	3083.6	7126.8	4454.4	6332.7	33921	5158.2	1288600
O75874	16607	13612	30169	14281	17623	14202	21930	78227	19551	2395600	16607	13612	30169	14281	17623	14202	21930	78227	19551	2395600
Q13177;O75914;Q13153	1362.2	2305.2	2306.6	1779.3	1735.8	2085.1	1629.7	17381	2032.5	601070	1362.2	2305.2	2306.6	1779.3	1735.8	2085.1	1629.7	17381	2032.5	601070
O75915	2552.1	2539.9	2830.8	1090.1	2068.1	1439.2	1892	16244	2575	601470	2552.1	2539.9	2830.8	1090.1	2068.1	1439.2	1892	16244	2575	601470
O75934	1547.5	3185.7	2437.7	2224.6	2863.8	2292.1	3349.7	11539	2606.3	357480	1547.5	3185.7	2437.7	2224.6	2863.8	2292.1	3349.7	11539	2606.3	357480
O75935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O75937	621.23	900.49	1473.3	564.17	983.02	1444	1003.6	12309	1095.1	348620	621.23	900.49	1473.3	564.17	983.02	1444	1003.6	12309	1095.1	348620
O75953	1426	2076.3	1947.8	1536.9	2946.4	2014.6	3418.6	8041.8	2488	149950	1426	2076.3	1947.8	1536.9	2946.4	2014.6	3418.6	8041.8	2488	149950
O76003	1130.4	1692.2	2334.8	1037.9	1710.7	1005.5	1979.3	4907	843.53	200320	1130.4	1692.2	2334.8	1037.9	1710.7	1005.5	1979.3	4907	843.53	200320
O94826	365.98	596.42	898.61	512.26	0	387.03	0	5570	511.65	311060	365.98	596.42	898.61	512.26	0	387.03	0	5570	511.65	311060
O94925	564.2	2341.8	2686.3	1598.1	1681.1	937.58	2090.7	13546	1359.8	426990	564.2	2341.8	2686.3	1598.1	1681.1	937.58	2090.7	13546	1359.8	426990
O94973;O95782	7495.6	17565	12841	10323	14536	10887	18146	51451	14205	1801400	7495.6	17565	12841	10323	14536	10887	18146	51451	14205	1801400
O94979	1762.7	2096.9	1938	863.52	1463.1	3158.6	2173.4	24458	2351.2	449010	1762.7	2096.9	1938	863.52	1463.1	3158.6	2173.4	24458	2351.2	449010
Q9H0R8;O95166	588.59	1122.8	1250.3	843.11	570.9	1130	1328.2	10084	1439.7	351090	588.59	1122.8	1250.3	843.11	570.9	1130	1328.2	10084	1439.7	351090
O95249	350.86	493.47	870	497.51	850.81	1204.7	1615	5698.7	799.14	146990	350.86	493.47	870	497.51	850.81	1204.7	1615	5698.7	799.14	146990
O95299	7075.9	8256.6	8402.4	7922.3	8762.9	7757.9	8513.7	18770	9033.3	657970	7075.9	8256.6	8402.4	7922.3	8762.9	7757.9	8513.7	18770	9033.3	657970
O95302	1220.5	1824.4	2158.2	711.46	1218.9	1608.9	1172	12689	1714.5	459630	1220.5	1824.4	2158.2	711.46	1218.9	1608.9	1172	12689	1714.5	459630
