Protein IDs	Reporter intensity corrected 1 PNNL SC boost50ng_run1	Reporter intensity corrected 2 PNNL SC boost50ng_run1	Reporter intensity corrected 3 PNNL SC boost50ng_run1	Reporter intensity corrected 4 PNNL SC boost50ng_run1	Reporter intensity corrected 5 PNNL SC boost50ng_run1	Reporter intensity corrected 6 PNNL SC boost50ng_run1	Reporter intensity corrected 7 PNNL SC boost50ng_run1	Reporter intensity corrected 8 PNNL SC boost50ng_run1	Reporter intensity corrected 9 PNNL SC boost50ng_run1	Reporter intensity corrected 10 PNNL SC boost50ng_run1	Reporter intensity 1 PNNL SC boost50ng_run1	Reporter intensity 2 PNNL SC boost50ng_run1	Reporter intensity 3 PNNL SC boost50ng_run1	Reporter intensity 4 PNNL SC boost50ng_run1	Reporter intensity 5 PNNL SC boost50ng_run1	Reporter intensity 6 PNNL SC boost50ng_run1	Reporter intensity 7 PNNL SC boost50ng_run1	Reporter intensity 8 PNNL SC boost50ng_run1	Reporter intensity 9 PNNL SC boost50ng_run1	Reporter intensity 10 PNNL SC boost50ng_run1
A6NFN3;O43251;Q9NWB1	539.84	1407.7	1596.2	673.16	488.73	493.4	1144.2	4401.3	1406.4	173730	539.84	1407.7	1596.2	673.16	488.73	493.4	1144.2	4401.3	1406.4	173730
A6NHQ2	699.5	1483.3	1530.6	775.13	866.5	1163.6	1355.4	9117.5	1272.8	358200	699.5	1483.3	1530.6	775.13	866.5	1163.6	1355.4	9117.5	1272.8	358200
P14598;A6NI72	744.89	1282.8	1582	624.95	1584.9	861.41	1872.1	6013.9	1586	155320	744.89	1282.8	1582	624.95	1584.9	861.41	1872.1	6013.9	1586	155320
A8MVM7	3388.9	4132.6	4818.2	2919.9	4363.7	4038	7149.9	26445	4548.3	694970	3388.9	4132.6	4818.2	2919.9	4363.7	4038	7149.9	26445	4548.3	694970
C9JRZ8;O60218	5418.2	3912.9	8991.5	2578.4	6050.8	2403.8	2586.8	24478	4010.2	938450	5418.2	3912.9	8991.5	2578.4	6050.8	2403.8	2586.8	24478	4010.2	938450
CON__ENSEMBL:ENSBTAP00000007350;CON__P01030;P0C0L5;P0C0L4	15173	26029	21389	8528.1	8852.3	15529	14273	73060	11578	2579500	15173	26029	21389	8528.1	8852.3	15529	14273	73060	11578	2579500
CON__ENSEMBL:ENSBTAP00000016046;P23142	2139.9	2572.5	3860.9	1803.9	3595.6	3066	8863.8	36359	4682.7	1246900	2139.9	2572.5	3860.9	1803.9	3595.6	3066	8863.8	36359	4682.7	1246900
CON__ENSEMBL:ENSBTAP00000024146;P01023;P20742	88046	125890	128160	52230	91390	65272	76589	496180	95107	17060000	88046	125890	128160	52230	91390	65272	76589	496180	95107	17060000
CON__P00761;Q9BYE2	3616500	3426300	3587300	3294800	3653600	2978000	3500700	786080	3305400	5524800	3616500	3426300	3587300	3294800	3653600	2978000	3500700	786080	3305400	5524800
CON__P01966	3044.7	3186.1	4456.1	3960.9	4257.6	3247.4	5195.5	18245	3879.4	539680	3044.7	3186.1	4456.1	3960.9	4257.6	3247.4	5195.5	18245	3879.4	539680
CON__P02070;CON__Q3SX09	1884	1329.2	1419.6	1376.3	1344.7	1148.7	1311.6	7721.5	1795.7	403300	1884	1329.2	1419.6	1376.3	1344.7	1148.7	1311.6	7721.5	1795.7	403300
CON__P02584	37723	48742	44024	20134	19201	23998	21624	188340	23423	6706500	37723	48742	44024	20134	19201	23998	21624	188340	23423	6706500
CON__P02769;CON__P02768-1;P02768	191890	233530	223830	149370	150250	161590	146840	271510	104370	9228000	191890	233530	223830	149370	150250	161590	146840	271510	104370	9228000
CON__P02777	608.37	0	1070.3	834.01	639.16	1476.7	1453.5	20354	2499.2	742010	608.37	0	1070.3	834.01	639.16	1476.7	1453.5	20354	2499.2	742010
CON__P04258	11844	19986	15261	11039	9668.3	9121.7	9471.1	29530	14416	692540	11844	19986	15261	11039	9668.3	9121.7	9471.1	29530	14416	692540
CON__P06868	3289.2	3274	4915.6	3679.7	5775.2	3838.8	4300.7	20962	4971.4	675070	3289.2	3274	4915.6	3679.7	5775.2	3838.8	4300.7	20962	4971.4	675070
CON__P07477;P07477	21788	36627	184820	4772.3	8655.9	8063.8	7158.9	112200	7529.9	4358900	21788	36627	184820	4772.3	8655.9	8063.8	7158.9	112200	7529.9	4358900
CON__P12763;P02765	52818	56765	48718	39922	41347	37179	34606	51593	30954	1858000	52818	56765	48718	39922	41347	37179	34606	51593	30954	1858000
CON__P13645;P13645;CON__Q7Z3Z0;CON__Q7Z3Y8;CON__Q148H6;CON__Q7Z3Y7;CON__P02535-1;Q7Z3Z0;Q7Z3Y8;Q7Z3Y7	7042.7	6226	6771.2	6904.4	7793.7	6189.5	6691.6	19018	7772.2	473750	7042.7	6226	6771.2	6904.4	7793.7	6189.5	6691.6	19018	7772.2	473750
