Protein IDs	Reporter intensity corrected 1	Reporter intensity corrected 2	Reporter intensity corrected 3	Reporter intensity corrected 4	Reporter intensity corrected 5	Reporter intensity corrected 6	Reporter intensity corrected 7	Reporter intensity corrected 8	Reporter intensity corrected 9	Reporter intensity corrected 10	Reporter intensity 1	Reporter intensity 2	Reporter intensity 3	Reporter intensity 4	Reporter intensity 5	Reporter intensity 6	Reporter intensity 7	Reporter intensity 8	Reporter intensity 9	Reporter intensity 10
P0DN37;P0DN26;A0A0B4J2A2;A0A075B767;A0A075B759;Q9Y536;F5H284;P62937;O43447;P30405;Q08752;P49792	620590	9972.9	31220	15914	5338.8	6449.3	5089.9	2175.8	7062.3	7450.7	620590	9972.9	31220	15914	5338.8	6449.3	5089.9	2175.8	7062.3	7450.7
CON__P00761	107820	104310	10735	160630	150510	146000	170150	164770	187610	171390	107820	104310	10735	160630	150510	146000	170150	164770	187610	171390
CON__P02533;P02533;CON__Q61782;CON__Q8N1A0;CON__P35900;CON__Q9D312;Q8N1A0;P35900;Q9ULK0	131540	36735	8903.5	9645.2	9410.4	7756.7	3214.4	55012	4921.4	2231400	131540	36735	8903.5	9645.2	9410.4	7756.7	3214.4	55012	4921.4	2231400
CON__P02538;P02538;CON__P50446;CON__Q8VED5;CON__H-INV:HIT000292931	60526	19843	3869.9	5378.2	1336.2	2867.4	656.19	77028	2729.2	3229500	60526	19843	3869.9	5378.2	1336.2	2867.4	656.19	77028	2729.2	3229500
CON__P02769;CON__P02768-1;P02768	436370	13924	25343	12391	6185.7	8651	10645	4870.9	3826.1	20056	436370	13924	25343	12391	6185.7	8651	10645	4870.9	3826.1	20056
CON__P04259	14844	1529.3	869.65	1179.6	927.74	1774.3	1942.1	8667.6	1747.9	352360	14844	1529.3	869.65	1179.6	927.74	1774.3	1942.1	8667.6	1747.9	352360
CON__P08779;P08779;CON__P19012;CON__A2A4G1;P19012	228010	25389	19407	15570	12791	10017	8658	118870	10068	4858300	228010	25389	19407	15570	12791	10017	8658	118870	10068	4858300
P13645;CON__P13645;CON__P02535-1;CON__Q7Z3Y7;Q7Z3Y7;CON__Q148H6;CON__P05784;Q7Z3Z0;Q2M2I5;CON__Q7Z3Z0;CON__Q2M2I5;CON__Q7Z3Y8;Q7Z3Y8;CON__Q7Z3Y9;CON__REFSEQ:XP_986630;CON__O76014;CON__Q14525;CON__A2A5Y0;CON__Q497I4;CON__Q92764;CON__O76015;CON__Q14532;CON__O76013;CON__A2AB72;Q7Z3Y9;CON__Q15323;Q14525;O76014;Q14532;P05783;CON__Q9UE12;Q92764;O76013;Q15323;O76015	130370	18520	10873	6612	3024.7	5640.8	4648	66448	5803.8	2742300	130370	18520	10873	6612	3024.7	5640.8	4648	66448	5803.8	2742300
P13647;CON__P13647;CON__P07744	167640	19957	17456	4886	6811.1	7105.3	1491.5	85665	4745.4	3960700	167640	19957	17456	4886	6811.1	7105.3	1491.5	85665	4745.4	3960700
CON__P13717	79137	3178.9	5404.6	88582	87586	87451	108150	101700	100780	109960	79137	3178.9	5404.6	88582	87586	87451	108150	101700	100780	109960
