Protein IDs	Reporter intensity corrected 1	Reporter intensity corrected 2	Reporter intensity corrected 3	Reporter intensity corrected 4	Reporter intensity corrected 5	Reporter intensity corrected 6	Reporter intensity corrected 7	Reporter intensity corrected 8	Reporter intensity corrected 9	Reporter intensity corrected 10	Reporter intensity 1	Reporter intensity 2	Reporter intensity 3	Reporter intensity 4	Reporter intensity 5	Reporter intensity 6	Reporter intensity 7	Reporter intensity 8	Reporter intensity 9	Reporter intensity 10
CON__P35908v2;P35908;CON__P35908;CON__Q7Z794;Q7Z794	145470	15464	10427	6701.5	3844.7	6400.8	1599.3	108770	9646.1	4718800	145470	15464	10427	6701.5	3844.7	6400.8	1599.3	108770	9646.1	4718800
CON__P48668;P48668	3623.5	1815	0	443.31	0	489.71	0	3883	0	126000	3623.5	1815	0	443.31	0	489.71	0	3883	0	126000
CON__Q04695;Q04695;CON__P19001;CON__Q9C075;CON__Q99PS0;Q9C075	46560	12502	3357.9	4493.2	1308.6	2447.8	328.61	26443	1748	948430	46560	12502	3357.9	4493.2	1308.6	2447.8	328.61	26443	1748	948430
CON__Q14CN4-1;CON__Q6IME9;Q14CN4;CON__Q3SY84;CON__Q7RTS7;CON__Q32MB2;Q3SY84;Q7RTS7;Q86Y46	1961.6	1634.9	0	0	0	0	0	741.43	0	29423	1961.6	1634.9	0	0	0	0	0	741.43	0	29423
CON__Q9Z2K1;CON__Q3ZAW8	14209	1473.4	969.01	617.31	0	299.88	0	5531.1	0	259810	14209	1473.4	969.01	617.31	0	299.88	0	5531.1	0	259810
CON__Q5D862;Q5D862	3045.6	340.61	0	0	359.39	447.78	0	1191.4	0	40970	3045.6	340.61	0	0	359.39	447.78	0	1191.4	0	40970
CON__Q7RTT2;CON__Q8N1N4-2;Q8N1N4	41443	3844.5	1184.9	2081.9	367.11	2118.9	426.78	6789.4	741.37	260300	41443	3844.5	1184.9	2081.9	367.11	2118.9	426.78	6789.4	741.37	260300
CON__Q86YZ3;Q86YZ3	4369.4	388.94	626.73	294.58	0	0	0	1187	236.93	51391	4369.4	388.94	626.73	294.58	0	0	0	1187	236.93	51391
Q13765;E9PAV3	26549	1326.3	1951.4	720.61	337.07	661.14	0	456.25	424.5	20831	26549	1326.3	1951.4	720.61	337.07	661.14	0	456.25	424.5	20831
O00148;Q13838	103390	29460	6363.5	6747.3	1594.5	1770.3	1601.5	2153.6	1301.9	6560.5	103390	29460	6363.5	6747.3	1594.5	1770.3	1601.5	2153.6	1301.9	6560.5
O00299	217750	8554.3	13383	5094.3	2374.1	5979	2440	1614.5	1731.3	14665	217750	8554.3	13383	5094.3	2374.1	5979	2440	1614.5	1731.3	14665
P47813;O14602	23376	1442.7	1615.9	571.86	441.51	256.69	0	257.95	417.54	3264.9	23376	1442.7	1615.9	571.86	441.51	256.69	0	257.95	417.54	3264.9
O60506;O43390	75220	4613.7	3825.2	2342.1	1158.6	1426.4	921.78	593.82	1329.1	6785.4	75220	4613.7	3825.2	2342.1	1158.6	1426.4	921.78	593.82	1329.1	6785.4
O43707;P12814	102280	3244.5	5728.4	1866.4	1125.7	1508.4	779.39	1152.2	988.03	5110.2	102280	3244.5	5728.4	1866.4	1125.7	1508.4	779.39	1152.2	988.03	5110.2
Q99879;Q99877;Q93079;Q5QNW6;P62807;P58876;O60814;P57053	73777	17846	4165.9	2255.6	798.21	914.96	746.44	727.08	1432.9	2024.6	73777	17846	4165.9	2255.6	798.21	914.96	746.44	727.08	1432.9	2024.6
O75083	58006	1892	3371.2	1454.2	1381	1427.6	692.99	369.48	309.83	4176.6	58006	1892	3371.2	1454.2	1381	1427.6	692.99	369.48	309.83	4176.6
Q9P0M6;O75367	43929	1240.3	1943.4	919.75	350.74	962.7	716.01	335.81	490.86	2102.6	43929	1240.3	1943.4	919.75	350.74	962.7	716.01	335.81	490.86	2102.6
P26599;O95758	52578	721.93	3024	650.08	358.67	0	348.33	0	450.92	381.84	52578	721.93	3024	650.08	358.67	0	348.33	0	450.92	381.84
P00338	143560	7643.5	9048.4	2369.9	632.4	2233.8	2007.2	1315.3	1357.9	4732	143560	7643.5	9048.4	2369.9	632.4	2233.8	2007.2	1315.3	1357.9	4732
P00441	46168	3663.9	2476	2736.2	1205.7	1202	490.26	1756.4	1302.4	42842	46168	3663.9	2476	2736.2	1205.7	1202	490.26	1756.4	1302.4	42842
P00558;P07205	513720	15534	28771	11366	6898.7	7911.1	5929.9	4413.1	6279.3	26653	513720	15534	28771	11366	6898.7	7911.1	5929.9	4413.1	6279.3	26653
P01040	88453	5747.5	5981.7	2890.8	1807.6	1701.4	1072.1	7378.9	2722.1	301910	88453	5747.5	5981.7	2890.8	1807.6	1701.4	1072.1	7378.9	2722.1	301910
P02545;REV__Q5VX52;P20700;Q03252	1112500	22844	59146	17985	9891.3	15565	14151	6393.9	3535.3	79801	1112500	22844	59146	17985	9891.3	15565	14151	6393.9	3535.3	79801
P04040	17814	1521	674.76	660.57	1616.2	425.5	531.38	269.44	585.94	11972	17814	1521	674.76	660.57	1616.2	425.5	531.38	269.44	585.94	11972
P04075;P09972;P05062	1079300	25680	56554	21470	8684	13836	10676	5905.9	11345	46525	1079300	25680	56554	21470	8684	13836	10676	5905.9	11345	46525
P04083	138200	2998.8	7596.9	2618.5	1126.4	1947.1	1731.6	2031.6	482.92	24849	138200	2998.8	7596.9	2618.5	1126.4	1947.1	1731.6	2031.6	482.92	24849
P04259	2107.6	0	0	0	0	0	0	3151.5	697.37	170070	2107.6	0	0	0	0	0	0	3151.5	697.37	170070
P04264;CON__P04264;CON__H-INV:HIT000016045;Q08378	172080	36634	10747	11737	5978.4	10141	2386.7	209350	8706.8	8686000	172080	36634	10747	11737	5978.4	10141	2386.7	209350	8706.8	8686000
P04406;O14556	1529600	23546	87748	41347	23691	25671	23189	16699	23662	371790	1529600	23546	87748	41347	23691	25671	23189	16699	23662	371790
P04792	229830	4727.3	11001	4531.8	2170	4221.4	2441.2	2076.9	1907.4	32455	229830	4727.3	11001	4531.8	2170	4221.4	2441.2	2076.9	1907.4	32455
P05089	15572	2834.9	700.94	1389.2	0	895.8	250.72	3480.9	0	180900	15572	2834.9	700.94	1389.2	0	895.8	250.72	3480.9	0	180900
P05107	65629	1962.5	4296.8	2617.3	473.45	1560.4	601.12	1689.2	293.07	4054.7	65629	1962.5	4296.8	2617.3	473.45	1560.4	601.12	1689.2	293.07	4054.7
P05114	86128	2836.1	5839.8	768.31	905.62	1105.4	675.04	198.27	555.86	2245.4	86128	2836.1	5839.8	768.31	905.62	1105.4	675.04	198.27	555.86	2245.4
P05120	144750	1920.1	8014.7	5334.9	224.61	9225.5	896	1461.9	0	15938	144750	1920.1	8014.7	5334.9	224.61	9225.5	896	1461.9	0	15938
P05141;P12236;P12235	162740	4173.6	10071	4046.7	2654.8	3047.7	3194.5	1049.6	4485.3	3661	162740	4173.6	10071	4046.7	2654.8	3047.7	3194.5	1049.6	4485.3	3661
P05198	21008	0	1100.3	355.9	0	0	0	0	0	499.15	21008	0	1100.3	355.9	0	0	0	0	0	499.15
P05204	111180	4383.3	7671.1	1014	654.3	1050.7	1397.1	0	1323.3	5558.7	111180	4383.3	7671.1	1014	654.3	1050.7	1397.1	0	1323.3	5558.7
P05387	137330	4459.6	7849.5	4987.7	1829.3	3498.7	2891.2	1744.9	3190.5	8262.5	137330	4459.6	7849.5	4987.7	1829.3	3498.7	2891.2	1744.9	3190.5	8262.5
Q8NHW5;P05388	73920	3244.4	4567.2	1698	588.38	776.68	449.78	583.16	1342.1	2690.3	73920	3244.4	4567.2	1698	588.38	776.68	449.78	583.16	1342.1	2690.3
P05455	98006	3159.6	5882.5	1628.3	1314.7	1910.2	1870.8	2388.4	1848.3	3120.5	98006	3159.6	5882.5	1628.3	1314.7	1910.2	1870.8	2388.4	1848.3	3120.5
P06396;CON__Q3SX14;REV__Q6TDU7	172240	3661.7	11631	6002.5	1836.7	4447.8	1427.6	2232.3	675.29	16432	172240	3661.7	11631	6002.5	1836.7	4447.8	1427.6	2232.3	675.29	16432
P06454	340800	9099.5	21496	3964	2538.4	1463.1	2302.5	394.24	6546.6	6990	340800	9099.5	21496	3964	2538.4	1463.1	2302.5	394.24	6546.6	6990
P06576	78361	2380.2	3724	1072.8	341.02	1625.3	580.31	350.57	617.63	5088.3	78361	2380.2	3724	1072.8	341.02	1625.3	580.31	350.57	617.63	5088.3
P06703	321980	9870.3	18435	7664.2	4464.3	4643.1	3743.8	1818.8	2401.2	8430.2	321980	9870.3	18435	7664.2	4464.3	4643.1	3743.8	1818.8	2401.2	8430.2
P06733;REV__A0A1B0GUJ8;P13929;P54764	1522300	58994	96683	36680	15487	21955	18734	8515.3	21553	88074	1522300	58994	96683	36680	15487	21955	18734	8515.3	21553	88074
P06744;Q8N196	433870	15065	29737	11360	5484.4	7264.9	5272.3	2744.7	8131.5	24231	433870	15065	29737	11360	5484.4	7264.9	5272.3	2744.7	8131.5	24231
P06748	684370	20608	40253	14554	8817.9	10658	10977	5548.2	16500	20108	684370	20608	40253	14554	8817.9	10658	10977	5548.2	16500	20108
P06753;CON__Q3SX28;P09493;P07951;REV__Q5T655;Q8ND24	81527	4627.3	3717.5	2836	572.34	2397.5	919.63	1317.7	648.44	8488.1	81527	4627.3	3717.5	2836	572.34	2397.5	919.63	1317.7	648.44	8488.1
P07108;REV__A2A2Z9;Q96K80;Q96A19;Q9Y2L6;Q9H0E9	155470	2825.5	9704.7	2155.5	2567	2887.3	2072	987.2	1283.1	3645.2	155470	2825.5	9704.7	2155.5	2567	2887.3	2072	987.2	1283.1	3645.2
P07195	157790	7976.2	7101.6	2410	2801	2493.8	1843.4	1985.5	3019.2	5444.6	157790	7976.2	7101.6	2410	2801	2493.8	1843.4	1985.5	3019.2	5444.6
P07237	1210700	31533	67661	29808	14597	18906	13634	13177	26649	63867	1210700	31533	67661	29808	14597	18906	13634	13177	26649	63867
P07339	332800	4971.6	16802	13565	5423.1	7452.2	9116.7	1736.2	2883.1	13825	332800	4971.6	16802	13565	5423.1	7452.2	9116.7	1736.2	2883.1	13825
P07355;A6NMY6	645450	17903	39002	23027	10171	11940	13528	7783	3289.7	167040	645450	17903	39002	23027	10171	11940	13528	7783	3289.7	167040
P07437;Q9BVA1;Q13885;Q13509	232560	11723	12622	6619.9	2927.6	5253.2	3772.6	2980.5	3656.5	17073	232560	11723	12622	6619.9	2927.6	5253.2	3772.6	2980.5	3656.5	17073
P07737;CON__P02584	246680	18235	17258	5753.8	2968.5	6411.7	2434.5	4813.9	3461.2	14086	246680	18235	17258	5753.8	2968.5	6411.7	2434.5	4813.9	3461.2	14086
P07858	38957	2509.2	2140.2	2463	598.71	2212	759.38	2565	337.37	4570	38957	2509.2	2140.2	2463	598.71	2212	759.38	2565	337.37	4570
P07900;Q14568;Q58FG1	279250	13368	16413	5711.2	4423.1	5037.6	3690.8	3175.1	3740.1	13264	279250	13368	16413	5711.2	4423.1	5037.6	3690.8	3175.1	3740.1	13264
P07910;P0DMR1;O60812;B7ZW38;B2RXH8	230300	6684.1	15149	3841.5	3056.1	1780.9	3575.3	2005.3	4849.9	5974.6	230300	6684.1	15149	3841.5	3056.1	1780.9	3575.3	2005.3	4849.9	5974.6
P08133	29118	1607.3	1593.4	1142.7	345.82	754.9	338.77	584.48	304.41	3814.8	29118	1607.3	1593.4	1142.7	345.82	754.9	338.77	584.48	304.41	3814.8
P08238;Q58FF7;Q58FF8;Q58FF6;Q58FG0;Q92538	1286300	56736	71443	22946	9785	13457	11550	9829.3	19481	52296	1286300	56736	71443	22946	9785	13457	11550	9829.3	19481	52296
P08311	27434	923.1	1982.1	548.29	0	428.84	321.2	709.85	1241.3	6097	27434	923.1	1982.1	548.29	0	428.84	321.2	709.85	1241.3	6097
P08670;P17661;P41219;P14136;CON__P78385;P07196;CON__Q61726;CON__P78386;CON__O43790;CON__Q6NT21;P07197;Q14533;P78386;CON__Q14533;Q16352;P78385;O43790;P12036	2404200	40687	150390	67611	26555	46086	43127	29764	7902.7	471960	2404200	40687	150390	67611	26555	46086	43127	29764	7902.7	471960
P08758	80048	1304.5	4186.1	1915.3	1002	1494.9	797.65	647.14	746.06	3298.9	80048	1304.5	4186.1	1915.3	1002	1494.9	797.65	647.14	746.06	3298.9
P08865;Q9UBC7;Q68DK2	119000	3259.8	5751	2589.8	2161.9	1691.8	888.03	276.06	1177.2	3374	119000	3259.8	5751	2589.8	2161.9	1691.8	888.03	276.06	1177.2	3374
P09211	99974	3520.3	5820.3	1540.3	1390.9	945.86	931.83	734.66	1568	5073.2	99974	3520.3	5820.3	1540.3	1390.9	945.86	931.83	734.66	1568	5073.2
P09382	98885	1270.8	6383.8	2203.2	1634.5	2462.7	1116.2	588.24	923.9	1617.5	98885	1270.8	6383.8	2203.2	1634.5	2462.7	1116.2	588.24	923.9	1617.5
P26583;P09429;P23497	116160	2835.1	6485.8	1715.7	1123.1	760.89	1254	943.1	1742.5	1969.5	116160	2835.1	6485.8	1715.7	1123.1	760.89	1254	943.1	1742.5	1969.5
P09496	20352	874.58	628.59	364.14	402.1	490.26	0	393.66	0	1805.1	20352	874.58	628.59	364.14	402.1	490.26	0	393.66	0	1805.1
Q32P51;P09651	81790	9149.9	3824.6	2657.4	1612	1140.6	2093.8	888.1	2682.6	1823.2	81790	9149.9	3824.6	2657.4	1612	1140.6	2093.8	888.1	2682.6	1823.2
Q71UI9;P0C0S5	39985	1805.4	2612.5	1865.8	726.7	305.83	251.97	0	759.9	594.98	39985	1805.4	2612.5	1865.8	726.7	305.83	251.97	0	759.9	594.98
Q99878;Q96KK5;Q9BTM1;Q16777;Q93077;Q6FI13;P0C0S8;Q96QV6;Q7L7L0;P20671;P04908;Q8IUE6;P16104;REV__Q8NB25	409010	6448.7	23670	6337.6	3987.8	4452	2863	2136.3	6511.9	9511.9	409010	6448.7	23670	6337.6	3987.8	4452	2863	2136.3	6511.9	9511.9
P62987;P62979;P0CG47;P0CG48	406430	12869	21933	11553	5072.7	8053.2	5999.2	5335.9	8714.3	90114	406430	12869	21933	11553	5072.7	8053.2	5999.2	5335.9	8714.3	90114
Q01105;P0DME0	53829	4410.3	2767.2	1655.4	731.78	1474.8	1018	464.54	1623.3	2450.4	53829	4410.3	2767.2	1655.4	731.78	1474.8	1018	464.54	1623.3	2450.4
P0DP25;P0DP24;P0DP23;P27482;P02585	269550	19248	19136	7650.6	2343.7	5597.7	3642.2	3578.2	2338.2	7885.7	269550	19248	19136	7650.6	2343.7	5597.7	3642.2	3578.2	2338.2	7885.7
P0DPF3;REV__Q14571;REV__Q14643;Q3BBV2	157940	2930.5	8073.6	1986.3	804.59	1231.3	1113.7	843.29	1570.2	7769.5	157940	2930.5	8073.6	1986.3	804.59	1231.3	1113.7	843.29	1570.2	7769.5
P10412;Q02539;P22492	1826800	45900	110670	32623	15189	15658	15363	9363.3	25306	37782	1826800	45900	110670	32623	15189	15658	15363	9363.3	25306	37782
P10599	83321	3475.3	4024.2	2169.7	1414.4	1784.8	1425.6	1225	1480.3	44266	83321	3475.3	4024.2	2169.7	1414.4	1784.8	1425.6	1225	1480.3	44266
P10809	935090	17906	51910	15547	7634.3	11545	10117	4347.7	14632	28333	935090	17906	51910	15547	7634.3	11545	10117	4347.7	14632	28333
P11021;REV__Q9NXD2	656710	12579	39761	14557	4809.4	7741.5	7890.7	6184.9	6552.8	45876	656710	12579	39761	14557	4809.4	7741.5	7890.7	6184.9	6552.8	45876
P11142;P54652	1217000	35518	71295	19003	7558.8	11251	11211	4597.8	13104	56488	1217000	35518	71295	19003	7558.8	11251	11211	4597.8	13104	56488
P11279	36135	970.47	2428	1493.2	521.45	801.21	567.24	841.66	452.85	4286.9	36135	970.47	2428	1493.2	521.45	801.21	567.24	841.66	452.85	4286.9
Q9H361;P11940	23136	374.25	1308.9	415.3	0	420.71	417.79	0	0	572.75	23136	374.25	1308.9	415.3	0	420.71	417.79	0	0	572.75
P12956	46632	1191.3	1964.7	404.77	0	334.95	423.82	0	515.31	1546.6	46632	1191.3	1964.7	404.77	0	334.95	423.82	0	515.31	1546.6
P13489	57076	3754.9	3772.4	2413	562.96	1510.5	765.43	859.31	280.66	5771.6	57076	3754.9	3772.4	2413	562.96	1510.5	765.43	859.31	280.66	5771.6
P13639;Q15029	766990	51064	46465	19055	9005.8	13617	10165	6353.6	17486	97233	766990	51064	46465	19055	9005.8	13617	10165	6353.6	17486	97233
P13667	82928	1814	3318.1	2404.6	0	765.64	1235.1	505.91	911.16	5215.9	82928	1814	3318.1	2404.6	0	765.64	1235.1	505.91	911.16	5215.9
P13796	409980	12595	22726	12223	6406.6	9690.8	9597.1	2632.1	4024.3	11692	409980	12595	22726	12223	6406.6	9690.8	9597.1	2632.1	4024.3	11692
P14618;P30613;P09466;Q15431	1291900	32734	81312	37561	18477	34068	23525	15322	16843	126490	1291900	32734	81312	37561	18477	34068	23525	15322	16843	126490
P14625;Q58FF3	454530	8123.1	26705	8248.5	3743.5	6292.9	5075.1	1714.7	3860.8	17992	454530	8123.1	26705	8248.5	3743.5	6292.9	5075.1	1714.7	3860.8	17992
P14923	77088	11288	8156.8	4196.6	1904.1	3724.4	321.77	19441	3019.3	863040	77088	11288	8156.8	4196.6	1904.1	3724.4	321.77	19441	3019.3	863040
P15153;P63000;P60763	129670	2765.6	6887.9	2568	2028.3	2361.4	1715.6	790.32	1128.9	7783.4	129670	2765.6	6887.9	2568	2028.3	2361.4	1715.6	790.32	1128.9	7783.4
P15259;Q8N0Y7;P18669	43131	1177.2	2830.2	2727.1	1462.9	2270.3	1553.5	1120.6	901.64	3490.9	43131	1177.2	2830.2	2727.1	1462.9	2270.3	1553.5	1120.6	901.64	3490.9
P15880	119690	5554.9	10124	3074.1	2216.7	1801.8	1270.3	1851.1	1578.8	17430	119690	5554.9	10124	3074.1	2216.7	1801.8	1270.3	1851.1	1578.8	17430
P15924;REV__Q96QA5;REV__Q15477;REV__Q15911	372980	53335	29359	20821	12306	15904	6343.3	85437	22857	3803300	372980	53335	29359	20821	12306	15904	6343.3	85437	22857	3803300
P16401	451570	11607	31896	5619.4	4282.7	4768.9	3500.6	2156.5	5856.4	9852	451570	11607	31896	5619.4	4282.7	4768.9	3500.6	2156.5	5856.4	9852
P16403	289750	13143	17345	7955.2	1867.3	3345.7	1953	2119	4468.1	9568	289750	13143	17345	7955.2	1867.3	3345.7	1953	2119	4468.1	9568
P16949;Q9H169	262550	7071.6	13513	3318.5	2336.6	1978.7	1398	1057.8	3772.9	8904	262550	7071.6	13513	3318.5	2336.6	1978.7	1398	1057.8	3772.9	8904
P17066;P48741	150820	5031.2	7975.6	2633.5	912.68	2134.5	1790.9	1534.2	2268.3	11147	150820	5031.2	7975.6	2633.5	912.68	2134.5	1790.9	1534.2	2268.3	11147
P17096	61001	1539.1	5333.5	644.1	380.84	675.75	430.08	0	963.04	2059.3	61001	1539.1	5333.5	644.1	380.84	675.75	430.08	0	963.04	2059.3
P17844;Q92841	104620	4453.7	5384.4	2041.3	0	1886.1	1100.3	772.56	867.08	12999	104620	4453.7	5384.4	2041.3	0	1886.1	1100.3	772.56	867.08	12999
P17987	8032.6	0	380.41	590	323.19	0	0	0	265.41	841.83	8032.6	0	380.41	590	323.19	0	0	0	265.41	841.83
P18124	242570	5770.3	13821	5002.3	1623.8	3587.6	2347.8	1975.1	3386.1	7355	242570	5770.3	13821	5002.3	1623.8	3587.6	2347.8	1975.1	3386.1	7355
P18621	94195	1276.3	4843.1	1534	482.2	975.16	739.41	0	636.04	1639.4	94195	1276.3	4843.1	1534	482.2	975.16	739.41	0	636.04	1639.4
P19338;REV__P19338	1087500	58027	63151	26950	14942	18317	14759	12363	26920	42360	1087500	58027	63151	26950	14942	18317	14759	12363	26920	42360
P20292	91599	1715.7	6130.6	4038	1447.5	1084.6	2122.3	617.19	426.36	4896	91599	1715.7	6130.6	4038	1447.5	1084.6	2122.3	617.19	426.36	4896
P21333;O75369;Q14315	1181300	31038	69954	29225	20420	27192	17190	18400	12491	77207	1181300	31038	69954	29225	20420	27192	17190	18400	12491	77207
P22234	22078	1832.1	1578.7	848.22	546.51	782.77	238.6	224.66	306.68	6075.1	22078	1832.1	1578.7	848.22	546.51	782.77	238.6	224.66	306.68	6075.1
P22626	524040	35947	31457	14127	8128.7	12058	7453.7	9339.9	8114.8	36290	524040	35947	31457	14127	8128.7	12058	7453.7	9339.9	8114.8	36290
P23141	108670	1838.4	7227	6201.2	1088.1	2252.8	249.87	575.77	467.4	4581.8	108670	1838.4	7227	6201.2	1088.1	2252.8	249.87	575.77	467.4	4581.8
P23246	256790	10162	14664	6713	4632.5	4158.8	3483.2	2279.8	4601.1	13880	256790	10162	14664	6713	4632.5	4158.8	3483.2	2279.8	4601.1	13880
P23284;REV__Q68DA7	249810	5379.7	16577	8353.2	3875.8	4926.3	5897.1	1627.6	3641.6	5851.2	249810	5379.7	16577	8353.2	3875.8	4926.3	5897.1	1627.6	3641.6	5851.2
P23396	113720	10317	8433.2	3797	1995.3	2812.9	2124.5	1252.6	2453.2	7227.9	113720	10317	8433.2	3797	1995.3	2812.9	2124.5	1252.6	2453.2	7227.9
P23528;Q9Y281	189910	7105	12828	4806.6	1906	2671.7	2210.9	1434.4	2207.5	5921.3	189910	7105	12828	4806.6	1906	2671.7	2210.9	1434.4	2207.5	5921.3
P24534	62982	1906.8	4136.9	2281.2	1043.5	933.76	1141	706.77	5008.2	6893.8	62982	1906.8	4136.9	2281.2	1043.5	933.76	1141	706.77	5008.2	6893.8
P25705;REV__O00522;REV__Q9Y5A7	322900	9603.7	21620	8439.6	3332.7	6950.5	3900.4	3697.2	4753.7	12884	322900	9603.7	21620	8439.6	3332.7	6950.5	3900.4	3697.2	4753.7	12884
P26038;P35241;REV__Q9H446	1160300	28558	67360	22898	14509	20631	14312	8617.8	19285	54904	1160300	28558	67360	22898	14509	20631	14312	8617.8	19285	54904
P26373	240730	5476.3	14572	4936.8	2989.6	5862.6	3400	1450.6	3615.3	6142.6	240730	5476.3	14572	4936.8	2989.6	5862.6	3400	1450.6	3615.3	6142.6
P26447	300420	5058.4	15115	8905.5	3953.6	5212.4	4202	2016.5	2118.4	6402.1	300420	5058.4	15115	8905.5	3953.6	5212.4	4202	2016.5	2118.4	6402.1
P26641	33881	1920.5	2551.9	2431.8	1350	2562.5	696.89	1351.1	903.98	3380	33881	1920.5	2551.9	2431.8	1350	2562.5	696.89	1351.1	903.98	3380
P27348;Q04917	111720	1070.5	6520.7	1567.7	667.92	1330.5	721.33	709.48	1357.4	7856.1	111720	1070.5	6520.7	1567.7	667.92	1330.5	721.33	709.48	1357.4	7856.1
Q96L21;P27635	62013	1214.2	3809.3	1474.2	783.15	1340.9	782.51	647.8	1240.4	989.47	62013	1214.2	3809.3	1474.2	783.15	1340.9	782.51	647.8	1240.4	989.47
P27797	589380	17977	30060	13472	5752.5	6094.2	5690.3	2212.2	6501.7	27318	589380	17977	30060	13472	5752.5	6094.2	5690.3	2212.2	6501.7	27318
P27824	126810	2415.5	7868.4	1875.5	390.18	894.64	697.38	0	1299.5	3916	126810	2415.5	7868.4	1875.5	390.18	894.64	697.38	0	1299.5	3916
P29401	400430	11393	22552	9227.5	4803	8332.8	7866.8	3428	5633.8	30174	400430	11393	22552	9227.5	4803	8332.8	7866.8	3428	5633.8	30174
P30050	212670	5058.5	12770	4266.1	1858.3	3204	2697.9	1267.7	2624.1	4513.3	212670	5058.5	12770	4266.1	1858.3	3204	2697.9	1267.7	2624.1	4513.3
P30086	43170	888.73	2039.6	984.37	683.9	580.43	326.46	450.85	1092.7	3122.8	43170	888.73	2039.6	984.37	683.9	580.43	326.46	450.85	1092.7	3122.8
P30101	759060	13919	44147	14876	4308.6	6946.8	6940	3375.1	5421.7	21790	759060	13919	44147	14876	4308.6	6946.8	6940	3375.1	5421.7	21790
P30273	113890	924.94	5308.4	1589.9	319.37	1341.7	1953.8	0	0	1664.9	113890	924.94	5308.4	1589.9	319.37	1341.7	1953.8	0	0	1664.9
P31146	292770	6265.6	19213	10964	5676.1	6294.7	6503.4	4167.8	5652.8	11547	292770	6265.6	19213	10964	5676.1	6294.7	6503.4	4167.8	5652.8	11547
P31943	37042	850.59	2409.6	1257.5	268.09	694.96	300.18	0	661.48	2458.3	37042	850.59	2409.6	1257.5	268.09	694.96	300.18	0	661.48	2458.3
P31946	124660	1401.7	7177.4	2389	612.67	1157.4	1207.4	499.5	925.43	2823.4	124660	1401.7	7177.4	2389	612.67	1157.4	1207.4	499.5	925.43	2823.4
