Protein IDs	Reporter intensity corrected 1	Reporter intensity corrected 2	Reporter intensity corrected 3	Reporter intensity corrected 4	Reporter intensity corrected 5	Reporter intensity corrected 6	Reporter intensity corrected 7	Reporter intensity corrected 8	Reporter intensity corrected 9	Reporter intensity corrected 10
sp|E9PAV3|NACAM_HUMAN;sp|Q13765|NACA_HUMAN;sp|Q9BZK3|NACP4_HUMAN	21877	24265	975.31	2604	26802	56631	481.39	5168.8	65490	69655
sp|O00170|AIP_HUMAN	26265	28481	1069.7	2857.4	30359	39718	1669.3	4243.3	44545	43252
sp|O00193|SMAP_HUMAN	32230	32962	519.3	2859.7	34777	33541	0	3181.7	35715	35318
sp|O00217|NDUS8_HUMAN	2761.6	2826.1	306.86	327.98	3545.5	9286.8	567.74	714.15	11957	12311
sp|O00231|PSD11_HUMAN	3494.7	4167.7	264.77	374.89	4789.8	5108.9	457.04	452.61	7098.6	6189
sp|O00233|PSMD9_HUMAN	13054	13593	1337	1562.6	15052	29840	0	2182.8	32522	29859
sp|O00299|CLIC1_HUMAN	41801	47945	4755	5713.6	50839	164990	1276.5	15810	188510	184840
sp|O00422|SAP18_HUMAN	8328.6	8692.6	655.51	558.12	9687.7	10862	0	815.25	11973	11958
sp|O00425|IF2B3_HUMAN;sp|Q9NZI8|IF2B1_HUMAN	10546	12288	859.84	1070.2	12169	15628	0	1215.5	15572	15362
sp|O00429|DNM1L_HUMAN	0	0	0	0	0	0	0	0	0	0
sp|O00487|PSDE_HUMAN	22240	24262	1164.2	2403.1	24715	38281	1654.3	3571.9	42322	41391
sp|O00567|NOP56_HUMAN	0	0	0	0	0	0	0	0	0	0
sp|O00571|DDX3X_HUMAN;sp|O15523|DDX3Y_HUMAN	20137	21930	1988.2	2709.6	24657	55941	0	4827.4	64602	61748
sp|O00754|MA2B1_HUMAN	9109.5	9913.6	723.64	1128	10578	21432	1933.7	2145.7	25921	24358
sp|O14737|PDCD5_HUMAN	29405	30429	3050.5	3301.7	32753	71646	274.83	5929.2	79008	76170
sp|O14745|NHRF1_HUMAN	15803	16873	1630	1775.4	21762	37929	464.26	3102.9	42557	40110
sp|O14818|PSA7_HUMAN;sp|Q8TAA3|PSMA8_HUMAN	58431	62532	0	5601.5	64976	86942	3094.6	7455.2	96674	97547
sp|P19105|ML12A_HUMAN;sp|O14950|ML12B_HUMAN;sp|P24844|MYL9_HUMAN	66026	74894	3382	6855.4	78121	80503	1719.4	7329.3	88884	89109
sp|O14979|HNRDL_HUMAN	32728	36397	2918.5	3235.9	38532	59643	0	5150.2	65964	66270
sp|O14980|XPO1_HUMAN	14543	15951	366.5	1520.1	16624	29611	720.68	2840.2	34248	35283
sp|O14983|AT2A1_HUMAN;sp|P16615|AT2A2_HUMAN;sp|Q93084|AT2A3_HUMAN	7613.1	8199.1	546.14	711.77	8574.1	16796	0	1451.6	17388	16959
sp|O15067|PUR4_HUMAN	9128.5	11187	866.54	1336.7	11038	28147	446.26	2879.9	31674	32492
sp|O15127|SCAM2_HUMAN	0	0	0	0	0	0	0	0	0	0
sp|O15143|ARC1B_HUMAN	0	0	0	0	0	0	0	0	0	0
sp|O15144|ARPC2_HUMAN	19361	21201	1346.8	1286.8	21252	19428	1649.8	1774.5	22720	23582
sp|O15355|PPM1G_HUMAN	24418	25601	1370.6	2973.7	30551	62932	920.22	5810.9	69604	68298
sp|O15498|YKT6_HUMAN	0	0	0	0	0	0	0	0	0	0
sp|O43143|DHX15_HUMAN	13189	15298	1403.3	1740.2	15557	24661	1075.5	2095.4	28470	27645
sp|O43175|SERA_HUMAN	41038	47848	4306.8	5263.6	52150	67326	2259.8	7275.3	79869	79705
sp|O43324|MCA3_HUMAN	6499.2	7203.4	389.05	669.05	8327.3	15552	0	1165	17856	17718
sp|O43390|HNRPR_HUMAN	66134	68079	6771.4	7798.4	74091	147340	3668.9	13344	163650	163770
sp|O43707|ACTN4_HUMAN	85216	92874	6817.3	12086	99383	264550	679.93	24093	306110	303690
sp|O43765|SGTA_HUMAN	0	0	0	0	0	0	0	0	0	0
sp|O43776|SYNC_HUMAN	28951	32536	2736.3	3626.5	33511	81385	520.25	7992.4	90814	92877
sp|Q96PN8|TSSK3_HUMAN;sp|O43930|PRKY_HUMAN;sp|P51817|PRKX_HUMAN;sp|Q16644|MAPK3_HUMAN;sp|P49137|MAPK2_HUMAN	9069.1	10738	0	1174	11495	29943	0	2411.4	34648	33179
sp|O60234|GMFG_HUMAN;sp|P60983|GMFB_HUMAN	18652	19875	582.03	1753.1	20756	40742	1385.1	4011.5	47057	46973
sp|O60256|KPRB_HUMAN	623.41	841.85	0	218.03	1253.4	1088.8	0	122.49	1184	1094.6
sp|O60493|SNX3_HUMAN	0	0	0	0	0	0	0	0	0	0
sp|O60506|HNRPQ_HUMAN	50735	53698	5114.6	6557.1	57961	177390	454.14	17513	200210	204470
sp|O60610|DIAP1_HUMAN	68927	71056	1428.6	6295.3	74877	58761	4072.9	5322.3	66783	64256
sp|O60613|SEP15_HUMAN	0	0	0	0	0	0	0	0	0	0
sp|O60664|PLIN3_HUMAN	18843	21145	1868.8	2895.6	23140	54314	451.77	5451.7	62174	67944
sp|O60869|EDF1_HUMAN	8095.1	9260.1	0	1389.1	9287.7	19000	1437.5	1951.8	20518	22031
sp|O60888|CUTA_HUMAN	5639	6469.4	623.49	662.01	7287.5	18769	0	1769.8	28540	18974
sp|O75083|WDR1_HUMAN	114170	130080	547.84	11281	135740	129270	8201.5	11592	140010	139800
sp|O75131|CPNE3_HUMAN	0	0	0	0	0	0	0	0	0	0
sp|O75223|GGCT_HUMAN	5241.4	6487.3	473.48	895.1	7443.5	21276	1161.5	2017.6	24035	26637
sp|O75347|TBCA_HUMAN	35546	38102	3316.2	4455.7	41801	89434	0	7514.2	96289	96527
sp|O75348|VATG1_HUMAN	0	0	0	0	0	0	0	0	0	0
sp|O75367|H2AY_HUMAN	8614.9	8826.4	729.39	1012	9700.9	23080	0	1845	26214	27052
sp|O75368|SH3L1_HUMAN	8570.7	9800.1	1147.6	1052.5	10362	20707	0	2105.3	24399	24441
sp|O75369|FLNB_HUMAN	0	0	0	0	0	0	0	0	0	0
sp|O75390|CISY_HUMAN	40586	45758	3548.4	5075.2	46110	102510	1495.3	9196.1	114100	117400
sp|O75475|PSIP1_HUMAN	22324	25405	828.73	2629.7	26561	44549	0	3796.2	50512	48770
sp|O75494|SRS10_HUMAN	1753.1	2501.2	0	214.86	2189.3	6089.7	333.43	429.96	8015.5	7020.2
sp|O75531|BAF_HUMAN	4875.1	5862.1	439.95	574.38	5972.1	5292	477.92	423.56	6542.9	5402.8
sp|O75533|SF3B1_HUMAN	6914.5	6784.7	635.6	999.86	8769.7	15353	869.42	1423.5	17437	15239
sp|O75607|NPM3_HUMAN	5882.4	7332.1	555.51	895.5	7739.9	17570	0	1644.8	21744	20035
sp|O75643|U520_HUMAN	0	0	0	0	0	0	0	0	0	0
sp|O75821|EIF3G_HUMAN	23810	27001	2162.3	3100.8	29974	63478	0	5718.2	73938	70382
sp|O75844|FACE1_HUMAN	0	0	0	0	0	0	0	0	0	0
sp|O75874|IDHC_HUMAN	31531	38914	3180.1	5002.7	42910	143890	493.62	12983	174160	176680
sp|O75937|DNJC8_HUMAN	16279	17752	1667	2470	19259	43358	0	3797.2	48458	45624
sp|O94906|PRP6_HUMAN	0	0	0	0	0	0	0	0	0	0
sp|O94925|GLSK_HUMAN	0	0	0	0	0	0	0	0	0	0
sp|O95232|LC7L3_HUMAN	4354	6411.4	454.23	549.74	7506.5	14665	0	1343.1	17900	19212
sp|O95336|6PGL_HUMAN	559.11	974.09	57.882	0	1041.3	2665	151.31	289.46	3113.6	2811.9
sp|O95399|UTS2_HUMAN	27119	28263	698.69	3006.9	28111	63016	0	5399.3	72116	68908
sp|O95433|AHSA1_HUMAN	1796.5	2346.8	93.903	340.87	2775.4	7247.1	412.1	661.03	7955.5	8369.7
sp|O95777|LSM8_HUMAN	16907	19594	2175.5	2342.6	21009	32268	1333.8	3299.9	39718	37500
sp|O95831|AIFM1_HUMAN	14837	16182	1219.5	1353.9	16132	24798	402.07	2152.2	26766	25230
sp|P00338|LDHA_HUMAN	104500	117510	6065.1	11464	122560	197910	3475.7	16382	218080	220370
sp|P00367|DHE3_HUMAN;sp|P49448|DHE4_HUMAN	48400	51406	3185.2	5850.1	55386	111380	1961.5	9044	123720	123500
sp|P00390|GSHR_HUMAN	5953.2	6717.9	788	885.13	7135.7	25561	0	1387.8	15085	14686
sp|P00403|COX2_HUMAN	29122	36341	0	2298.3	36806	42282	1457.2	3405.4	46886	47424
sp|P00441|SODC_HUMAN	104980	107530	2781.8	9544.8	114770	128910	6217	9584.3	137040	133750
sp|P00491|PNPH_HUMAN	14107	16913	976.44	1410	17916	19971	0	1896.7	22951	22109
sp|P00505|AATM_HUMAN	40651	43505	0	4340.6	46470	78866	1909.8	6892.6	88196	88264
sp|P00558|PGK1_HUMAN;sp|P07205|PGK2_HUMAN	180500	194730	15587	24323	208640	631870	3259.6	57361	706280	708040
sp|P00813|ADA_HUMAN	124280	140250	3603	12133	145300	100210	6178.2	9264.7	108360	104960
sp|P01008|ANT3_HUMAN	41873	48095	2430.9	4964.8	51357	130040	0	9981.5	143080	137110
sp|P01023|A2MG_HUMAN;sp|P20742|PZP_HUMAN	116550	136260	7664.1	13644	144300	270910	3954	21742	323630	325080
sp|P01024|CO3_HUMAN	27973	29018	2617.4	3503	31384	106220	649.33	9928	118890	118430
sp|P01042|KNG1_HUMAN	4517.6	4940.4	259.21	810.34	5326.9	54808	0	4111	57713	63681
sp|P69892|HBG2_HUMAN;sp|P69891|HBG1_HUMAN;sp|P68871|HBB_HUMAN;sp|P02100|HBE_HUMAN;sp|P02042|HBD_HUMAN	14065	17370	1518.8	2788.1	18297	90933	0	8888.2	108260	115420
sp|P02545|LMNA_HUMAN	59750	64941	4944.4	8144.3	67817	207340	1957	18244	233690	230690
