Protein IDs	Reporter intensity corrected 1	Reporter intensity corrected 2	Reporter intensity corrected 3	Reporter intensity corrected 4	Reporter intensity corrected 5	Reporter intensity corrected 6	Reporter intensity corrected 7	Reporter intensity corrected 8	Reporter intensity corrected 9	Reporter intensity corrected 10
sp|P11177|ODPB_HUMAN	2498.3	3081.3	274.09	443.93	3553.1	7482.2	536.33	722.87	8544	8935.8
sp|P11387|TOP1_HUMAN	16958	16992	1803.6	2207.6	18890	22111	1350.2	2378.1	24187	21759
sp|P11388|TOP2A_HUMAN	12921	13771	1283.4	1360.4	14320	26505	0	2383.9	28649	28116
sp|P11413|G6PD_HUMAN	26331	31846	3086.8	3909	33980	43507	4140.7	5558.6	52123	51285
sp|P11586|C1TC_HUMAN	17740	17903	1317.1	1839.8	20616	34203	812.58	3326.1	42186	42481
sp|P60891|PRPS1_HUMAN;sp|P21108|PRPS3_HUMAN;sp|P11908|PRPS2_HUMAN	5743.1	7198.7	446.58	804.19	8210.7	17840	206.74	1504.9	25151	20982
sp|P11940|PABP1_HUMAN;sp|Q9H361|PABP3_HUMAN;REV__sp|Q8NHZ8|CDC26_HUMAN;sp|Q13310|PABP4_HUMAN;REV__sp|P09917|LOX5_HUMAN	46070	52096	4843.7	6466	52438	114920	1322	10843	128260	129690
sp|P12004|PCNA_HUMAN	80316	90530	5388.9	10355	99594	202250	4376.4	18941	231820	239620
sp|P12081|SYHC_HUMAN	16549	19494	0	1752	19318	34291	0	3306.1	40167	38041
sp|P12109|CO6A1_HUMAN	6700	8690.4	892.41	1353.6	8339.2	16804	639.89	1825.5	18924	20393
sp|P12268|IMDH2_HUMAN;sp|P20839|IMDH1_HUMAN	58150	67170	3811.5	6485.8	70796	138880	2254.8	11632	158490	155040
sp|P12814|ACTN1_HUMAN	17628	19875	1448	3142.2	20546	52964	0	6157.6	61462	63682
sp|P12956|XRCC6_HUMAN	141620	157750	6873.4	15023	168200	278120	3531.5	25318	308280	314190
sp|P13010|XRCC5_HUMAN	75289	86626	3875.6	8306.2	92659	141490	2963.1	12298	157050	157190
sp|P13489|RINI_HUMAN	15826	18041	1406.1	2453.4	18506	61758	790.71	5423	73014	69103
sp|P13639|EF2_HUMAN	272460	301200	14383	30379	322920	647360	4711.6	55866	745540	729040
sp|P13645|K1C10_HUMAN;sp|P08779|K1C16_HUMAN;sp|P02533|K1C14_HUMAN;sp|Q7Z3Y7|K1C28_HUMAN;sp|P08727|K1C19_HUMAN;sp|Q04695|K1C17_HUMAN;sp|P19012|K1C15_HUMAN;sp|Q14532|K1H2_HUMAN;sp|O76014|KRT37_HUMAN;sp|Q7Z3Z0|K1C25_HUMAN;sp|Q92764|KRT35_HUMAN;sp|O76015|KRT38_HUMAN;sp|Q14525|KT33B_HUMAN;sp|P13646|K1C13_HUMAN;sp|Q7Z3Y8|K1C27_HUMAN;sp|O76013|KRT36_HUMAN;sp|Q7Z3Y9|K1C26_HUMAN;sp|P05783|K1C18_HUMAN;sp|Q15323|K1H1_HUMAN;sp|Q99456|K1C12_HUMAN;sp|Q2M2I5|K1C24_HUMAN	71821	79288	5037.6	7276.3	86819	149530	1642	13119	166970	168350
sp|P13667|PDIA4_HUMAN	77518	79057	7171.4	8715.5	82372	128700	0	11565	147670	140250
sp|P13693|TCTP_HUMAN;sp|Q56UQ5|TPT1L_HUMAN	63528	66823	8697.9	8834.5	69168	99706	2724.3	12479	110480	112000
sp|P13796|PLSL_HUMAN;sp|P13797|PLST_HUMAN;sp|Q14651|PLSI_HUMAN	348890	385650	21366	41365	414410	460060	23323	43271	530380	530330
sp|P13798|ACPH_HUMAN	12752	13006	1125.5	1262.6	14770	27622	0	2642	31800	31089
sp|P14314|GLU2B_HUMAN	14331	15211	1060.4	1327.2	16226	30575	0	3017.5	34974	34709
sp|P14324|FPPS_HUMAN	55935	60912	2478.8	6788.5	60517	109400	3232.7	10774	124770	123680
sp|P14550|AK1A1_HUMAN	0	0	0	0	0	0	0	0	0	0
sp|P14618|KPYM_HUMAN;sp|P30613|KPYR_HUMAN	322680	364000	20586	39438	389500	968310	10303	74537	1112800	1116700
sp|P14625|ENPL_HUMAN;sp|Q58FF3|ENPLL_HUMAN	203910	219420	13489	28151	234020	602760	3211.8	53347	661650	686830
sp|P63162|RSMN_HUMAN;sp|P14678|RSMB_HUMAN	40609	45761	1695.9	4515.7	50985	97849	0	7679.6	113830	114370
sp|P14866|HNRPL_HUMAN	81979	92528	6279.3	10529	98003	170870	2808.4	16517	193570	192730
sp|P14868|SYDC_HUMAN	26675	28913	2845.2	3994.5	29991	60762	2666.9	5697.1	67404	67874
sp|P15153|RAC2_HUMAN;sp|P63000|RAC1_HUMAN;sp|P60763|RAC3_HUMAN	22790	24696	760.7	2291.8	25948	32618	0	2788.1	37231	35496
sp|P15170|ERF3A_HUMAN;sp|Q8IYD1|ERF3B_HUMAN	10557	12327	0	1226.5	12505	25033	0	2142.8	26059	26787
sp|P15311|EZRI_HUMAN	31537	37656	3322.9	4387.7	41489	70009	1100.9	7331	81046	81112
sp|P15374|UCHL3_HUMAN	0	0	0	0	0	0	0	0	0	0
sp|P15586|GNS_HUMAN	7514.1	10130	863.95	1254.9	12117	34246	696.61	2757.5	44571	33449
sp|P15880|RS2_HUMAN	60124	68200	686.58	5375.8	71953	92305	3649.3	7368.3	104410	102150
sp|P16104|H2AX_HUMAN	37854	39146	0	3142.2	39963	34137	3697.2	2850.3	37960	38638
sp|P16401|H15_HUMAN;REV__sp|P16401|H15_HUMAN	476390	485660	13119	44472	515910	501020	17169	42791	551120	548660
sp|P16402|H13_HUMAN;REV__sp|P16402|H13_HUMAN	52465	55402	1764.8	5065.9	58137	81722	1380.2	6909.1	88111	88747
sp|P16403|H12_HUMAN	92402	91809	5001.6	9992.1	99814	178980	592.69	15400	194610	194130
sp|P16949|STMN1_HUMAN;sp|Q9H169|STMN4_HUMAN	152270	157260	11874	16409	169310	287210	8250.2	25077	314190	318760
sp|P17096|HMGA1_HUMAN	26226	25350	1284	3607	27971	78293	0	6391	94220	87867
sp|P17174|AATC_HUMAN	7833.3	10278	931.65	1280.5	10544	17173	1621.4	1921.8	20395	19351
sp|P17844|DDX5_HUMAN	95285	103070	4903	10288	110860	138360	2915.6	11627	158840	154120
sp|P17980|PRS6A_HUMAN	2142.8	2599.4	239.85	368.69	3181.4	6337.6	411.47	687.93	8241	6718.1
sp|P17987|TCPA_HUMAN	78643	92182	5418.1	10790	92870	181280	2050.3	17079	195520	196190
sp|P18077|RL35A_HUMAN	33088	35420	2418.9	4898.8	37669	87591	2530.6	8860.6	96517	98693
sp|P18124|RL7_HUMAN	94313	108030	5001.5	11780	111810	186540	6491.3	17831	216550	202680
sp|P18621|RL17_HUMAN	16787	18180	756.33	1620.9	18937	29449	0	2838.1	32663	32997
sp|P18669|PGAM1_HUMAN;sp|P15259|PGAM2_HUMAN;sp|Q8N0Y7|PGAM4_HUMAN	71252	75739	3506.3	9170.7	81987	148950	7448.5	15538	168940	166590
sp|P18754|RCC1_HUMAN	7866.4	7602.4	889.92	791.15	9268.4	16350	1137.9	1704.1	17013	16582
sp|P19338|NUCL_HUMAN;REV__sp|P19338|NUCL_HUMAN	470770	500460	38650	54025	535010	1046800	16783	90644	1169500	1168500
sp|P19623|SPEE_HUMAN	8740.8	11509	704.29	1023.8	12497	31771	0	2274.1	35909	35170
sp|P19823|ITIH2_HUMAN	119100	131710	11135	17547	139600	409240	0	38918	475840	475090
sp|P19827|ITIH1_HUMAN	6161	6630.8	674.18	963.67	8497.1	21042	0	1738.7	23431	21411
sp|Q9NRW1|RAB6B_HUMAN;sp|P20340|RAB6A_HUMAN;sp|Q14964|RB39A_HUMAN	10311	12215	0	1274.2	11985	26328	0	2294.8	30592	28719
sp|P20671|H2A1D_HUMAN	188570	196440	8711.7	17187	212690	264880	10106	21176	294610	296540
sp|P20674|COX5A_HUMAN	15623	15874	1596	1621.1	17972	37768	0	3115.6	45998	42482
sp|P20700|LMNB1_HUMAN	173030	184960	10706	17210	196920	241100	8593.2	21853	266180	261810
sp|P20962|PTMS_HUMAN	7006.7	7201.1	1037.2	1335.8	7851.9	19051	1713.4	2450.8	21104	20167
sp|P21333|FLNA_HUMAN	303330	337490	17785	34129	362090	421110	19591	40793	474990	468090
sp|P21796|VDAC1_HUMAN	4631.3	5417.7	459.21	628.92	5878.3	5681.1	695.23	499.37	6266.8	6530.1
sp|P22087|FBRL_HUMAN	26287	27653	449.19	2751.9	27292	41769	548.23	4020.9	48715	48965
sp|P22102|PUR2_HUMAN	6124.9	6416.1	840.02	655.28	6398.2	13854	1019.3	1609.6	15716	16118
sp|P22234|PUR6_HUMAN	82343	89543	3797.9	8898.2	95357	147380	2449.8	14082	172180	168750
sp|P22307|NLTP_HUMAN	23211	24632	1433.7	2821.6	25973	45736	0	4124.3	51894	50457
sp|P22314|UBA1_HUMAN;sp|Q9NP80|PLPL8_HUMAN	123970	141010	8611.2	13898	152980	277490	7077.1	23473	320590	304220
sp|P22392|NDKB_HUMAN;sp|O60361|NDK8_HUMAN;sp|P15531|NDKA_HUMAN	82460	90070	7316.9	10406	96075	171160	1987.6	16540	194190	192620
sp|P22626|ROA2_HUMAN	259330	276850	11611	26058	289710	443900	8930.5	38138	504670	496320
sp|P23141|EST1_HUMAN	22587	26506	2436.4	3004.1	29102	103620	987.55	10695	120340	122420
sp|P23142|FBLN1_HUMAN	6982.8	8826.8	782.61	1093.9	8859.7	24040	0	1985.7	27229	26201
sp|P23193|TCEA1_HUMAN	2636	3345.6	265.08	356.56	3482.6	4704.8	442.22	423.75	5788	5803.7
sp|P23246|SFPQ_HUMAN	56038	62223	3711.9	6408.5	66297	116360	389.65	11358	134100	129930
sp|P23284|PPIB_HUMAN	50598	57870	5430.9	7682.8	61830	236060	436.82	20439	266990	265140
sp|P23381|SYWC_HUMAN	9140	10493	1115.1	1217.8	11561	20840	1586.1	1934.9	24077	24618
sp|P23396|RS3_HUMAN	127650	138960	6046	13168	145950	246670	1016.8	22736	287670	288830
sp|P23526|SAHH_HUMAN	25818	26966	2735.8	3093.2	27829	54731	529.05	5757.7	65093	60835
sp|P23528|COF1_HUMAN;sp|Q9Y281|COF2_HUMAN	111950	123590	5117.5	12811	126960	167780	5507.1	15470	190560	189810
sp|P23588|IF4B_HUMAN	42681	43948	2581.8	4394.5	46263	107540	1328.8	8144.4	118780	117720
sp|P24534|EF1B_HUMAN	45285	52220	2472.9	4875.9	50071	83563	3439.4	7091.7	93328	93703
sp|P24539|AT5F1_HUMAN	9373.8	10184	757.89	998.22	12089	15182	1374.5	1319.6	18133	14826
sp|P24752|THIL_HUMAN	11246	12710	974.11	1438.5	13257	38861	0	3271.4	46764	46717
sp|P25205|MCM3_HUMAN	80400	93692	5845.2	9629.2	104240	221120	2459.3	20173	260160	262620
sp|P25398|RS12_HUMAN	58342	61045	390.19	4473.2	63754	76429	392.51	6534.8	83383	87015
sp|P25705|ATPA_HUMAN	158620	175940	6071.5	18897	188530	230290	8283.1	22661	261090	255920
sp|P25786|PSA1_HUMAN	27720	29478	2119.6	2630	32398	53365	1465.2	4400.9	61954	60494
sp|P25788|PSA3_HUMAN	26249	27516	1366.8	2916.9	28101	39944	3240.2	3746	45741	41302
sp|P25789|PSA4_HUMAN	60510	70799	3311.7	6253.8	75163	105560	1338.3	9594.4	119060	117390
sp|P25815|S100P_HUMAN	0	0	0	0	0	0	0	0	0	0
sp|P26038|MOES_HUMAN;sp|P35241|RADI_HUMAN;REV__sp|Q9H446|RWDD1_HUMAN	409400	434710	21834	45633	462820	1011000	9961.4	88358	1139600	1127700
sp|P26368|U2AF2_HUMAN	20241	22557	230.8	2278.9	24052	38361	321.93	3211.9	43858	41805
sp|P26373|RL13_HUMAN	89117	92009	4101.6	10807	101440	272800	0	21535	286110	287210
sp|P26447|S10A4_HUMAN	39102	42622	3179.7	7484.7	48803	276840	0	24767	313380	312080
sp|P26583|HMGB2_HUMAN;sp|O15347|HMGB3_HUMAN	91826	95585	1481	8203.2	97706	181050	0	12235	191980	201010
sp|P26599|PTBP1_HUMAN;sp|O95758|PTBP3_HUMAN	47395	55059	2608.6	5620.9	58581	119420	2092.9	10534	139380	131190
sp|P26639|SYTC_HUMAN	37510	41499	3171.9	4795.5	43962	77033	0	6743.7	85455	88943
sp|P26641|EF1G_HUMAN	96006	105740	4870	12159	111620	216350	8307.4	17406	250580	248600
sp|P27348|1433T_HUMAN	62436	67520	6579	7934.2	70470	129820	2241.9	11532	143220	137760
sp|Q96L21|RL10L_HUMAN;sp|P27635|RL10_HUMAN	51782	53319	5084.2	5300.2	56801	90723	0	8315.5	102350	102190
sp|P27694|RFA1_HUMAN	14759	15756	0	1699	16032	24053	0	1827.4	25815	26573
sp|P27695|APEX1_HUMAN	19972	22483	515.8	3072.1	28105	39806	2696.8	3431.1	41555	40098
sp|P27708|PYR1_HUMAN	2775	4034.4	373.66	551.9	4506.9	7260.5	538.27	789.13	10818	8844.4
sp|P27797|CALR_HUMAN	122650	139830	7858.4	14995	145140	405470	1653	37360	456060	486330
sp|P27824|CALX_HUMAN	56478	62441	3737.2	6538.2	66324	163480	638.18	15148	180130	189140
sp|P28066|PSA5_HUMAN	3267.4	5226.8	293.16	409.04	4648.1	7271.2	654.94	660.58	9164.8	8788.3
sp|P28070|PSB4_HUMAN	17515	21107	2065.4	2949.8	20678	47589	1015.2	4619	55786	54401
sp|P28072|PSB6_HUMAN	20386	23124	0	2342	24410	43760	0	3721.1	47458	44086
sp|P28074|PSB5_HUMAN	8915.6	9678.1	970.44	980.61	10792	16142	1274.7	1643.1	16835	16413
sp|P28838|AMPL_HUMAN	15297	18651	1611.4	2393.2	22415	40310	1084.8	3831.6	50522	47012
sp|P29350|PTN6_HUMAN	50070	51345	4372.3	5954.6	61340	103200	3271.5	9152.2	139790	114430
sp|P29401|TKT_HUMAN	148390	161090	12859	21996	173970	533360	9875.4	46894	604990	623810
sp|P29692|EF1D_HUMAN	65092	75186	6216.4	8829.5	80459	159690	1332.8	15150	187400	176860
sp|P30040|ERP29_HUMAN	44153	49264	3119.2	5709	53180	182860	2069.4	13637	203660	212170
sp|P30048|PRDX3_HUMAN	33796	39395	3604.4	5014.7	41840	80500	3166.4	7709.1	90969	90330
sp|P30050|RL12_HUMAN	16995	20152	1377.2	2338	20645	48577	802.7	4374.4	54939	54247
sp|P30084|ECHM_HUMAN	7561.6	9076.6	729.06	842.57	9723.1	14409	0	1312.7	17326	16524
sp|P30085|KCY_HUMAN	16319	18377	1553.7	2407.9	19065	53884	0	5031.2	60149	57401
sp|P30086|PEBP1_HUMAN	40903	42614	3644.4	5038.2	47554	151460	1052.8	12461	169140	168490
sp|P30101|PDIA3_HUMAN	184420	206420	11559	24689	219150	644460	4470.3	60885	734320	757700
sp|P30153|2AAA_HUMAN	18180	19865	0	1686.7	20686	29248	0	2502.4	31391	30278
sp|P30405|PPIF_HUMAN	17305	18785	2022.8	2554.8	20098	65707	0	5439	74560	75217
sp|P30520|PURA2_HUMAN	4956.8	5640.5	524.27	832.16	6430.8	14740	1097.6	1895	16592	17905
sp|P30533|AMRP_HUMAN	10989	15367	1001.8	2484.1	13288	46995	475.98	3953.9	54253	54022
sp|P30740|ILEU_HUMAN	10869	13001	1306	1806.4	15340	46845	0	4612.6	51730	54022
sp|P31040|SDHA_HUMAN	7157.8	8076.9	659.82	969.6	8168.4	20063	0	1721.5	22267	21684
sp|P31146|COR1A_HUMAN	267720	279790	3346.7	24350	299240	388590	4645.2	28418	428580	425610
sp|P31153|METK2_HUMAN	16109	18375	0	1645.4	19155	22292	0	2149.7	24588	23722
sp|P31483|TIA1_HUMAN	4958.7	4749.4	386.72	623.83	5087.7	6743.1	591.06	736.17	8082.2	6442.4
sp|P31930|QCR1_HUMAN	7656.2	9480.9	934.27	899.37	8995.8	18050	0	1787.4	20224	19975
sp|P31939|PUR9_HUMAN	81079	94353	2529.3	9151.7	99147	121550	2605	11081	137880	137170
sp|P31942|HNRH3_HUMAN	32226	34966	1918.4	3583.5	38584	68645	2203.3	6181.4	77067	72645
sp|P31943|HNRH1_HUMAN;sp|P55795|HNRH2_HUMAN	36074	42255	4182.8	4612.1	43037	60530	3639.1	5852.8	67432	65436
sp|P31946|1433B_HUMAN	37335	39459	3743.9	4174.2	41175	62490	432.92	6259.7	67022	63974
sp|P31947|1433S_HUMAN	15785	17186	0	1571.3	17814	33967	0	2602.1	46168	36242
sp|P31948|STIP1_HUMAN	43004	48504	3341.1	5643.9	51455	85377	2169.6	8328.2	94551	97216
sp|P31949|S10AB_HUMAN	39401	43936	4314.5	5973.8	47256	194200	1090.1	16519	213000	228100
sp|P32119|PRDX2_HUMAN	83397	90873	2516	6867.5	98122	97727	0	7345	109430	110630
sp|P32969|RL9_HUMAN	49750	53258	1810.1	4533.2	55904	77064	0	6501.8	82888	86589
sp|P33176|KINH_HUMAN	4164.6	5844.4	516.19	757.15	6178.7	18215	1100.5	1733.3	20726	20148
sp|P33316|DUT_HUMAN	25953	27859	2517.4	2780.9	30527	90830	1089.7	7917.3	105500	102540
sp|P33991|MCM4_HUMAN	21876	24693	2072.1	3036	26697	64625	1762.6	6004.9	75731	74742
sp|P33993|MCM7_HUMAN	59098	67193	6254.1	7573.7	74576	150860	3517.5	14197	166190	165300
sp|P34897|GLYM_HUMAN	8469	10481	1005.3	1329	12465	25270	1634.5	2337.9	29085	30462
sp|P34932|HSP74_HUMAN	17542	19503	591.35	1552.2	19793	23054	1942.9	1936.5	25902	25588
sp|P35232|PHB_HUMAN	46227	56243	1534.2	5927.4	56361	107200	431.52	10449	122500	119700
sp|P35244|RFA3_HUMAN	5417.1	7024.3	706.78	1045.8	7664.6	20343	783.43	2009.3	23448	22700
sp|P35268|RL22_HUMAN	19786	22373	1863.9	3075.5	24477	73072	587.24	7483	82380	83978
sp|P35527|K1C9_HUMAN	63006	69459	5020.1	7225.1	73699	98693	4669.7	9670	113350	118130
sp|P35579|MYH9_HUMAN;sp|P35749|MYH11_HUMAN;sp|P35580|MYH10_HUMAN;REV__sp|Q9UKV3|ACINU_HUMAN	618450	675250	36528	72061	720090	897240	42143	87469	1013700	992250
sp|P35613|BASI_HUMAN	21470	23648	674.17	2503.5	24685	57789	0	4778.7	65197	64244
sp|P35637|FUS_HUMAN	14762	18043	1120.3	1719	19204	40020	2043.7	3896.6	45704	44798
sp|P35659|DEK_HUMAN	0	0	0	0	0	0	0	0	0	0
sp|P35908|K22E_HUMAN	15648	17523	1259.4	2054.8	18428	31899	2228.2	2627	33658	35831
sp|P35998|PRS7_HUMAN	15126	18194	1503.8	2068.5	19361	32247	1575.4	3183.8	35261	35217
sp|Q02750|MP2K1_HUMAN;sp|P36507|MP2K2_HUMAN	23150	24790	0	2017.6	23814	21567	0	1853	22661	22969
sp|P36578|RL4_HUMAN	162150	175530	6286.9	18488	184360	324190	9964	30313	361420	359190
sp|P36776|LONM_HUMAN	3049.9	4567.4	413.89	433.66	4533.8	15662	0	1495.3	17509	17697
sp|P36873|PP1G_HUMAN	3275.5	4205.7	333.65	427.76	4657.5	8655.5	535.92	697.8	11251	10808
sp|P36955|PEDF_HUMAN	21981	25062	1417	3328.7	28294	79670	931.73	7881.4	92110	93236
sp|P37108|SRP14_HUMAN	49263	52238	1437.8	5894	56731	119890	0	9263.9	138070	138620
sp|P37802|TAGL2_HUMAN;sp|Q9UI15|TAGL3_HUMAN	33231	38071	2200.6	4983.8	40952	110350	2250.8	9180.9	131220	123880
sp|P37837|TALDO_HUMAN	137260	151670	8271.5	15507	158910	350990	0	29471	392460	386170
sp|P38117|ETFB_HUMAN	5374.2	6287.4	474.97	620.35	6449.6	14474	0	1336.3	16765	17528
sp|P38159|RBMX_HUMAN;sp|Q96E39|RMXL1_HUMAN;sp|O75526|RMXL2_HUMAN;sp|Q8N7X1|RMXL3_HUMAN	77381	83380	6380.6	9580.1	89011	134590	3959.8	12831	144960	137660
sp|P38646|GRP75_HUMAN	161490	177570	9424.8	21400	187060	405590	5076.3	39512	469870	464420
sp|P39019|RS19_HUMAN	67733	73221	3134.7	7667.7	78723	172920	0	15111	196700	194900
sp|P39023|RL3_HUMAN	93442	99295	6597.6	10993	106660	182240	386.35	15822	197460	198200
sp|P39656|OST48_HUMAN	15806	20321	863.45	1783.9	22734	41880	0	3582	49388	49187
sp|P39687|AN32A_HUMAN;sp|O95626|AN32D_HUMAN;sp|O43423|AN32C_HUMAN;REV__sp|Q9Y2X3|NOP58_HUMAN	55161	58575	2863.9	6181.4	59004	116940	1573.5	10713	129510	133150
sp|P39748|FEN1_HUMAN	26780	27752	368.13	2763.8	30779	69823	702.23	4872.6	80591	79959
sp|P40121|CAPG_HUMAN	78242	87794	5921.4	10437	89928	384450	2394.9	18623	433320	453770
sp|P40227|TCPZ_HUMAN;sp|Q92526|TCPW_HUMAN	67556	74727	2619.2	7093.2	77916	132250	3395.6	11069	149520	146530
sp|P40429|RL13A_HUMAN;sp|Q6NVV1|R13P3_HUMAN	19942	21138	1503.4	2147.2	21791	41221	0	3773.3	45037	46030
sp|P40925|MDHC_HUMAN	28258	27969	3149.4	3352.5	31110	54034	1090.6	4445.1	61242	58819
sp|P40926|MDHM_HUMAN	52899	58767	3253.6	7126.7	64923	205230	1484.9	16075	238220	232290
sp|P40939|ECHA_HUMAN	3532.9	4480.1	325.01	530.66	5113.9	12183	0	1242.5	15048	16524
sp|Q2VIR3|IF2GL_HUMAN;sp|P41091|IF2G_HUMAN	7143.3	8305.9	572.55	823.02	8659.1	13534	0	1372.7	15263	15989
sp|P41218|MNDA_HUMAN	3829.3	4221.2	380.56	563.73	4385	8964.1	474.6	1095	11007	9935.8
sp|P41240|CSK_HUMAN	0	0	0	0	0	0	0	0	0	0
sp|P41250|GARS_HUMAN	49944	53787	2690.5	5280	56889	99447	1762.1	9246.1	112570	114050
sp|P42167|LAP2B_HUMAN;sp|P42166|LAP2A_HUMAN	64285	70779	4760.9	7719.5	75038	130990	3065.7	13388	152120	145590
sp|P42224|STAT1_HUMAN	6036.9	6555.4	652.43	731.87	7873.2	16989	1035.2	1946	19770	18877
sp|P42704|LPPRC_HUMAN	17733	18774	2062	2837.7	20134	52594	0	6522.7	58671	57789
sp|P42766|RL35_HUMAN	26783	29168	1055	2775.4	31849	49487	0	3766.6	53610	54443
sp|P43243|MATR3_HUMAN	97462	106810	4172.4	11935	110120	158380	3885.7	14457	174760	169970
sp|P43307|SSRA_HUMAN	11931	13745	1169.4	1452.8	16466	31134	535.28	3186.5	37679	37326
sp|P43487|RANG_HUMAN	37218	40315	2142.1	3645.2	44420	54636	2008.8	4639.6	63291	63827
sp|P45880|VDAC2_HUMAN	34820	46065	0	4193.9	46871	47224	0	3959	55144	57020
sp|P45974|UBP5_HUMAN	7982.5	9415.1	817.2	1033.9	8907.8	15119	0	1583.8	17601	16428
sp|P46459|NSF_HUMAN	3341.1	3293.3	301.06	376.9	3527.7	10848	391.45	835.09	12686	12194
sp|P46776|RL27A_HUMAN	35004	39057	2873	4482.5	42410	80820	1657	9424.1	90677	102140
sp|P46777|RL5_HUMAN	46713	48654	2824.7	5456.4	51442	89931	512.43	8214.7	96278	98385
sp|P46778|RL21_HUMAN;sp|Q9H553|ALG2_HUMAN;REV__sp|Q9NRL2|BAZ1A_HUMAN	64034	71966	5824.8	7234.4	69680	146860	1954.5	13244	162560	162670
sp|P46779|RL28_HUMAN	45906	45491	0	4403.3	49013	68315	0	6675.7	78262	73382
sp|P46781|RS9_HUMAN	65671	69047	4868.3	5436.7	73679	120400	2717	8879.6	135920	134860
sp|P46782|RS5_HUMAN	25811	28828	1220	3281.4	31657	64590	2313.6	5776.6	69166	71909
sp|P46783|RS10_HUMAN	23096	28007	2195.5	2928.8	32081	67192	0	5869.5	81151	83327
sp|P46940|IQGA1_HUMAN	32618	37507	2250.4	4633	41213	97129	1558.3	9660.7	112030	115200
sp|P47755|CAZA2_HUMAN	13756	15816	1482.8	2036.4	17628	40713	1413	3591.1	45583	43666
sp|P47756|CAPZB_HUMAN	17054	16901	1158.9	1516.3	18297	40102	989.63	3178.4	43287	45024
sp|P47897|SYQ_HUMAN	5791.7	7755.3	613.91	830.33	8436.7	17356	0	1714.7	21131	21533
sp|P47914|RL29_HUMAN	42614	42932	3832.4	4750.8	44294	81463	1754.1	7109.1	86887	91452
sp|P48643|TCPE_HUMAN	138900	152790	6241.5	15465	161240	293830	1463.3	27087	322470	332170
sp|P48735|IDHP_HUMAN	11170	14529	1254.3	1682.8	17618	19402	0	1568.1	23010	22185
sp|P49189|AL9A1_HUMAN	6778.3	7189.4	726.59	935.55	8500.9	12368	922.57	1114	12592	12146
sp|P49207|RL34_HUMAN	131640	82904	5714.3	12695	78514	147020	0	10285	159520	156940
sp|P49321|NASP_HUMAN	48502	52378	1513.5	5685.1	56860	101960	3094.1	8190.9	114890	113050
sp|P49368|TCPG_HUMAN	131210	150460	9345.6	16699	164160	249780	3463.2	24165	288610	280370
sp|P49411|EFTU_HUMAN	24059	27392	1964.4	3369.6	30364	69468	1343	5620.5	77268	77364
sp|P49458|SRP09_HUMAN	12782	12322	0	984.59	13553	17879	0	1463.4	19960	18181
sp|P49588|SYAC_HUMAN;REV__sp|Q9H7Y0|DIK2B_HUMAN	32803	35545	1327.2	4068	39069	63410	1808.7	6698.1	71485	73756
sp|P49591|SYSC_HUMAN	8284.5	10265	460.19	733.41	11757	19063	0	1113.7	21922	22727
sp|P49720|PSB3_HUMAN	5816.5	7077.6	562.68	873.08	6504.1	13116	0	1114.4	15404	16410
sp|P49736|MCM2_HUMAN	20408	22721	1941.4	2936.2	24212	65840	0	6162.1	73013	77769
sp|P49747|COMP_HUMAN;sp|P35443|TSP4_HUMAN	17574	19076	707.87	2260.4	21244	49531	0	4026	57649	53103
sp|P49755|TMEDA_HUMAN	7451.4	8325.4	896.1	1297.4	8704.1	20243	0	2007.5	22080	23555
sp|P49773|HINT1_HUMAN	26464	26154	0	2548.9	27757	21141	0	1656.1	24427	21922
sp|P49915|GUAA_HUMAN	0	0	0	0	0	0	0	0	0	0
sp|P50213|IDH3A_HUMAN	11853	14291	1271	1743	15157	52021	0	4693.8	59838	59037
sp|P50395|GDIB_HUMAN	40203	47566	2093	4874.9	51725	91862	1868.8	8179.9	105540	110940
sp|Q8IZP2|ST134_HUMAN;sp|Q8NFI4|F10A5_HUMAN;sp|P50502|F10A1_HUMAN	22102	24274	675.44	2787.1	26797	49895	0	4056.3	53678	56749
sp|P50552|VASP_HUMAN	12882	13837	1469.2	1854.7	17781	46623	661.2	5438.1	55912	52167
sp|Q05193|DYN1_HUMAN;sp|P50570|DYN2_HUMAN	0	0	0	0	0	0	0	0	0	0
sp|P50897|PPT1_HUMAN	6632.6	6773.2	390.85	922.06	6761.4	24564	0	2005.6	27711	27735
sp|P50914|RL14_HUMAN	46076	50249	2237.8	6465	56108	170200	309	16048	185590	193400
sp|P50990|TCPQ_HUMAN	217460	238660	10616	23074	246690	382700	4194.4	32830	430820	421990
sp|P50991|TCPD_HUMAN	41833	47035	3129.9	4977.8	51129	96005	2751.8	9057.4	110680	112280
sp|P50995|ANX11_HUMAN	8834.7	9132.6	792.05	1104.6	9812	19676	0	2001.9	21536	20741
sp|P51148|RAB5C_HUMAN	21876	21636	2062.8	2566.3	24395	42265	477.68	3301.9	45765	40112
sp|P51149|RAB7A_HUMAN	35888	42981	2684	4691.3	44634	97265	0	9321.1	111470	111810
sp|P51571|SSRD_HUMAN	7747.3	8817.8	483.44	831.86	10066	18196	0	1388.5	19909	21883
sp|P51572|BAP31_HUMAN	73085	76044	5775.8	8947.5	81452	149170	4947.4	12983	168080	161980
sp|P51659|DHB4_HUMAN	14616	17570	1518.6	2028.9	18154	41701	0	3878.4	45213	46484
