Protein IDs	Reporter intensity corrected 0 MS3_1	Reporter intensity corrected 1 MS3_1	Reporter intensity corrected 2 MS3_1	Reporter intensity corrected 3 MS3_1	Reporter intensity corrected 4 MS3_1	Reporter intensity corrected 5 MS3_1	Reporter intensity corrected 6 MS3_1	Reporter intensity corrected 7 MS3_1	Reporter intensity corrected 8 MS3_1	Reporter intensity corrected 9 MS3_1	Reporter intensity corrected 0 MS3_2	Reporter intensity corrected 1 MS3_2	Reporter intensity corrected 2 MS3_2	Reporter intensity corrected 3 MS3_2	Reporter intensity corrected 4 MS3_2	Reporter intensity corrected 5 MS3_2	Reporter intensity corrected 6 MS3_2	Reporter intensity corrected 7 MS3_2	Reporter intensity corrected 8 MS3_2	Reporter intensity corrected 9 MS3_2	Reporter intensity 0 MS3_1	Reporter intensity 1 MS3_1	Reporter intensity 2 MS3_1	Reporter intensity 3 MS3_1	Reporter intensity 4 MS3_1	Reporter intensity 5 MS3_1	Reporter intensity 6 MS3_1	Reporter intensity 7 MS3_1	Reporter intensity 8 MS3_1	Reporter intensity 9 MS3_1	Reporter intensity 0 MS3_2	Reporter intensity 1 MS3_2	Reporter intensity 2 MS3_2	Reporter intensity 3 MS3_2	Reporter intensity 4 MS3_2	Reporter intensity 5 MS3_2	Reporter intensity 6 MS3_2	Reporter intensity 7 MS3_2	Reporter intensity 8 MS3_2	Reporter intensity 9 MS3_2
CON__P34955	592.9	737.16	1255.2	303.51	0	396.57	849.96	0	824.45	17873	454.98	0	374.73	0	0	0	277.02	0	0	4043.5	563.52	693.9	1212.1	339.6	0	414.16	823.67	252.72	814.57	16979	430.22	0	377.88	0	0	0	261.09	0	0	3807.5
CON__Q3SX09;CON__P02070;sp|P02089|HBB2_MOUSE;sp|P02088|HBB1_MOUSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CON__Q3SZV7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CON__Q3ZBS7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
REV__sp|O08538|ANGP1_MOUSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
REV__sp|P49717|MCM4_MOUSE	0	0	0	0	0	0	4567.3	0	3297.6	25643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4395	586.92	3307.6	24142	0	0	0	0	0	0	0	0	0	0
REV__sp|P59242|CING_MOUSE	1101.5	715.99	1161.5	343.64	557.51	605.65	629.4	0	632.47	16867	0	0	0	0	0	0	0	0	0	0	1042.5	674.25	1158.8	379.77	602.44	619.55	637.3	0	623.93	15882	0	0	0	0	0	0	0	0	0	0
REV__sp|Q3UJB9|EDC4_MOUSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
REV__sp|Q60592|MAST2_MOUSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
REV__sp|Q61329|ZFHX3_MOUSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
REV__sp|Q69ZX8|ABLM3_MOUSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
REV__sp|Q80V23|ZNF32_MOUSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
REV__sp|Q8CC86|PNCB_MOUSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
REV__sp|Q8VBX6|MPDZ_MOUSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
REV__sp|Q921L5|COG2_MOUSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
REV__sp|Q99MY8|ASH1L_MOUSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
REV__sp|Q9D695|SPB7_MOUSE	880.16	672.13	528.86	1474.1	1510.2	939.41	1573.9	0	2107.9	28622	0	0	0	0	0	0	0	0	0	0	831.54	639.51	564.87	1456	1476	1005	1613.7	699.28	2057.3	26947	0	0	0	0	0	0	0	0	0	0
REV__sp|Q9DA73|CCD89_MOUSE	663.06	371.61	323.71	935.39	1071.8	637.83	405.48	0	970.99	14054	366.21	342.46	0	458.37	407.67	492.41	0	0	293.06	9896.4	626.15	354.26	353.37	921.24	1034.7	671.08	460.23	0	934.09	13234	345.16	324.17	0	464.11	384.15	504.52	0	0	276.73	9318.6
REV__sp|Q9JIS5|SV2A_MOUSE	0	0	0	0	0	0	365.43	0	631.5	3720.7	0	0	0	0	0	0	1093.5	39.07	850.62	7406.9	0	0	0	0	0	0	361.71	0	611.81	3503.5	0	0	0	0	0	0	1053.9	260.86	849.61	6975.3
sp|A2A690|TANC2_MOUSE	656.99	237.29	587.25	0	382	335.71	607.78	29.874	549.9	9033.3	0	0	0	0	0	0	0	0	0	0	621.42	222.81	593.25	0	402.91	334.69	606.24	314.01	545.04	8506.7	0	0	0	0	0	0	0	0	0	0
sp|A2RSJ4|UH1BL_MOUSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp|B2RQC6|PYR1_MOUSE	0	0	0	633.47	751.3	848.17	0	0	0	12877	347.91	0	0	612.92	1531.9	533.61	0	0	955.25	14368	0	0	0	615.22	707.44	854.2	0	0	0	12125	327.91	0	0	590.64	1443.4	532.6	0	0	902.03	13529
sp|B2RW38|CFA58_MOUSE	2603.6	1600.7	1224.1	1436.2	2400.9	2307.2	1062.3	0	1250.2	37937	957.59	769.54	1111.5	1197.8	999.77	828.07	1115.9	0	482.83	18652	2458.5	1511.2	1323.8	1498.7	2348.2	2310.8	1150.8	813.13	1225.6	35712	906.7	729.4	1109.3	1197.7	1022.2	867.76	1113	324.89	503.26	17556
sp|B2RXS4|PLXB2_MOUSE;REV__sp|O35295|PURB_MOUSE	3252.7	2879.6	3687.5	1809.9	2217.6	2177.4	2887.3	116.69	3233	65081	0	0	0	0	0	0	0	0	0	1966	3079.5	2712.6	3671.3	1913.2	2282.6	2244.3	2916.3	1355.8	3175.4	61268	0	0	0	0	0	0	0	0	0	1966
sp|B2RY56|RBM25_MOUSE	0	0	291.68	592.14	742.11	571.65	343.01	0	0	7657.3	0	0	0	0	0	0	0	0	0	3471.5	0	0	281.7	571.52	720.53	581.16	358.93	0	0	7210.3	0	0	0	0	0	0	0	0	0	3471.5
sp|D3YXK2|SAFB1_MOUSE;sp|Q80YR5|SAFB2_MOUSE	1183.9	1184.3	1514.3	1718.6	1790.9	2066.9	1709.6	153.78	1970.8	38989	0	0	0	0	0	0	0	0	0	0	1121.5	1120.3	1509.1	1737.5	1799.8	2104.9	1741.1	1023	1933.6	36715	0	0	0	0	0	0	0	0	0	0
sp|D3Z7P3|GLSK_MOUSE	0	0	0	0	0	0	0	0	0	0	1118.2	806.88	816.05	651.56	982.37	931.35	838.49	0	565.01	17058	0	0	0	0	0	0	0	0	0	0	1057	761.35	840.85	682.97	984.8	940.83	852.93	498.79	569.09	16060
sp|E9PVA8|GCN1_MOUSE	347.82	399.38	323.79	514.56	884.46	907.74	415.76	43.904	1172.2	14897	0	0	0	696.34	480.73	742.34	319.19	0	0	7527.4	329.03	377.94	328.92	522.79	858.53	909.55	433.23	243.44	1124.6	14029	0	0	0	673.22	456.88	746.9	323.92	0	0	7088
sp|E9Q555|RN213_MOUSE	0	294.42	801.55	550.5	1203.4	643.93	1235.6	0	1478.4	29405	0	0	0	426.9	334.21	697.93	1004.8	0	740.08	14843	0	279.59	765.48	546.56	1194.5	670.55	1224.1	289.78	1436.6	28062	0	0	0	411.55	320.69	697.64	983.39	0	728.14	13977
sp|F6ZDS4|TPR_MOUSE	383.4	0	280.16	375.25	0	260.8	275.09	0	371.78	14860	0	0	0	0	302.31	0	0	0	0	3922.3	361.36	0	262.56	356.36	0	252.7	259.28	0	351.06	14121	0	0	0	0	284.66	0	0	0	0	3755.2
sp|G5E829|AT2B1_MOUSE;sp|Q6Q477|AT2B4_MOUSE	397.8	325.16	0	371.86	436.94	1096.2	0	82.743	667.71	14062	0	0	0	0	0	0	0	0	0	0	374.93	307.43	0	384.06	411.74	1080.2	0	257.34	630.51	13243	0	0	0	0	0	0	0	0	0	0
sp|O08528|HXK2_MOUSE;sp|Q91W97|HKDC1_MOUSE	0	0	298.53	249.91	374.37	705.98	289.81	0	0	8822.7	0	0	0	338.76	0	386.06	0	0	0	3127.9	0	0	283.66	243.9	370.14	695.05	273.14	0	0	8307.6	0	0	0	327.91	0	385.9	0	0	0	2945.3
sp|O08529|CAN2_MOUSE	1303.8	1222.7	1207.7	760.31	814.2	602.6	1776.4	0	1161.8	24311	1836.3	1901.6	1383.8	2253.6	1715.9	1387	3630.3	0	2097.4	47064	1233.3	1152.4	1218.6	780.8	844.88	617.27	1745.2	0	1155.1	22892	1735.9	1798.4	1412.1	2258.6	1742.7	1477.5	3561.4	966.39	2119.8	44535
sp|O08547|SC22B_MOUSE	1390.4	1655.3	1820.4	814.04	589.21	727.91	1308.4	0	889.47	29423	1220.9	1523.3	911.97	1383.5	761.51	348.46	365.5	0	669.72	25243	1317.3	1558.9	1794.6	862.42	680.4	769.69	1285.8	337.32	895.41	27782	1154.2	1438.2	933.48	1412.4	776.08	377.26	359.8	0	632.41	23846
sp|O08553|DPYL2_MOUSE	892.61	336.65	0	1869.4	1068.8	1498.4	1493.3	120.11	1720.7	27783	0	0	0	328.12	0	0	549.91	0	408.15	5661.7	841.29	322.45	0	1819.9	1027.7	1551.7	1505.9	870.95	1688.2	26160	0	0	0	311.61	0	0	529.47	0	408.73	5331.1
sp|O08573|LEG9_MOUSE	0	0	0	0	0	0	0	0	0	736.38	1345.5	738.3	680.02	266.03	425.26	253.5	5188.3	0	3919.9	49931	0	0	0	0	0	0	0	0	0	736.38	1270.7	694.76	687.09	275.43	428.26	284.04	5017.8	810.54	3921.6	47056
sp|Q9JJW6|ALRF2_MOUSE;sp|O08583|THOC4_MOUSE	5050.9	4877.9	5346.1	5576.1	7001.7	5186.3	4917.7	83.587	4377	115520	2382.4	2597.4	2272.8	3372.8	3065	3176.3	2586	0	2311	54575	4780.5	4612	5382.6	5676.5	6977.6	5369.4	5091	3762.3	4341.7	108780	2253.9	2458.1	2303.7	3412.6	3056.6	3253.1	2647.8	1581.1	2291.9	51384
sp|O08585|CLCA_MOUSE	6044.4	5847.5	6593.6	7812.4	7993.8	7814.9	7118	0	6220.7	137590	1875.2	1562	1521.5	2285.2	3491.4	2923.4	1984	0	2078.6	45811	5721.6	5532.1	6623.3	7901.6	8016.2	7973.1	7263	2418.9	6176	129520	1773.1	1479.7	1573.7	2312.5	3405.5	2938.8	2094.5	525.68	2047	43114
sp|O08709|PRDX6_MOUSE	2195.9	2372.2	1592.8	6442.6	5562.9	5759.2	5359.1	0	5225.9	106340	1498.6	1100.3	1569	4480.7	5232.7	4513.2	3756.9	0	4598.3	73724	2074.6	2261.5	1645.1	6355.6	5391.6	5889.1	5461.2	2365.4	5162	100110	1418.3	1054.5	1604.2	4394.9	5073.8	4594.4	3895.4	1223.6	4491	69402
sp|O08734|BAK_MOUSE	1147.3	1094.6	985.98	946.42	545.57	557.02	896.27	0	569.1	22288	0	0	0	0	0	0	0	0	0	0	1085	1033.2	997.37	974.53	584.3	606.46	886.53	0	575.4	21118	0	0	0	0	0	0	0	0	0	0
