Protein IDs	Reporter intensity corrected 0 MS3_1	Reporter intensity corrected 1 MS3_1	Reporter intensity corrected 2 MS3_1	Reporter intensity corrected 3 MS3_1	Reporter intensity corrected 4 MS3_1	Reporter intensity corrected 5 MS3_1	Reporter intensity corrected 6 MS3_1	Reporter intensity corrected 7 MS3_1	Reporter intensity corrected 8 MS3_1	Reporter intensity corrected 9 MS3_1	Reporter intensity corrected 0 MS3_2	Reporter intensity corrected 1 MS3_2	Reporter intensity corrected 2 MS3_2	Reporter intensity corrected 3 MS3_2	Reporter intensity corrected 4 MS3_2	Reporter intensity corrected 5 MS3_2	Reporter intensity corrected 6 MS3_2	Reporter intensity corrected 7 MS3_2	Reporter intensity corrected 8 MS3_2	Reporter intensity corrected 9 MS3_2	Reporter intensity 0 MS3_1	Reporter intensity 1 MS3_1	Reporter intensity 2 MS3_1	Reporter intensity 3 MS3_1	Reporter intensity 4 MS3_1	Reporter intensity 5 MS3_1	Reporter intensity 6 MS3_1	Reporter intensity 7 MS3_1	Reporter intensity 8 MS3_1	Reporter intensity 9 MS3_1	Reporter intensity 0 MS3_2	Reporter intensity 1 MS3_2	Reporter intensity 2 MS3_2	Reporter intensity 3 MS3_2	Reporter intensity 4 MS3_2	Reporter intensity 5 MS3_2	Reporter intensity 6 MS3_2	Reporter intensity 7 MS3_2	Reporter intensity 8 MS3_2	Reporter intensity 9 MS3_2
sp|P25206|MCM3_MOUSE	878.96	0	317.49	3350.8	3936	3863.3	6291.4	0	6774.7	102820	0	265.94	764.36	826.83	793.72	1109.9	2171.8	0	1864.7	34018	828.42	0	304.46	3238.6	3810.4	3934.3	6304.2	1185.5	6664.1	96801	0	251.02	716.91	819.28	773.59	1143.8	2136.1	0	1852.9	32227
sp|P25444|RS2_MOUSE	14955	14314	14353	16086	17282	16877	12727	0	13321	304050	30529	32589	27156	31844	32471	30100	26466	0	21394	549530	14149	13532	14515	16421	17301	17192	13190	5328.5	13118	286210	28874	30781	27593	32714	32549	30814	27090	10354	21325	517280
sp|P26039|TLN1_MOUSE;REV__sp|P97931|UNG_MOUSE	16632	15706	14865	28838	31055	28690	18552	340.35	18902	517880	14686	12311	12294	22582	26796	25341	17991	418.01	15848	399640	15729	14907	15143	28776	30379	29322	19378	11688	18623	487790	13884	11679	12581	22584	26162	25586	18650	6917.7	15705	376510
sp|P26040|EZRI_MOUSE	12421	12077	11767	452.85	667.33	936.09	3628.7	377.53	2650.1	123310	9880.4	9108.1	10134	1584	798.66	466.23	2593.6	0	3110.3	95860	11751	11342	11756	656.31	743.35	967.45	3473.5	1800.6	2621.2	116110	9350.4	8561.2	10079	2018.7	1349.8	650.89	2568	1398.6	3047	90413
sp|P26041|MOES_MOUSE	14850	16725	16492	10983	10233	12350	7862.2	85.744	8991.9	263010	9291.9	10161	10546	9406.6	8727.8	7455.3	7411.6	0	8443.1	183200	14055	15763	16431	11618	10706	12620	8100.4	4197.8	8809	247740	8795.5	9594.3	10501	9673.1	8946.7	7736.3	7606.1	2754	8287.1	172560
sp|P26043|RADI_MOUSE	585.7	1959.9	1340.8	1605.9	1076.9	1576.8	1607.2	0	2161.9	38962	291.49	533.46	274.07	475.75	352.57	860.08	846.88	0	1033.9	16257	555.55	1849.5	1304.5	1662.8	1116.4	1633.4	1625.7	516.52	2109.7	36684	275.76	503.61	278.86	492.58	360.32	864.78	843.43	0	1012.2	15308
sp|P26231|CTNA1_MOUSE	994.94	1067.1	1026.2	236.72	0	0	1084.9	0	711.9	15064	1676.5	1027.3	1144.1	302.1	0	0	971	51.606	1177.2	16522	941.59	1003.3	1021	289.93	0	0	1042	355.86	718.25	14183	1584.4	966.37	1170.4	306.37	0	0	947.41	314.56	1152.8	15559
sp|P26350|PTMA_MOUSE	707.15	745.29	775.22	6115.6	5388.8	5336.8	1095.5	0	1898.1	56401	0	0	303.79	1414.5	1960.7	1070	695.39	0	628.45	19341	669.4	734.65	825.08	5939	5136.2	5409.8	1343.3	857.22	1838.8	53083	0	0	306.33	1360.5	1873.9	1108.4	766.77	431.51	622.93	18207
sp|P26369|U2AF2_MOUSE	5428.7	5098.6	4831.9	7301.1	8363.5	7311.7	7152.2	2.2719	7791.2	137840	2313.1	2278.9	2429.2	3439.4	3710.4	3593.2	4097.1	0	3658.4	62673	5134.7	4829	4918.6	7362.2	8257.8	7439.3	7356	2625.5	7660.5	129750	2189.3	2159.4	2455.8	3458.1	3694.8	3652.8	4139.9	647.58	3609.7	58986
sp|P26443|DHE3_MOUSE;sp|Q9D9C6|CC182_MOUSE	3932.2	3450.3	3944.7	5883.4	5586.8	4983.1	3921.5	0	3611.6	100990	1627.5	1149.8	1358.6	1805.6	2198.8	2527	1517.6	256.49	1709.8	39878	3720.9	3270.2	3967.1	5877.9	5548.7	5150.2	4034.4	1502.2	3576.7	95072	1537.1	1087.9	1368.6	1817.1	2172.3	2541.2	1558.2	941.71	1662	37685
sp|P26516|PSMD7_MOUSE	0	0	315.52	402.46	491.58	682.79	547.11	0	433.56	11139	0	0	0	330.65	0	0	328.41	0	315.34	5153	0	0	301.83	393.18	489.14	684.3	551.13	0	432.61	10489	0	0	0	314.01	0	0	318.16	0	311.7	4852.1
sp|P26638|SYSC_MOUSE	4726.6	4224	4217.8	6462.2	6828.5	7636.1	4232.6	0	4467.4	114160	1410.1	1084.9	1759	3357.6	4522	3762.9	1783.3	0	2199.1	56254	4470.7	4003	4294.3	6517.5	6739	7701.4	4397	1911.1	4398	107460	1334.4	1031.3	1768.7	3315.3	4387.5	3805.6	1958.1	757.91	2152.2	52957
sp|P26645|MARCS_MOUSE	8863	8520	7655.3	683.9	734.67	0	12855	0	9391.1	141940	871.9	478.63	617.54	0	0	0	1485.6	0	1614.1	20594	8382.2	8003.9	7716	1004.4	1009.6	0	12408	2650.8	9394.8	133640	822.93	449.42	605.78	0	0	0	1444.3	0	1587.2	19447
sp|P26883|FKB1A_MOUSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp|P27046|MA2A1_MOUSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp|P27048|RSMB_MOUSE;sp|P63163|RSMN_MOUSE	9238	7090.9	8396.2	16135	16883	14203	12259	0	12217	264140	1245.8	1509.3	923.02	4556.2	3416.9	2681.7	2416.1	0	2009.9	47903	8738.4	6750.1	8598.1	15958	16567	14588	12699	4720.5	12056	248630	1177.6	1443.2	921.34	4462.1	3305.7	2800.5	2496.3	908.53	1990.1	45094
sp|P27546|MAP4_MOUSE	292.91	452.53	582.5	0	308.85	0	353.21	0	673.27	10797	445.98	0	0	392.37	0	0	708.4	0	364.02	10270	278.26	424.91	566.63	0	330.51	0	366.17	0	650.74	10167	420.34	0	0	372.62	0	0	677.64	0	373.79	9704.3
sp|P27659|RL3_MOUSE	27234	27039	24896	28745	26737	24976	18931	130.99	20153	520320	23205	21172	23466	23504	23179	21104	16870	0	18196	410490	25761	25553	25212	29350	26915	25793	19649	10027	19833	489800	21959	20014	23598	23952	23451	21708	17512	7794.5	17898	386410
sp|P27773|PDIA3_MOUSE	146690	139590	147900	111620	126410	129710	116440	2643.6	118210	2809200	76446	67081	66144	56094	60474	59856	58672	357.23	57980	1267700	138810	131710	148570	116530	129320	132480	119030	63796	116520	2644700	72299	63306	67123	58211	61621	61243	59791	23823	57218	1193300
sp|P28033|CEBPB_MOUSE	311.37	0	0	0	0	485.64	344.9	0	0	5969.4	0	0	0	0	0	0	0	0	0	0	293.47	0	0	0	0	470.26	325.07	0	0	5620.9	0	0	0	0	0	0	0	0	0	0
sp|P28352|APEX1_MOUSE	290.73	0	0	1253.3	1453.7	1415.8	1136.7	0	745.94	18576	0	0	293.54	559.63	625.88	866.04	0	0	0	8185.4	274.01	0	0	1212.9	1384.5	1422.2	1161.6	0	752.59	17492	0	0	281.59	545.38	606.68	858.96	0	0	0	7707.5
sp|P28656|NP1L1_MOUSE	4123.7	3655.1	3527.4	7884.2	7435	6979.8	3991.5	0	3583.5	105880	2735	3072.6	2253	5616.1	6712.2	5973.9	5080.3	0	3137.9	84222	3899.8	3477	3627.6	7822.6	7265.3	7141.2	4217.2	2901.2	3553.2	99684	2586.2	2917.1	2347.9	5617	6523.4	6044.9	5196.5	1936.9	3178.5	79286
sp|P28798|GRN_MOUSE	1431.5	447.34	747.97	671.51	224.65	263.44	0	0	592.6	15373	1065.4	446.51	1014.4	403.17	0	371.13	274.85	0	337.09	13552	1352	422	785.63	669.25	230.91	276.34	0	0	559.59	14490	1008	421.56	1012.5	416.09	0	387.27	268.27	0	329.96	12761
sp|P29341|PABP1_MOUSE	14610	13557	15184	19226	23842	22415	19714	0	16916	398350	6455.3	6437.3	6515.3	7767	8533.5	9313.4	8038.2	0	6958.6	149690	13827	12840	15355	19446	23623	22733	20189	8161.3	16810	374980	6108.6	6088.7	6580.8	7918.6	8512	9401.3	8164.5	1905.1	6911.8	140930
sp|P29351|PTN6_MOUSE	0	0	0	27240	29533	31586	0	0	494.65	223250	0	0	0	15537	12995	15499	753.72	352.42	304.78	116440	0	0	0	26371	27807	31477	1038.6	6589.8	462.66	210190	0	0	0	15001	12246	15545	1098.7	2773.4	299.69	109610
sp|P29416|HEXA_MOUSE	840.59	1042.2	1206.4	1075.6	1304.9	1202	844.21	0	428.28	21047	0	0	0	0	0	0	0	0	0	2491.4	796.78	984.76	1194	1104.4	1311.4	1222.8	870.06	604.99	440.22	19816	0	0	0	0	0	0	0	0	0	2491.4
sp|P29533|VCAM1_MOUSE	761.29	517.75	563.71	410.39	0	0	628.28	0	967.58	11336	489.79	0	480.56	0	0	0	291.17	0	0	5120	719.63	488.49	573.26	421.34	0	0	618.65	0	940.32	10804	463.43	0	479.09	0	0	0	274.43	0	0	4821.1
sp|P29758|OAT_MOUSE	16436	15855	16158	7920.1	8051	7202	14439	0	12217	273230	9086.5	10388	9918.9	4755.8	6892.9	5261.6	9101.2	135.59	8861.1	170330	15552	14933	16199	8545.1	8737.1	7587.3	14330	4504	12135	257210	8600.2	9781.3	9907	5164.3	7183.5	5434.8	9125.4	3303.9	8741.4	160360
sp|P30416|FKBP4_MOUSE	293	1014.5	1337.4	3108.8	3595.2	3288.5	1335.8	0	2394.1	54478	682.12	0	989.4	1522.5	1826.9	1881.1	535.22	0	666.06	25617	277.84	968.88	1300	3067.1	3467.5	3329.3	1497.2	440.38	2317.4	51294	646.61	0	982.25	1476.1	1786.3	1894.1	561.83	0	651.66	24121
sp|P30681|HMGB2_MOUSE	3327.5	1858.4	3225	20952	26161	26804	18721	0	11830	175400	1841.1	1888.9	2047.8	10464	12232	10111	8217.1	297.13	6696.2	95013	3146.3	1864.4	3520	20442	25082	26577	19200	5408.1	11965	165140	1742.9	1833.3	2167.2	10215	11754	10198	8515.5	2880.1	6671.6	89457
sp|P30999|CTND1_MOUSE	5661.8	6072.3	5914.1	2333.5	1392.9	2096.1	6431.6	0	4910.1	103050	4442.4	4632.5	4444.9	1501	1776	1308.7	3688	100.76	3639.2	65889	5357.4	5715	5874.1	2620.3	1650.7	2227.9	6263.2	1540.8	4909.3	97011	4203.6	4358.3	4446.6	1729.3	1986.9	1418.7	3661	1344.8	3592.9	62174
sp|P31230|AIMP1_MOUSE	0	0	316.11	0	0	0	0	0	0	5989.9	0	0	0	290.5	538.37	0	0	0	379.67	3974.8	0	0	296.26	0	0	0	0	0	0	5789.3	0	0	0	275.88	507.3	0	0	0	358.52	3742.7
sp|P31266|SUH_MOUSE	534.75	620.85	0	2313	2871.8	2333.8	0	0	587.67	22129	0	0	0	0	0	0	0	0	0	1797.5	504	596.14	0	2272	2704.7	2350.5	0	741.2	554.93	20836	0	0	0	0	0	0	0	0	0	1797.5
sp|P31996|CD68_MOUSE	0	0	0	3251.3	3092.1	2468.4	0	0	0	25139	0	0	0	2306.6	3418.5	3185.5	228.8	0	0	25017	0	0	0	3127.3	2911.6	2525.5	0	0	0	23671	0	0	0	2241.6	3221.9	3160.9	295.44	0	0	23557
sp|P32020|NLTP_MOUSE	3368	2353.1	4889.5	8404.8	8385.1	8981.2	5026.8	0	4780.5	126040	1994.1	2325.1	1666.3	5159.4	6310	4665.8	2477.6	218.59	3607.4	72636	3188.7	2249.5	4872.4	8269.7	8255.1	9078	5271.4	1650.8	4727.4	118640	1885.7	2212.6	1719.8	5116.6	6076.1	4764.7	2736.9	1414.5	3511.5	68373
sp|P32067|LA_MOUSE	6557.1	5797.7	5257.3	10683	9221.7	11459	7683	111.8	8497.9	173100	8157.5	9536.2	10412	17291	20545	15970	15017	0	13543	267430	6199.8	5500.6	5388.8	10616	9068.7	11596	7916.9	2857.2	8350.3	162950	7727.5	9049.4	10441	17260	20172	16332	15476	5382.1	13425	251740
sp|P34022|RANG_MOUSE	1222	569.96	1070.7	2283.8	2200.9	3223.7	1454.9	0	1298.5	39490	343.59	536.2	283.72	1364.5	1342.5	1264.9	973.47	0	1013.7	18273	1154.8	544.79	1099.3	2255.4	2156.1	3216.3	1495.3	496.82	1287.9	37172	324.9	511.25	301.4	1348.8	1294.6	1290.8	1009.7	0	998.51	17206
sp|P34884|MIF_MOUSE	2830.1	4457.5	4214.9	10983	12781	11050	8408.2	0	8042.1	167100	4533.2	5566.3	5844.9	22100	17673	15898	11068	0	12926	237570	2683.2	4248	4257.9	10880	12402	11235	8743.4	4536	7950.7	157330	4294.5	5352.5	5942.5	21582	17145	16391	11634	2383.8	12675	223570
sp|P35278|RAB5C_MOUSE	325.74	290.69	0	0	0	0	0	0	0	3667.9	1879.3	1792.4	1244.3	2195.7	1526.6	1968.7	1894.2	0	1687.5	39248	307.01	272.95	0	0	0	0	0	0	0	3453.7	1775.9	1693.8	1293	2226.2	1533.1	2002.1	1904.8	469.33	1659.5	36941
sp|P61294|RAB6B_MOUSE;sp|P35279|RAB6A_MOUSE;sp|Q8BHD0|RB39A_MOUSE	631.4	542.08	502.47	324.86	0	334.14	731.84	0	613.2	11203	844.28	0	354.99	0	253.14	531.14	1059.3	0	332.44	13796	596.98	510.84	508.6	346.96	0	351.42	706.56	0	610.07	10549	797.07	0	357.59	0	267.95	513.83	1019.6	0	340.64	13123
sp|P35282|RAB21_MOUSE	646.68	751.7	745.52	430.02	797.56	1138.4	841.5	0	732.95	17660	0	0	0	0	0	0	0	0	0	0	612.3	708.27	745.73	472.55	806.81	1125	851.49	308.91	727.81	16623	0	0	0	0	0	0	0	0	0	0
sp|Q921E2|RAB31_MOUSE;sp|P35285|RB22A_MOUSE	776.58	0	0	275.73	290.92	0	0	0	373.6	10308	0	0	0	0	0	0	0	0	0	0	731.93	0	0	261.85	274.29	0	0	0	352.78	9706.5	0	0	0	0	0	0	0	0	0	0
sp|P35293|RAB18_MOUSE	401.63	453.93	506.91	0	343.52	0	448.94	0	479.17	9127.6	285.01	0	252.44	1192.8	699.53	522.32	728.04	0	981.64	15999	380.44	426.23	502.57	0	359.77	0	452.74	0	471.52	8594.7	268.63	0	240.95	1141.1	684.13	540.28	746.66	0	957.83	15065
sp|P35441|TSP1_MOUSE;CON__Q28194	31009	30203	31850	893.96	48.506	305.65	2870.1	152.9	3570.3	237790	23326	24085	20775	173.15	60.864	493.7	1687.2	45.467	1298	168020	29345	28365	31616	1547.9	280.55	348.69	2797.5	3951.8	3464.1	223930	22061	22616	20816	258.48	421.76	559.89	1620.9	1919.7	1271.8	158290
sp|P35486|ODPA_MOUSE	2426.3	2387.7	2444.9	1067.2	1605.8	1791.4	2558.7	12.094	2239.2	46212	1085.5	897.93	800.09	964.76	330.17	463.1	895.56	0	1109.1	21605	2296	2248.1	2452.3	1188	1692.3	1824.6	2550.1	644.25	2223	43508	1026	848.63	817.36	978.45	356.04	506.24	880.7	280.33	1085.3	20339
sp|P35550|FBRL_MOUSE	10287	8270.6	9691.1	15239	19080	17906	12119	21.748	11502	273990	2128.8	3104.2	3070.6	2942.2	5261.7	4981.5	2724	85.449	3324.8	65794	9731.7	7852.7	9850.7	15264	18709	18059	12654	6264.6	11375	257940	2018	2931.5	3059.8	3015.3	5174.9	4963	2911.1	1735.7	3255.1	61952
sp|P35564|CALX_MOUSE	10694	11422	9747	9805.9	10600	11995	8087	0	6391.9	226730	9639.7	10076	11241	10124	9998.4	8906.8	6074.9	0	7528.9	183210	10116	10780	9874.1	10202	10664	12162	8283.1	3718.4	6362.1	213420	9125.8	9518.6	11204	10355	10137	9175.7	6403.5	3452.5	7367.1	172460
sp|P35585|AP1M1_MOUSE	0	0	0	0	0	0	0	0	0	0	0	272.27	0	272.24	0	230.3	599.34	0	330.15	5787.2	0	0	0	0	0	0	0	0	0	0	0	257.21	0	278.86	0	240.72	573.92	0	337.17	5449.4
sp|P35700|PRDX1_MOUSE	28070	24767	28715	72712	79325	80129	59193	0	57957	1153500	17655	16209	14921	44440	46519	37321	40397	0	41576	662060	26564	23669	29459	71851	77225	80933	61186	20816	57239	1085800	16696	15473	15557	43792	45257	38364	41447	10515	40973	623150
sp|P35922|FMR1_MOUSE	0	0	0	0	0	0	0	0	0	1284.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1284.4	0	0	0	0	0	0	0	0	0	0
sp|P35979|RL12_MOUSE	6133.1	5134.2	5482.7	5206.5	5201.9	5027.3	4446.9	403.14	5087.4	116660	8343.3	6359.8	6003.7	7723.2	8187.6	7351	6406.4	633.68	7763.1	144620	5801.1	4850.5	5553.3	5338.5	5285.4	5207.5	4580.3	4002.3	4992.6	109860	7886.1	6015.6	6203.3	7835	8155.6	7562.8	6635.2	4375.3	7602.3	136180
sp|P35980|RL18_MOUSE	24143	21153	25749	14776	14585	16684	13599	1006.9	16002	433940	4301.6	3922.5	4381.9	3573.7	3076	2710.9	2684.1	0	1768.9	65909	22851	19947	25697	15591	15448	17186	13956	9325.7	15688	408610	4070.7	3703.4	4391	3676.8	3192.2	2838.8	2725.9	1208.5	1747.7	62048
sp|Q9CQC9|SAR1B_MOUSE;sp|P36536|SAR1A_MOUSE	0	0	0	0	0	0	0	0	0	0	1193.6	1167.9	1229.2	1176.1	1050.9	1051.5	1669.6	0	1566.2	25677	0	0	0	0	0	0	0	0	0	0	1129.6	1103.3	1234.6	1205.1	1085.6	1091.1	1667	531.38	1549.8	24171
sp|P37040|NCPR_MOUSE	2047	2207	1644.1	1657.7	3018.9	3584.6	1670.2	0	4487.6	57709	2260.5	1776.6	1719.3	1775.8	3361.6	2398.9	2022	0	3058.3	51959	1935.5	2081.7	1693	1766.6	2966	3570.8	1842	0	4308.4	54340	2137	1678.3	1779.9	1784.6	3296.4	2435.8	2150.9	597.9	2973.7	48910
sp|P37889|FBLN2_MOUSE	12865	12945	14881	0	40.825	0	4303.9	900.67	4766.7	132950	6282.2	6457.7	8075	249.2	229.19	483.35	2737.7	0	2844.9	75735	12178	12155	14695	0	286.14	0	4189	2815	4645.6	125530	5949.5	6065	7936.7	278.61	258.59	476.13	2650.4	732.69	2762.2	71427
sp|P37913|DNLI1_MOUSE	0	0	372	652.13	591.38	836.97	1249.4	164.12	1148.6	14521	0	0	0	0	607.51	0	1005.7	11.802	1296.5	9298.6	0	0	357.12	632.75	596.39	849.6	1237.4	628.23	1137.6	13677	0	0	0	0	586.54	0	1012.5	291.57	1266.9	8756.1
sp|P38647|GRP75_MOUSE	43281	39941	39275	25879	26754	26704	17034	300.07	19131	615800	31722	28459	29221	19405	18737	21242	14506	1038.2	13021	430410	40937	37651	39578	27291	27648	27405	17790	12465	18764	579710	30006	26833	29399	20387	19419	21704	14904	10507	12880	405240
sp|P39053|DYN1_MOUSE;sp|P39054|DYN2_MOUSE;sp|Q8BZ98|DYN3_MOUSE	0	0	0	0	0	0	0	0	0	0	0	366.49	0	327.06	0	477.54	751.12	0	474.07	13839	0	0	0	0	0	0	0	0	0	0	0	345.99	0	340.64	0	482.6	720.92	0	465.31	13031
sp|P39749|FEN1_MOUSE	484.51	0	0	618.39	1008.1	543.63	763.08	0	0	18720	0	402.68	215.04	847.57	1388.5	1212.8	2464.8	0	1984.6	22857	456.65	0	0	591.26	959.33	576.69	748.55	0	0	17627	0	378.1	216.03	820.17	1354.6	1226.9	2444.1	481.78	1978.6	21522
sp|P40124|CAP1_MOUSE;sp|Q9CYT6|CAP2_MOUSE	7153.6	8027.6	8451.6	26826	29265	28412	11685	10.874	14125	366300	8115.5	8498.5	6430.1	23617	24281	23099	10415	0	10703	281730	6773.1	7681.4	8657.3	26423	28223	28688	12805	8018.5	13834	344820	7673.1	8114.4	6721.2	23318	23391	23367	11154	4747.6	10549	265190
sp|P40142|TKT_MOUSE	4714.6	5288.9	4559.5	34978	37628	35954	10160	155.14	11299	387490	2539	3248.2	3198	31861	32244	29270	8993.8	205.77	9136.1	300420	4460.7	5158.1	4944.4	34118	35845	36229	11643	9644.2	11100	364790	2402.8	3170.5	3419.5	30926	30678	29624	10249	6897.4	8983.2	282830
sp|P40240|CD9_MOUSE	373.67	615.36	562.64	1910.1	1892.9	1797.9	0	0	708.99	20410	471.81	295.02	0	787.57	1280	864.1	643.52	0	0	12459	354.3	588.68	568.4	1880.4	1816.3	1819.2	0	385.27	669.49	19211	444.68	281.5	0	779.82	1213.8	873.48	667.99	264.85	0	11728
sp|P40336|VP26A_MOUSE	0	0	0	0	0	0	338.63	0	0	4989.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	319.16	0	0	4698.1	0	0	0	0	0	0	0	0	0	0
sp|P41105|RL28_MOUSE	1534.7	2292.8	1879.8	2485.4	2086.8	2491.1	1031.8	0	1677.4	46023	2500.5	2252.2	3439.3	2082.4	1836.5	2234.5	1479.9	8.5834	1575.4	39668	1453.5	2167	1873.6	2540.3	2091.2	2540.1	1118.7	838.86	1627.7	43466	2369.7	2126.6	3388.9	2151	1953.3	2276.2	1526.2	1011.2	1550.4	37346
sp|P41731|CD63_MOUSE	14293	14684	15012	1343	1087.4	1717.7	3476	0	3516.3	131010	8072.5	7330.4	7432.8	604.61	522.48	1212.2	1728.1	0	1720.8	59156	13528	13795	14909	2199.2	1959.5	1900.2	3424.6	1711.4	3467.8	123300	7636.3	6886.5	7438.9	1041.1	955.27	1268.6	1700.9	627.73	1698.2	55673
sp|P42125|ECI1_MOUSE	3553.5	2704.8	3931.7	2297.8	1473.3	2003.9	3837.5	0	4204.8	66187	2214.2	2276.7	2437.7	1499.8	732.86	881.24	3328.9	47.103	2961.1	44496	3363.9	2552.8	3911.6	2379.5	1674	2116.5	3802.8	1200.6	4133.3	62314	2096	2146.3	2425.8	1577.4	787.76	944.3	3253.8	799.58	2937.3	41899
sp|P42208|SEPT2_MOUSE	4563.1	5115.9	5371.9	4156.2	4698.3	4933.3	8803	0	11194	157910	8082.9	6944.2	6853.4	6564.3	8178.2	8356.5	13679	244.81	13230	199250	4320.9	4827.3	5362.2	4317.1	4867.9	5126.6	8829	2289.8	10944	148650	7643.9	6557.8	6998.3	6792	8298.4	8543.3	13647	4248.4	13073	187590
sp|P42225|STAT1_MOUSE	0	0	344.95	1123.4	1532	1164.4	5519.9	183.3	4067.2	45867	0	0	0	341.21	304.65	429.43	738.2	0	946.41	10692	0	0	347.88	1078.5	1527.3	1233.7	5387.5	1308.7	4056.4	43193	0	0	0	330.93	297.5	440.56	736.31	285.6	924.99	10066
sp|P42669|PURA_MOUSE	0	0	0	0	0	0	0	0	0	0	0	0	321.45	0	546.1	348.28	252.24	0	0	5720.6	0	0	0	0	0	0	0	0	0	0	0	0	307.39	0	536.53	339.96	263.96	0	0	5386.6
sp|P42932|TCPQ_MOUSE	13278	14083	12905	18650	20411	19438	18024	100.92	17860	384360	13916	14290	13018	18390	18148	18654	16956	89.58	15653	342930	12560	13327	13061	18878	20223	19878	18437	8182.4	17629	361840	13164	13519	13192	18636	18096	19060	17241	6822.1	15500	322930
sp|P43274|H14_MOUSE	0	255.92	324.69	0	296.21	255.39	0	0	0	7553.2	6782.5	7518.8	6131.7	4861.5	3904.8	4167	2932.3	0	3131.5	95701	0	240.3	307.37	0	298.09	246.23	0	0	0	7112.2	6415.5	7087.6	6182.6	5142.6	4054	4293.4	3037	1188.9	3081.4	90074
sp|P43275|H11_MOUSE	0	0	0	0	0	0	0	0	0	0	0	0	0	521.36	373.34	0	0	0	0	2692.6	0	0	0	0	0	0	0	0	0	0	0	0	0	495.12	351.55	0	0	0	0	2535.4
sp|P43276|H15_MOUSE	695.84	372.65	587.18	350.97	829.26	829.3	350.43	0	3058.3	17338	5526.9	4441.3	4431	3854	2703.4	3373.5	2315	0	2801.4	66689	658.04	351.91	599.57	369.38	823.02	823.79	453.86	0	2902.8	16585	5225.8	4192.2	4502.9	3955.3	2840.4	3478.8	2364.8	1335.4	2743.5	62782
sp|P43277|H13_MOUSE;sp|Q07133|H1T_MOUSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp|P43406|ITAV_MOUSE	0	349.81	0	0	0	0	0	0	0	2007.6	0	0	0	0	0	0	0	0	0	0	0	328.46	0	0	0	0	0	0	0	1890.4	0	0	0	0	0	0	0	0	0	0
sp|P45376|ALDR_MOUSE	2449.7	2581	1963.5	14569	16016	15226	3121.1	44.279	3576	160710	1562	1312.8	2268.4	10606	9764.9	8697.4	1987.7	0	2184.6	101100	2316.2	2506.5	2128.1	14238	15241	15315	3792	2555.9	3509.2	151320	1479.6	1290	2317.8	10292	9357.1	8855	2334.1	1128.5	2147.2	95154
sp|P45377|ALD2_MOUSE	664.6	267.54	240.73	1400.1	860.38	1496.5	731.05	0	652.11	17916	245.81	0	306.04	498.56	482.73	651.49	287.85	37.764	0	10080	627.29	259.19	274.12	1370	834.63	1506.8	748.2	299.68	646.79	16863	232.82	0	306.49	483.93	476.41	657.48	294.48	365.38	0	9492
sp|P45952|ACADM_MOUSE	675.1	1030.1	597.83	1625.1	1703.1	1220.2	1177.4	92.713	1385.2	25167	362.24	0	1043.5	413.67	526.6	422.08	0	0	1010	14654	638.53	976.51	613.6	1625.8	1655.8	1246.9	1229.4	707.35	1358	23700	343.98	0	1004.2	399.63	558.42	429.69	0	0	953.72	13799
sp|P46061|RAGP1_MOUSE	454.94	386.19	0	707.89	630	986.26	1256.6	0	593	17613	0	0	0	0	0	0	0	0	0	4335.9	428.78	366.65	0	707.47	610.36	993.34	1230.8	0	613.26	16697	0	0	0	0	0	0	0	0	0	4335.9
sp|P46062|SIPA1_MOUSE	0	0	286.91	388.86	0	0	299.18	0	0	2723	0	0	0	0	0	0	0	0	0	0	0	0	269.46	369.29	0	0	281.98	0	0	2564	0	0	0	0	0	0	0	0	0	0
sp|P46460|NSF_MOUSE	522.68	1380.7	640.99	2608.3	2867.4	1869	0	0	589.22	44978	677.15	434.54	630.26	2242.6	3010.4	2163.6	1183.2	0	827.85	40677	495.04	1307.7	644.07	2591.3	2738.4	1879.9	0	0	556.4	42352	639.38	413.14	647.9	2191.1	2888.3	2204.6	1236.4	0	831.9	38437
sp|P46471|PRS7_MOUSE	1286.8	1176.1	1257.5	2321.7	2200	2727.6	2770.9	219.45	2262.3	47504	1983.8	1565.1	1987.9	3360.7	3819.5	3236.4	2562.8	30.587	2281.2	50295	1217.5	1113.2	1257.9	2320.4	2184.5	2773.9	2779.2	971.79	2253.7	44736	1877.2	1488.7	2021.5	3339	3749.9	3304.1	2661.4	877.27	2262.8	47360
