Protein IDs	Reporter intensity corrected 1	Reporter intensity corrected 2	Reporter intensity corrected 3	Reporter intensity corrected 4	Reporter intensity corrected 5	Reporter intensity corrected 6	Reporter intensity corrected 7	Reporter intensity corrected 8	Reporter intensity corrected 9	Reporter intensity corrected 10	Reporter intensity 1	Reporter intensity 2	Reporter intensity 3	Reporter intensity 4	Reporter intensity 5	Reporter intensity 6	Reporter intensity 7	Reporter intensity 8	Reporter intensity 9	Reporter intensity 10
Q6GYQ0	271.98	730.75	278.33	1994.2	466.66	373.19	1135.6	221.5	271.93	4356.2	271.98	730.75	278.33	1994.2	466.66	373.19	1135.6	221.5	271.93	4356.2
Q6IE81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q6UWP8	57.001	130.51	74.42	507.17	126.84	132.56	262.42	0	123.16	431.21	57.001	130.51	74.42	507.17	126.84	132.56	262.42	0	123.16	431.21
Q7Z443	54.211	51.342	89.298	217.99	122.25	457.62	1487.9	37.914	154.03	370.71	54.211	51.342	89.298	217.99	122.25	457.62	1487.9	37.914	154.03	370.71
Q8IW70	387.26	294.39	586.83	2760	1317.4	2424.7	2792.3	139.63	860.78	1417.7	387.26	294.39	586.83	2760	1317.4	2424.7	2792.3	139.63	860.78	1417.7
Q8IX01	53.046	95.305	113.96	85.205	69.181	209.04	200.51	361.94	150.91	10520	53.046	95.305	113.96	85.205	69.181	209.04	200.51	361.94	150.91	10520
Q8N300	552.65	1059.9	530.45	1009.1	761.7	875.33	2617.6	81.811	992.2	1097.5	552.65	1059.9	530.45	1009.1	761.7	875.33	2617.6	81.811	992.2	1097.5
Q8N9N2	66.465	127.74	315.04	250.82	232.81	295.72	3773.1	59.916	299.41	1743.5	66.465	127.74	315.04	250.82	232.81	295.72	3773.1	59.916	299.41	1743.5
Q8NC51	196.84	309.32	405.14	367.88	499.92	187.7	682.29	187.38	276.44	6062.2	196.84	309.32	405.14	367.88	499.92	187.7	682.29	187.38	276.44	6062.2
Q92688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q93045	157.44	277.59	271.11	266.63	242.09	351.02	602.19	226.55	274.71	7137	157.44	277.59	271.11	266.63	242.09	351.02	602.19	226.55	274.71	7137
Q93070	462.58	1013.5	707.39	1550.1	875.16	681.57	2045.6	138.57	829.99	3980.1	462.58	1013.5	707.39	1550.1	875.16	681.57	2045.6	138.57	829.99	3980.1
Q969H8	57.979	101.88	79.87	202.94	90.747	233.11	243.03	99.684	150.67	2158	57.979	101.88	79.87	202.94	90.747	233.11	243.03	99.684	150.67	2158
Q9BUP0;Q96C19	93.688	141.26	166.87	204.22	112.78	144.75	465.68	61.684	175.51	1857.9	93.688	141.26	166.87	204.22	112.78	144.75	465.68	61.684	175.51	1857.9
Q96J02	110.05	143.35	196.93	205.96	213.07	352.68	3358.9	44.748	289.95	493.78	110.05	143.35	196.93	205.96	213.07	352.68	3358.9	44.748	289.95	493.78
Q96P63	242.53	121.92	531.92	683.51	364.95	944.25	1987.3	128.81	466.93	1590.5	242.53	121.92	531.92	683.51	364.95	944.25	1987.3	128.81	466.93	1590.5
Q96QA5	173.29	187.11	257.32	222.87	296.91	322.21	1303.7	49.829	351.24	863.55	173.29	187.11	257.32	222.87	296.91	322.21	1303.7	49.829	351.24	863.55
Q99497	527.76	827.76	695.67	1655.8	666.25	937.54	1670.8	431.99	847.71	12872	527.76	827.76	695.67	1655.8	666.25	937.54	1670.8	431.99	847.71	12872
Q99832	174.99	82.399	193.18	249.65	174.81	234.27	487.12	182.21	254.03	3443.5	174.99	82.399	193.18	249.65	174.81	234.27	487.12	182.21	254.03	3443.5
Q9BPU6	745.06	14358	1679.1	2487.4	2150.6	4326.1	6174.9	1867.1	1321.3	69872	745.06	14358	1679.1	2487.4	2150.6	4326.1	6174.9	1867.1	1321.3	69872
Q9BV40	65.774	59.24	126.09	176.08	117.28	180.48	611.73	95.011	440.25	2192.3	65.774	59.24	126.09	176.08	117.28	180.48	611.73	95.011	440.25	2192.3
Q9GZZ8	393.7	208.03	647.08	799.51	366.41	687.36	683.2	74.934	1028.1	1741.6	393.7	208.03	647.08	799.51	366.41	687.36	683.2	74.934	1028.1	1741.6
Q9HCS4	67.327	0	124.88	202.65	96.193	3318.5	93.307	174.04	432	251.3	67.327	0	124.88	202.65	96.193	3318.5	93.307	174.04	432	251.3
