Protein IDs	Reporter intensity corrected 1	Reporter intensity corrected 2	Reporter intensity corrected 3	Reporter intensity corrected 4	Reporter intensity corrected 5	Reporter intensity corrected 6	Reporter intensity corrected 7	Reporter intensity corrected 8	Reporter intensity corrected 9	Reporter intensity corrected 10	Reporter intensity 1	Reporter intensity 2	Reporter intensity 3	Reporter intensity 4	Reporter intensity 5	Reporter intensity 6	Reporter intensity 7	Reporter intensity 8	Reporter intensity 9	Reporter intensity 10
A6NHQ2	149.31	78.228	92.167	140.88	196.95	97.822	155.11	267.58	317.08	8966.5	149.31	78.228	92.167	140.88	196.95	97.822	155.11	267.58	317.08	8966.5
A6NIE6	1743.6	912.91	2502.1	1264.6	19144	1396.6	2920.5	163.91	3545.4	2758.2	1743.6	912.91	2502.1	1264.6	19144	1396.6	2920.5	163.91	3545.4	2758.2
P62308;A8MWD9	93.06	69.023	63.672	72.877	244.66	106.27	107.99	156.15	182.69	3730	93.06	69.023	63.672	72.877	244.66	106.27	107.99	156.15	182.69	3730
CON__O43790;CON__Q6NT21;CON__P78385;CON__Q14533;CON__P78386;O43790;P78385;P78386;A6NCN2	1249	343.72	2207.6	764.62	2419.9	2545.9	4792.9	360.48	997.98	8823.4	1249	343.72	2207.6	764.62	2419.9	2545.9	4792.9	360.48	997.98	8823.4
CON__P00761;Q9BYE2	116510	268840	133650	249580	278050	202600	230380	24732	244450	392590	116510	268840	133650	249580	278050	202600	230380	24732	244450	392590
CON__P02533;P02533;CON__Q6IFX2;CON__P19012;CON__A2A4G1;P19012;CON__Q61782;CON__Q8N1A0;CON__P35900;CON__Q9D312;Q8N1A0;P35900	18858	8738.5	26347	16069	39639	17864	64593	3590.9	28702	91254	18858	8738.5	26347	16069	39639	17864	64593	3590.9	28702	91254
CON__P02538;P02538;CON__O95678;O95678;CON__Q8VED5;CON__H-INV:HIT000292931	14537	8206	22058	20982	55613	13020	88690	3657.9	26455	97214	14537	8206	22058	20982	55613	13020	88690	3657.9	26455	97214
CON__P02768-1;P02768	1383.6	1088.9	1492.3	4378.6	2148.2	1651.9	1622.9	574.96	3651.3	15534	1383.6	1088.9	1492.3	4378.6	2148.2	1651.9	1622.9	574.96	3651.3	15534
CON__P02769	7484.7	2451.2	4423.5	3404.1	9935.4	7507.3	5366.3	2135.4	9964.9	58128	7484.7	2451.2	4423.5	3404.1	9935.4	7507.3	5366.3	2135.4	9964.9	58128
CON__P04264;CON__H-INV:HIT000016045	961.72	217.98	461.86	682.28	3327.6	363.21	2491.2	0	2482.7	386.15	961.72	217.98	461.86	682.28	3327.6	363.21	2491.2	0	2482.7	386.15
CON__P07477;P07477;Q8NHM4;P07478	1071.4	3965.5	1027.1	1753.7	3610.3	1501.6	1940.7	255.95	2872.5	2965.4	1071.4	3965.5	1027.1	1753.7	3610.3	1501.6	1940.7	255.95	2872.5	2965.4
CON__P08779;P08779;CON__Q9Z2K1;CON__Q3ZAW8	2458	1559.8	2115.5	2430.1	5810.4	1785.3	17749	690.6	3488.8	14007	2458	1559.8	2115.5	2430.1	5810.4	1785.3	17749	690.6	3488.8	14007
CON__P12763	52.742	48.656	115.61	68.663	187.45	63.583	146.32	70.856	84.539	1542.9	52.742	48.656	115.61	68.663	187.45	63.583	146.32	70.856	84.539	1542.9
