Protein IDs	Reporter intensity corrected 1 PNNL SC boost0ng_run3	Reporter intensity corrected 2 PNNL SC boost0ng_run3	Reporter intensity corrected 3 PNNL SC boost0ng_run3	Reporter intensity corrected 4 PNNL SC boost0ng_run3	Reporter intensity corrected 5 PNNL SC boost0ng_run3	Reporter intensity corrected 6 PNNL SC boost0ng_run3	Reporter intensity corrected 7 PNNL SC boost0ng_run3	Reporter intensity corrected 8 PNNL SC boost0ng_run3	Reporter intensity corrected 9 PNNL SC boost0ng_run3	Reporter intensity corrected 10 PNNL SC boost0ng_run3	Reporter intensity 1 PNNL SC boost0ng_run3	Reporter intensity 2 PNNL SC boost0ng_run3	Reporter intensity 3 PNNL SC boost0ng_run3	Reporter intensity 4 PNNL SC boost0ng_run3	Reporter intensity 5 PNNL SC boost0ng_run3	Reporter intensity 6 PNNL SC boost0ng_run3	Reporter intensity 7 PNNL SC boost0ng_run3	Reporter intensity 8 PNNL SC boost0ng_run3	Reporter intensity 9 PNNL SC boost0ng_run3	Reporter intensity 10 PNNL SC boost0ng_run3
CON__P13645;P13645;CON__P02535-1;Q7Z3Y7;CON__P08730-1;CON__Q7Z3Y7;CON__Q148H6;CON__Q14525;CON__Q2M2I5;CON__REFSEQ:XP_986630;CON__Q3ZAW8;CON__Q92764;CON__O76014;CON__O76013;CON__Q7Z3Z0;CON__Q7Z3Y8;CON__O76015;CON__Q497I4;CON__Q9Z2K1;CON__Q15323;CON__A2AB72;CON__Q14532;Q14525;O76014;Q7Z3Y8;Q14532;O76013;Q92764;P05783;Q7Z3Z0;Q15323;Q2M2I5;CON__P05784;CON__Q9UE12;CON__A2A5Y0;O76015	36660	43733	48122	47193	105140	45037	1563300	53338	109760	2069	36660	43733	48122	47193	105140	45037	1563300	53338	109760	2069
CON__P13647;P13647;CON__P48668;CON__P04259;CON__P02538;P48668;P02538;P04259;CON__Q8VED5;CON__Q5XKE5;CON__O95678;Q5XKE5;O95678	6226.6	9381.8	11219	10496	19881	8624.7	147060	8092.2	13295	308.77	6226.6	9381.8	11219	10496	19881	8624.7	147060	8092.2	13295	308.77
CON__P34955	12808	10404	13885	20589	26318	25071	15992	13153	12100	0	12808	10404	13885	20589	26318	25071	15992	13153	12100	0
CON__P35527;P35527	17170	9208	20116	14530	18576	15247	106260	10786	14447	254.29	17170	9208	20116	14530	18576	15247	106260	10786	14447	254.29
CON__Q29443;CON__Q0IIK2	3767.6	2231.5	2977.1	4151.4	6275.6	5503.4	6576.1	2849.9	3293.7	0	3767.6	2231.5	2977.1	4151.4	6275.6	5503.4	6576.1	2849.9	3293.7	0
CON__Q3ZBD7;P06744	2908.4	1132.1	2576	3198.7	3331.9	3112.6	3002.4	2053.3	2161.8	0	2908.4	1132.1	2576	3198.7	3331.9	3112.6	3002.4	2053.3	2161.8	0
Q13765;E9PAV3	5549	5935.7	7490.7	8791.9	7873.8	7635.7	7456.3	5942	5436.6	653.98	5549	5935.7	7490.7	8791.9	7873.8	7635.7	7456.3	5942	5436.6	653.98
O00148;Q13838	1791.7	1518.7	1517.4	2361.4	4195.1	2662	6709.6	1562.2	2179.1	0	1791.7	1518.7	1517.4	2361.4	4195.1	2662	6709.6	1562.2	2179.1	0
O00299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P19105;O14950;P24844	9334.4	5515.9	12103	16746	23683	17698	7686.8	4190.4	7299.3	376.91	9334.4	5515.9	12103	16746	23683	17698	7686.8	4190.4	7299.3	376.91
Q14103;O14979	13127	8206	13168	9290.8	17379	14226	9899.9	5820	5291.4	628.29	13127	8206	13168	9290.8	17379	14226	9899.9	5820	5291.4	628.29
O15042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O43175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O43707;P12814;P35609;Q08043	7597.1	4037	8903.4	10349	13663	10669	11178	7181.9	7693	317.64	7597.1	4037	8903.4	10349	13663	10669	11178	7181.9	7693	317.64
Q99879;Q99877;Q93079;Q5QNW6;P62807;P58876;P57053;O60814;Q16778;P33778;P23527;P06899;Q6DRA6;Q6DN03	12727	10530	14876	12559	17976	12673	12650	9385.9	10028	585.99	12727	10530	14876	12559	17976	12673	12650	9385.9	10028	585.99
O75531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P00338;Q6ZMR3;P07864;P07195	12033	8112.4	10573	12011	10302	11844	22032	10067	10286	223.24	12033	8112.4	10573	12011	10302	11844	22032	10067	10286	223.24
P00558;P07205	2582.2	2868.7	3994.9	3596.1	10946	3465.1	3613.2	1638.7	2361.7	146.94	2582.2	2868.7	3994.9	3596.1	10946	3465.1	3613.2	1638.7	2361.7	146.94
P02452	5344.7	2807.3	5380.6	14583	29717	21406	14525	3139.3	4351.5	280.8	5344.7	2807.3	5380.6	14583	29717	21406	14525	3139.3	4351.5	280.8
P02545;P20700;Q03252	7610.5	5028.3	7264	9042.8	11686	9351.7	12742	10007	11799	0	7610.5	5028.3	7264	9042.8	11686	9351.7	12742	10007	11799	0
P04075	6940.5	5082.1	8142.4	8444.2	9604.4	8794.4	9826.2	6193.8	8426.3	423.51	6940.5	5082.1	8142.4	8444.2	9604.4	8794.4	9826.2	6193.8	8426.3	423.51
P04083	15450	10548	20744	29794	27244	37159	21287	8167.5	10090	964.27	15450	10548	20744	29794	27244	37159	21287	8167.5	10090	964.27
P04264;CON__P04264;CON__Q6IFZ6;CON__Q3TTY5;CON__H-INV:HIT000016045;CON__P05787;CON__Q9R0H5;CON__Q6NXH9;CON__Q7Z794;P05787;Q7Z794	69487	68094	131310	81980	195470	66906	4584200	85957	222400	3424.3	69487	68094	131310	81980	195470	66906	4584200	85957	222400	3424.3
P04406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P04626	23279	28207	26846	26306	34649	37321	42741	38145	29737	1984.7	23279	28207	26846	26306	34649	37321	42741	38145	29737	1984.7
Q99878;Q96KK5;Q9BTM1;Q16777;Q93077;Q7L7L0;Q6FI13;P20671;P0C0S8;P04908;Q8IUE6;Q96QV6;P16104;REV__Q8NB25	70230	60921	66437	66606	129380	76703	66469	59617	49824	2186.7	70230	60921	66437	66606	129380	76703	66469	59617	49824	2186.7
P05091	2251.2	847.48	1340.2	1928.2	2888.6	2343.1	2115.4	1019.8	820.48	0	2251.2	847.48	1340.2	1928.2	2888.6	2343.1	2115.4	1019.8	820.48	0
P05141;Q9H0C2	19828	12708	21698	37517	45158	34759	34654	20997	23564	2674	19828	12708	21698	37517	45158	34759	34654	20997	23564	2674
P05387	5726.6	3755.5	6940	8930.5	14237	12705	8875.3	7564.5	7438.5	765.61	5726.6	3755.5	6940	8930.5	14237	12705	8875.3	7564.5	7438.5	765.61
Q8NHW5;P05388	1626.3	1089.4	1712.1	2054.3	3419.8	2799.5	3161.4	1555	1315.4	532.09	1626.3	1089.4	1712.1	2054.3	3419.8	2799.5	3161.4	1555	1315.4	532.09
P05455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P06454	7066.2	4741.4	7834.9	13067	14999	14958	12948	10421	7965.4	474.53	7066.2	4741.4	7834.9	13067	14999	14958	12948	10421	7965.4	474.53
P06576	12125	8774.4	13511	16971	22985	16824	19282	7539.2	9110.4	1034.7	12125	8774.4	13511	16971	22985	16824	19282	7539.2	9110.4	1034.7
P06702	1485.9	2123.9	1731.2	2510.5	4173.6	1797	3521.5	1793	1740.7	0	1485.9	2123.9	1731.2	2510.5	4173.6	1797	3521.5	1793	1740.7	0
P06703	1759.9	1196.2	2701.9	3612.7	4356.6	2808.5	2275	985.56	1426.1	0	1759.9	1196.2	2701.9	3612.7	4356.6	2808.5	2275	985.56	1426.1	0
P06733;P13929	18809	10338	25772	14351	18322	15002	23740	14687	16530	604.97	18809	10338	25772	14351	18322	15002	23740	14687	16530	604.97
P06748	20289	19944	38923	65634	83795	62027	47330	28709	32141	1407.2	20289	19944	38923	65634	83795	62027	47330	28709	32141	1407.2
P07237	759.01	1007	1517.5	1362.4	2279.7	1731.7	3588.9	730.6	908.6	0	759.01	1007	1517.5	1362.4	2279.7	1731.7	3588.9	730.6	908.6	0
P07355;A6NMY6	9816.8	7500.5	14852	10752	25781	17338	17777	7100.5	7411.3	488.69	9816.8	7500.5	14852	10752	25781	17338	17777	7100.5	7411.3	488.69
P07437;Q9BVA1;Q13885;P68371;P04350;CON__ENSEMBL:ENSBTAP00000025008;Q3ZCM7;A6NNZ2;Q9BUF5;Q9H4B7	28790	23427	36649	48768	68422	64962	49405	21573	21853	2781.1	28790	23427	36649	48768	68422	64962	49405	21573	21853	2781.1
P07900;Q14568;Q58FF6;Q58FG0;Q58FG1	6642.3	3138.6	5796.7	6525.8	12351	5621.3	34884	3278.7	3303.4	195.23	6642.3	3138.6	5796.7	6525.8	12351	5621.3	34884	3278.7	3303.4	195.23
P08238;Q58FF7	88547	50740	82252	117380	146240	120360	84213	53238	60622	2539.3	88547	50740	82252	117380	146240	120360	84213	53238	60622	2539.3
P08243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P08670;P14136;P17661;P41219;Q16352;P07197;P12036	68735	40973	125920	288300	169900	219770	152050	54791	73302	5293.1	68735	40973	125920	288300	169900	219770	152050	54791	73302	5293.1
P08758	6086.7	2919.5	7514.5	7868	10496	7630.9	8786.3	5290.5	5689	0	6086.7	2919.5	7514.5	7868	10496	7630.9	8786.3	5290.5	5689	0
P08865	3472.7	3790.4	5403.6	5466.8	7382.2	4973.7	11441	3605.2	4593.2	632.37	3472.7	3790.4	5403.6	5466.8	7382.2	4973.7	11441	3605.2	4593.2	632.37
P09104	4023.7	3674.5	5374.9	2622.8	6016.9	2350.2	3438.5	2602.7	2967	546.83	4023.7	3674.5	5374.9	2622.8	6016.9	2350.2	3438.5	2602.7	2967	546.83
P09382	47485	21878	59386	116590	124990	106830	23977	14861	15105	2856.5	47485	21878	59386	116590	124990	106830	23977	14861	15105	2856.5
P09493;CON__Q3SX28;P07951;P06753	2646.8	1530	4334.8	4839.7	6977.1	6078.4	6431.5	2594	2821.5	0	2646.8	1530	4334.8	4839.7	6977.1	6078.4	6431.5	2594	2821.5	0
P09651;Q32P51	4672.7	3730.6	8509.1	4917.6	18919	3908.5	7924.7	2695.8	3766.8	0	4672.7	3730.6	8509.1	4917.6	18919	3908.5	7924.7	2695.8	3766.8	0
P09972	1094.8	348.99	898.06	1275.7	1552.3	974.42	619.18	477.12	785.38	0	1094.8	348.99	898.06	1275.7	1552.3	974.42	619.18	477.12	785.38	0
Q71UI9;P0C0S5	7249.1	6491	9769.6	11841	18218	12490	35222	6464.6	6065.8	0	7249.1	6491	9769.6	11841	18218	12490	35222	6464.6	6065.8	0
P62987;P62979;P0CG47;P0CG48	7687	7514.1	13615	9614.5	17354	11949	8755.6	6957.2	5964.9	352.44	7687	7514.1	13615	9614.5	17354	11949	8755.6	6957.2	5964.9	352.44
Q01105;P0DME0	2161.8	1945.4	1691.7	4370.6	6381.8	4376	6001.8	4724.7	3530.3	0	2161.8	1945.4	1691.7	4370.6	6381.8	4376	6001.8	4724.7	3530.3	0
P0DP25;P0DP24;P0DP23	17536	9370	18944	30959	31664	27965	20321	16245	13888	812.74	17536	9370	18944	30959	31664	27965	20321	16245	13888	812.74
P16403;P10412;P16402;Q02539;P22492	11510	10551	12867	15710	31354	18577	12041	10842	16458	741.04	11510	10551	12867	15710	31354	18577	12041	10842	16458	741.04
P10809	5212.4	3130.9	6234.2	8772.9	10962	10780	11061	4964.6	5208.4	704.92	5212.4	3130.9	6234.2	8772.9	10962	10780	11061	4964.6	5208.4	704.92
P11021	15020	12130	18488	23687	34911	27762	30917	16212	16458	1646.6	15020	12130	18488	23687	34911	27762	30917	16212	16458	1646.6
P11142;P54652;P34931;P0DMV9;P0DMV8;P17066;P48741	127810	63358	112160	154980	195830	174860	139310	101990	101790	4996	127810	63358	112160	154980	195830	174860	139310	101990	101790	4996
Q9H361;P11940	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P12004	4016.5	2590.6	5465.8	3146.8	6427.9	5158.7	5165.1	3389.4	3418.7	0	4016.5	2590.6	5465.8	3146.8	6427.9	5158.7	5165.1	3389.4	3418.7	0
P12236;P12235	2728.1	1380	5315.7	3489.8	10045	2931.2	10269	1682.5	1296.7	326.45	2728.1	1380	5315.7	3489.8	10045	2931.2	10269	1682.5	1296.7	326.45
P13639	10479	8005.2	14871	15011	28228	20076	19608	10110	11670	487.88	10479	8005.2	14871	15011	28228	20076	19608	10110	11670	487.88
P13667	2256.1	4160.5	4240.6	3228.3	5209.9	3323.7	4065.9	1533.1	2526	310.3	2256.1	4160.5	4240.6	3228.3	5209.9	3323.7	4065.9	1533.1	2526	310.3
P13796;Q14651;P13797	2417.9	2473.3	2450.7	2804.7	4316.1	3642	6663.6	7849.7	6489.6	0	2417.9	2473.3	2450.7	2804.7	4316.1	3642	6663.6	7849.7	6489.6	0
P14618;P30613	33685	27147	42700	44068	51871	49968	70855	52869	47551	2697	33685	27147	42700	44068	51871	49968	70855	52869	47551	2697
P14625;Q58FF3	12968	9703	19487	16328	28324	20853	16296	10604	13681	1228.2	12968	9703	19487	16328	28324	20853	16296	10604	13681	1228.2
P14866	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P63000;P15153	2920.9	1768.1	5912	3449.5	7801.7	5229.2	5079	3586.6	3438.3	204.04	2920.9	1768.1	5912	3449.5	7801.7	5229.2	5079	3586.6	3438.3	204.04
P16401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P16949;Q93045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P18077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P18124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P18669	11769	7112	11333	10422	12071	10273	14877	6817.8	6892.9	0	11769	7112	11333	10422	12071	10273	14877	6817.8	6892.9	0
P19338	27684	17046	24472	36583	56355	50379	39852	24746	27767	2606.6	27684	17046	24472	36583	56355	50379	39852	24746	27767	2606.6
P21333	2109.2	1147	3369.4	2945.6	6778.3	5325.4	5602.3	2027.7	3482.5	353.45	2109.2	1147	3369.4	2945.6	6778.3	5325.4	5602.3	2027.7	3482.5	353.45
P22314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P22626	11112	6730.1	10580	16841	18893	18226	14255	8909.4	9079.3	0	11112	6730.1	10580	16841	18893	18226	14255	8909.4	9079.3	0
P23284	6830.7	2355	9838.2	6064.8	8740.1	6771.8	4172.5	4331.6	3611.9	899.23	6830.7	2355	9838.2	6064.8	8740.1	6771.8	4172.5	4331.6	3611.9	899.23
P23396	8855.4	2873.7	7673.7	10034	12099	12219	7767.9	6268.7	6533.6	0	8855.4	2873.7	7673.7	10034	12099	12219	7767.9	6268.7	6533.6	0
P23528	15963	8102.5	15411	23895	30764	29395	19761	10748	12244	502.63	15963	8102.5	15411	23895	30764	29395	19761	10748	12244	502.63
P24043	2807.9	3314	3961.9	4065.8	5419.3	6015.2	7258.2	5012.9	4563.6	0	2807.9	3314	3961.9	4065.8	5419.3	6015.2	7258.2	5012.9	4563.6	0
P25705	3506.6	2504.9	3378.6	4427.2	8141.2	5865.9	7060.5	2112.9	2766	0	3506.6	2504.9	3378.6	4427.2	8141.2	5865.9	7060.5	2112.9	2766	0
P26038;P35241;P15311	21654	9322.6	24976	41421	36011	32737	17396	12756	14063	0	21654	9322.6	24976	41421	36011	32737	17396	12756	14063	0
P26599	1429.6	1773.2	2860.9	1642.8	3285.5	4289.3	2939.8	3097.5	1615.2	0	1429.6	1773.2	2860.9	1642.8	3285.5	4289.3	2939.8	3097.5	1615.2	0
P26641	2636.6	2376.1	4342.5	4428.6	8205.3	6311.4	7102.7	2965.2	5764.6	0	2636.6	2376.1	4342.5	4428.6	8205.3	6311.4	7102.7	2965.2	5764.6	0
P27348	1146	1087.5	1468.3	2161.1	1856.9	2123.7	987.07	1232.7	604.95	0	1146	1087.5	1468.3	2161.1	1856.9	2123.7	987.07	1232.7	604.95	0
P27797	14219	6001.4	14219	21820	23703	16778	14444	9511.5	9876.3	0	14219	6001.4	14219	21820	23703	16778	14444	9511.5	9876.3	0
P30049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P30050	1520.1	1428.9	1852.7	2630.3	8559.8	3108.1	5625.4	1875	2444.4	0	1520.1	1428.9	1852.7	2630.3	8559.8	3108.1	5625.4	1875	2444.4	0
P30101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P31943;P55795	6795.5	7006.3	8199.6	8150.5	12235	9827.1	8161	5757.3	4948.7	0	6795.5	7006.3	8199.6	8150.5	12235	9827.1	8161	5757.3	4948.7	0
P31949	7876.7	3981.8	10102	12248	16250	17316	9893.8	5730	6284.2	0	7876.7	3981.8	10102	12248	16250	17316	9893.8	5730	6284.2	0
P32969	5639.1	1705.8	4740.9	5860.9	7558.7	7411.3	4393.2	4291.4	3779.3	335.13	5639.1	1705.8	4740.9	5860.9	7558.7	7411.3	4393.2	4291.4	3779.3	335.13
P34897	1755.2	1757.4	2637.7	2406.3	4813.9	2817.4	4193.9	1923.6	1876.7	0	1755.2	1757.4	2637.7	2406.3	4813.9	2817.4	4193.9	1923.6	1876.7	0
P35579;P35749;P12883;P13535;Q9UKX3;Q9Y623;P13533;P12882;P11055;Q9UKX2;A7E2Y1	26038	14925	37802	45670	64375	51018	35935	16973	19744	730.18	26038	14925	37802	45670	64375	51018	35935	16973	19744	730.18
P35580	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P35637	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P36578	6142.7	2443	5291.9	10706	13394	10209	6978.7	5444.9	5961.6	419.32	6142.7	2443	5291.9	10706	13394	10209	6978.7	5444.9	5961.6	419.32
P37802	5211.6	4975.2	7254.8	8089.1	11107	8122.7	4815.8	5788.8	5005.7	0	5211.6	4975.2	7254.8	8089.1	11107	8122.7	4815.8	5788.8	5005.7	0
P38646	4218.2	3211.7	3732.1	4933.5	7325.2	3824.5	5585.8	2825.3	3951.9	0	4218.2	3211.7	3732.1	4933.5	7325.2	3824.5	5585.8	2825.3	3951.9	0
P39019	10477	13352	10196	14524	23237	18466	22657	10858	10301	635.62	10477	13352	10196	14524	23237	18466	22657	10858	10301	635.62
P40926	3540.6	3191.2	3365.3	4647.8	5569.2	4230.5	6388.5	1748.4	2228	0	3540.6	3191.2	3365.3	4647.8	5569.2	4230.5	6388.5	1748.4	2228	0
P42766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P45880	9598.4	4315.7	9304	8363.8	23843	9889.5	19432	5846.8	6917.4	1030.2	9598.4	4315.7	9304	8363.8	23843	9889.5	19432	5846.8	6917.4	1030.2
P46778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P46781	2947.6	1911.8	3293.1	3950.7	4667.2	4017.3	3691.8	3191.9	2768.5	0	2947.6	1911.8	3293.1	3950.7	4667.2	4017.3	3691.8	3191.9	2768.5	0
P46782	3141.6	2269.9	3694.8	5713.7	8757.1	5977.3	6177.4	3448.8	3635.5	0	3141.6	2269.9	3694.8	5713.7	8757.1	5977.3	6177.4	3448.8	3635.5	0
P46783	13190	10413	13280	13907	23239	20659	18774	16836	16131	904.46	13190	10413	13280	13907	23239	20659	18774	16836	16131	904.46
P46940	469.57	829.12	1058.2	1005.5	1283.7	1595.6	1052.7	884.94	1136.1	0	469.57	829.12	1058.2	1005.5	1283.7	1595.6	1052.7	884.94	1136.1	0
P49207	4406.8	1272.5	3838.5	5062	7379.6	6083.7	13088	3076.7	3337.3	0	4406.8	1272.5	3838.5	5062	7379.6	6083.7	13088	3076.7	3337.3	0
P49721	2558.2	1451.6	2126.8	3749.6	3462.5	3372.8	5006.5	2710.3	2165.7	0	2558.2	1451.6	2126.8	3749.6	3462.5	3372.8	5006.5	2710.3	2165.7	0
P50454	6772.4	2438.3	6465.5	5720.3	11488	7555.3	2249.7	1361.9	830.33	536.69	6772.4	2438.3	6465.5	5720.3	11488	7555.3	2249.7	1361.9	830.33	536.69
P50914	3983.6	2659.8	5255.1	6396.7	7332.3	6994.5	5414.2	3907.5	4100	375.73	3983.6	2659.8	5255.1	6396.7	7332.3	6994.5	5414.2	3907.5	4100	375.73
P50990	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P50991	1538.1	4061.7	2482	3917.9	6049.6	4438.7	5975.4	1991.1	2519.7	0	1538.1	4061.7	2482	3917.9	6049.6	4438.7	5975.4	1991.1	2519.7	0
P52565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P52597	1456.6	1199.6	2237.7	2677.2	3791.5	2958.7	3048.6	1945	1358	0	1456.6	1199.6	2237.7	2677.2	3791.5	2958.7	3048.6	1945	1358	0
P53675;Q00610	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P54136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P55072	3064.8	1826	2905.5	3242.3	4317	3656	2890.5	1918	2329.3	0	3064.8	1826	2905.5	3242.3	4317	3656	2890.5	1918	2329.3	0
Q6EEV6;P61956;P55854	2519.1	2599.8	3967.8	4194.6	5376.1	3692.7	2528.7	1896.5	2629.8	0	2519.1	2599.8	3967.8	4194.6	5376.1	3692.7	2528.7	1896.5	2629.8	0
P60174	8179.6	6429	11265	12184	10435	12347	9156.3	5409.9	6279.4	523.25	8179.6	6429	11265	12184	10435	12347	9156.3	5409.9	6279.4	523.25
P60660;P14649	6010	3862.8	8364.2	8057.9	13921	10853	6746.6	3758.7	3616.3	0	6010	3862.8	8364.2	8057.9	13921	10853	6746.6	3758.7	3616.3	0
P63261;P60709;P63267;P68133;P68032;P62736;Q562R1;Q6S8J3;A5A3E0;P0CG38;Q9BYX7;P0CG39	47056	27863	55771	75478	106780	79270	59301	36221	40797	4756	47056	27863	55771	75478	106780	79270	59301	36221	40797	4756
P60842;Q14240	11565	8324.5	12344	16961	25039	20794	17619	11511	12665	0	11565	8324.5	12344	16961	25039	20794	17619	11511	12665	0
P60866	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P61247	10107	4269.5	9553.5	14792	18381	16402	13979	8916.5	9576.1	348.41	10107	4269.5	9553.5	14792	18381	16402	13979	8916.5	9576.1	348.41
P61313	1194.7	1050.3	2465.6	1615.8	2629	2981.4	2291.3	1383.8	1929.8	0	1194.7	1050.3	2465.6	1615.8	2629	2981.4	2291.3	1383.8	1929.8	0
P61353	6798.1	3624.5	5827.8	8519.3	11970	9658.1	7738.9	5627.5	6015.1	0	6798.1	3624.5	5827.8	8519.3	11970	9658.1	7738.9	5627.5	6015.1	0
P61604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P61978	3060	1313.5	3162.1	3551.5	5728	3589.1	4294.8	2272.6	2377.5	0	3060	1313.5	3162.1	3551.5	5728	3589.1	4294.8	2272.6	2377.5	0
P61981	3452.6	1939.5	2730.2	5454	4935.5	5107.4	4098.7	2253.5	3655.9	341.16	3452.6	1939.5	2730.2	5454	4935.5	5107.4	4098.7	2253.5	3655.9	341.16
P62081	5614.5	2171.9	6491.7	7655	10422	8782.7	9236.3	4778	5660.8	905.15	5614.5	2171.9	6491.7	7655	10422	8782.7	9236.3	4778	5660.8	905.15
P62241	6809.2	4450.6	9037.7	10060	12126	14968	10805	8647.4	7642.7	374.86	6809.2	4450.6	9037.7	10060	12126	14968	10805	8647.4	7642.7	374.86
P62249	14236	19781	15194	8789.2	18344	17528	12113	10104	9975.4	500.52	14236	19781	15194	8789.2	18344	17528	12113	10104	9975.4	500.52
P62258	1733.1	973.52	2168.9	3332.1	4101.4	3535.5	2259.2	1251.4	1317.7	0	1733.1	973.52	2168.9	3332.1	4101.4	3535.5	2259.2	1251.4	1317.7	0
P62269	11975	5452.7	13784	15918	23431	19745	14071	10327	11709	884.01	11975	5452.7	13784	15918	23431	19745	14071	10327	11709	884.01
P62280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P62316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
