Protein IDs	Reporter intensity corrected 1 PNNL SC boost0ng_run3	Reporter intensity corrected 2 PNNL SC boost0ng_run3	Reporter intensity corrected 3 PNNL SC boost0ng_run3	Reporter intensity corrected 4 PNNL SC boost0ng_run3	Reporter intensity corrected 5 PNNL SC boost0ng_run3	Reporter intensity corrected 6 PNNL SC boost0ng_run3	Reporter intensity corrected 7 PNNL SC boost0ng_run3	Reporter intensity corrected 8 PNNL SC boost0ng_run3	Reporter intensity corrected 9 PNNL SC boost0ng_run3	Reporter intensity corrected 10 PNNL SC boost0ng_run3	Reporter intensity 1 PNNL SC boost0ng_run3	Reporter intensity 2 PNNL SC boost0ng_run3	Reporter intensity 3 PNNL SC boost0ng_run3	Reporter intensity 4 PNNL SC boost0ng_run3	Reporter intensity 5 PNNL SC boost0ng_run3	Reporter intensity 6 PNNL SC boost0ng_run3	Reporter intensity 7 PNNL SC boost0ng_run3	Reporter intensity 8 PNNL SC boost0ng_run3	Reporter intensity 9 PNNL SC boost0ng_run3	Reporter intensity 10 PNNL SC boost0ng_run3
A6NE01	4188.4	6941.8	7916.6	3189.7	8829.4	4004.7	6473.5	4157.3	4862.2	300.93	4188.4	6941.8	7916.6	3189.7	8829.4	4004.7	6473.5	4157.3	4862.2	300.93
P22087;A6NHQ2	1366.1	1554.9	1880.4	2256.8	4098.4	2646.5	3676.2	1109.4	2186.9	0	1366.1	1554.9	1880.4	2256.8	4098.4	2646.5	3676.2	1109.4	2186.9	0
CON__ENSEMBL:ENSBTAP00000024146;P01023	6225.6	6948.6	8235.7	13063	25520	13835	11601	5045.7	5778.2	682.41	6225.6	6948.6	8235.7	13063	25520	13835	11601	5045.7	5778.2	682.41
CON__ENSEMBL:ENSBTAP00000038253;CON__REFSEQ:XP_932229;CON__P07744;CON__P12035;CON__Q01546;P12035;Q01546	3515.5	1684.2	2210.5	2701.5	4665.2	2707.6	33570	2028.2	1832.4	0	3515.5	1684.2	2210.5	2701.5	4665.2	2707.6	33570	2028.2	1832.4	0
CON__P00761	2388200	2850200	2590400	2767900	3243700	3633900	3356500	3283500	2905300	107830	2388200	2850200	2590400	2767900	3243700	3633900	3356500	3283500	2905300	107830
CON__P02533;P02533;CON__Q04695;CON__Q9QWL7;CON__Q6IFX2;Q04695;CON__P19012;CON__P08779;P19012;P08779;CON__P08727;CON__P19001;CON__A2A4G1;P08727;CON__Q61782	8578.9	6231.2	11591	11422	16941	11551	127580	9498.5	13573	632.9	8578.9	6231.2	11591	11422	16941	11551	127580	9498.5	13573	632.9
CON__P02584	4986.6	4219.2	8030.6	7562.2	11834	11454	9691	6928.7	7617.8	758.09	4986.6	4219.2	8030.6	7562.2	11834	11454	9691	6928.7	7617.8	758.09
CON__P02769;CON__P02768-1;P02768	68560	70005	79267	102230	163500	161390	145280	73668	75287	4222.3	68560	70005	79267	102230	163500	161390	145280	73668	75287	4222.3
CON__P07477;Q8NHM4;P07478;P07477	7657.7	10632	8379.5	14460	17485	21619	25152	23626	23132	882.7	7657.7	10632	8379.5	14460	17485	21619	25152	23626	23132	882.7
CON__P12763;P02765	73014	96814	87020	95909	144990	115030	165110	68024	90912	2264.5	73014	96814	87020	95909	144990	115030	165110	68024	90912	2264.5
