Protein IDs	Reporter intensity corrected 1	Reporter intensity corrected 2	Reporter intensity corrected 3	Reporter intensity corrected 4	Reporter intensity corrected 5	Reporter intensity corrected 6	Reporter intensity corrected 7	Reporter intensity corrected 8	Reporter intensity corrected 9	Reporter intensity corrected 10	Reporter intensity 1	Reporter intensity 2	Reporter intensity 3	Reporter intensity 4	Reporter intensity 5	Reporter intensity 6	Reporter intensity 7	Reporter intensity 8	Reporter intensity 9	Reporter intensity 10
CON__A2I7N3;CON__REFSEQ:XP_001252647;CON__A2I7N1	83.875	128.95	107.85	138.74	121.26	195.23	85.501	85.349	125.9	1461.9	83.875	128.95	107.85	138.74	121.26	195.23	85.501	85.349	125.9	1461.9
CON__ENSEMBL:ENSBTAP00000016046;P23142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CON__ENSEMBL:ENSBTAP00000018229;CON__Q3MHN5	107.97	169.71	310.45	240.49	195.12	262.52	163.72	353.53	269.91	6322.2	107.97	169.71	310.45	240.49	195.12	262.52	163.72	353.53	269.91	6322.2
CON__ENSEMBL:ENSBTAP00000024146;P01023;P20742	747.05	1381.9	964.71	1656.2	1312.4	2210.9	849.14	1737.6	1373.9	33300	747.05	1381.9	964.71	1656.2	1312.4	2210.9	849.14	1737.6	1373.9	33300
CON__ENSEMBL:ENSBTAP00000038253	197.18	519.82	230.65	265.75	187.7	580.35	194.25	82.66	337.41	1010.2	197.18	519.82	230.65	265.75	187.7	580.35	194.25	82.66	337.41	1010.2
CON__ENSEMBL:ENSBTAP00000038329	39.825	93.103	66.809	153.04	120.47	97.49	76.887	51.035	85.475	1494.1	39.825	93.103	66.809	153.04	120.47	97.49	76.887	51.035	85.475	1494.1
CON__P00761;Q9BYE2	106580	136040	123400	79847	128160	91324	132660	18687	131210	380660	106580	136040	123400	79847	128160	91324	132660	18687	131210	380660
CON__P01045-1;CON__Q2KJ62;CON__P01044-1	34.746	79.185	51.621	202.69	96.953	166.35	44.496	99.634	75.156	2054.1	34.746	79.185	51.621	202.69	96.953	166.35	44.496	99.634	75.156	2054.1
P02533;CON__P02533;CON__Q61782	9994.1	58322	9607.6	16303	11111	74744	5969.6	7736.8	11141	94986	9994.1	58322	9607.6	16303	11111	74744	5969.6	7736.8	11141	94986
P02538;CON__P02538;CON__Q8VED5	10646	90317	8495.5	26413	16935	171910	5380.7	11787	13070	95557	10646	90317	8495.5	26413	16935	171910	5380.7	11787	13070	95557
CON__P02768-1;P02768	447.98	734.79	539.05	646.13	530.17	1114.2	510.01	255.62	795.37	3949.3	447.98	734.79	539.05	646.13	530.17	1114.2	510.01	255.62	795.37	3949.3
CON__P02769	4449.7	6180	13452	9429.9	16172	10420	7078.1	11933	11935	233920	4449.7	6180	13452	9429.9	16172	10420	7078.1	11933	11935	233920
CON__P04259	116.68	1529.9	197.14	333.74	237.47	2088.3	171.64	90.59	179.41	1540.7	116.68	1529.9	197.14	333.74	237.47	2088.3	171.64	90.59	179.41	1540.7
CON__P07477;P07477;Q8NHM4;P07478	1170.4	2671.3	1665.3	1460.4	1869.9	1413.5	1493.8	341.07	1838.6	6432.1	1170.4	2671.3	1665.3	1460.4	1869.9	1413.5	1493.8	341.07	1838.6	6432.1
CON__P08779;P08779;CON__Q9Z2K1;CON__Q3ZAW8	6497.6	47638	4093.7	20034	4718.1	46682	3113.2	4544.6	5309.4	42191	6497.6	47638	4093.7	20034	4718.1	46682	3113.2	4544.6	5309.4	42191
CON__P12763	918.23	1909.3	1458.1	4268.7	2043	2813.8	1031.6	3989.4	1907.1	86691	918.23	1909.3	1458.1	4268.7	2043	2813.8	1031.6	3989.4	1907.1	86691
CON__P13645;P13645;CON__P02535-1;CON__Q7Z3Y7;Q7Z3Y7;CON__Q2M2I5;CON__Q7Z3Y8;Q7Z3Y8;CON__Q148H6;Q2M2I5;Q99456;Q7Z3Z0;CON__Q7Z3Z0;CON__P05784;CON__Q99456;CON__Q14532;CON__REFSEQ:XP_986630;CON__A2AB72;CON__Q497I4;CON__O76015;CON__Q14525;CON__Q92764;CON__Q9UE12;CON__O76013;CON__Q7Z3Y9;CON__A2A5Y0;CON__Q15323;Q15323;P05783;Q14532;O76014;Q92764;O76013;Q7Z3Y9;Q14525;CON__O76014;O76015	55577	108970	67157	61646	136490	207590	39489	23510	72269	350400	55577	108970	67157	61646	136490	207590	39489	23510	72269	350400
CON__P13647;P13647	7266.9	20347	9970.9	10151	12449	39329	6034.6	4187.9	10820	49187	7266.9	20347	9970.9	10151	12449	39329	6034.6	4187.9	10820	49187
CON__P15497	835.28	1443.2	1297.1	1713.5	1082.5	2367.1	775.87	2444.6	1669.2	40902	835.28	1443.2	1297.1	1713.5	1082.5	2367.1	775.87	2444.6	1669.2	40902
CON__P17690	79.849	169.1	126.16	213.67	153.74	164.06	97.903	132.3	121.17	2088.2	79.849	169.1	126.16	213.67	153.74	164.06	97.903	132.3	121.17	2088.2
CON__P20930;P20930	235.71	618.52	466	664.56	405.43	944.02	267.47	78.551	258.43	1882.3	235.71	618.52	466	664.56	405.43	944.02	267.47	78.551	258.43	1882.3
CON__P28800	132.57	256.56	307.05	273.09	264.26	315.41	170.49	231.05	286.63	3690.5	132.57	256.56	307.05	273.09	264.26	315.41	170.49	231.05	286.63	3690.5
CON__P34955	1584.5	3281.8	2488.9	5116.8	2429.6	4839.7	1580.5	6963.9	3560.4	145540	1584.5	3281.8	2488.9	5116.8	2429.6	4839.7	1580.5	6963.9	3560.4	145540
CON__P35908v2;P35908;CON__P35908;CON__Q9R0H5;CON__Q6NXH9;CON__P19013;P19013	24608	49803	28571	26206	32104	60393	19224	10821	36153	192260	24608	49803	28571	26206	32104	60393	19224	10821	36153	192260
CON__P48668;P48668	208.36	2593.7	303.72	422.27	295.29	1607.2	199.48	189.21	417.22	2968.7	208.36	2593.7	303.72	422.27	295.29	1607.2	199.48	189.21	417.22	2968.7
