Protein IDs	Reporter intensity corrected 1 PNNL SC boost0ng_run2	Reporter intensity corrected 2 PNNL SC boost0ng_run2	Reporter intensity corrected 3 PNNL SC boost0ng_run2	Reporter intensity corrected 4 PNNL SC boost0ng_run2	Reporter intensity corrected 5 PNNL SC boost0ng_run2	Reporter intensity corrected 6 PNNL SC boost0ng_run2	Reporter intensity corrected 7 PNNL SC boost0ng_run2	Reporter intensity corrected 8 PNNL SC boost0ng_run2	Reporter intensity corrected 9 PNNL SC boost0ng_run2	Reporter intensity corrected 10 PNNL SC boost0ng_run2	Reporter intensity 1 PNNL SC boost0ng_run2	Reporter intensity 2 PNNL SC boost0ng_run2	Reporter intensity 3 PNNL SC boost0ng_run2	Reporter intensity 4 PNNL SC boost0ng_run2	Reporter intensity 5 PNNL SC boost0ng_run2	Reporter intensity 6 PNNL SC boost0ng_run2	Reporter intensity 7 PNNL SC boost0ng_run2	Reporter intensity 8 PNNL SC boost0ng_run2	Reporter intensity 9 PNNL SC boost0ng_run2	Reporter intensity 10 PNNL SC boost0ng_run2
P50454	5544.8	4116.6	5623.8	9733.6	11689	11498	22583	19284	21359	9679.7	5544.8	4116.6	5623.8	9733.6	11689	11498	22583	19284	21359	9679.7
Q8IZP2;Q8NFI4;P50502	2316.9	2774	2604.6	3944.3	4524.5	2509.3	4600.5	6098.6	6202	1542	2316.9	2774	2604.6	3944.3	4524.5	2509.3	4600.5	6098.6	6202	1542
P50914	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P50990	4386.8	2713.5	5033.9	5729.1	5050.5	2108.9	5931.6	5946	5933.1	1500.5	4386.8	2713.5	5033.9	5729.1	5050.5	2108.9	5931.6	5946	5933.1	1500.5
P52209	1422.5	1070.8	1982.3	1988.5	1333.4	757.57	2144.4	1402.7	1826.7	347.41	1422.5	1070.8	1982.3	1988.5	1333.4	757.57	2144.4	1402.7	1826.7	347.41
P52597	17513	9629.7	16500	15711	15530	9567.4	17469	17846	16214	14991	17513	9629.7	16500	15711	15530	9567.4	17469	17846	16214	14991
P53999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P54136	3345.4	2067.2	3468.1	2986.8	2622.5	1743.6	5510.3	6252.1	7830.3	528.73	3345.4	2067.2	3468.1	2986.8	2622.5	1743.6	5510.3	6252.1	7830.3	528.73
P55072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q99733;P55209	1583.6	1958.1	3420.9	2164.5	3406.6	1282.6	3228.4	2681.8	2243.6	1578.9	1583.6	1958.1	3420.9	2164.5	3406.6	1282.6	3228.4	2681.8	2243.6	1578.9
P60174	7158.8	4368.5	7837.8	10459	11279	7715.6	13371	12594	13396	5382.4	7158.8	4368.5	7837.8	10459	11279	7715.6	13371	12594	13396	5382.4
P60660	2673.7	1496.2	2253.2	2492	2197.9	2023.8	3741.3	6042	6788.8	2398.6	2673.7	1496.2	2253.2	2492	2197.9	2023.8	3741.3	6042	6788.8	2398.6
P63261;P60709;Q6S8J3;A5A3E0;Q562R1;P0CG38;Q9BYX7;P0CG39	58937	37336	59456	80203	56406	40711	111090	132790	110030	76672	58937	37336	59456	80203	56406	40711	111090	132790	110030	76672
P60842;Q14240;P38919	13751	8032.8	15052	11298	14391	9624.6	22522	18108	18118	2575.8	13751	8032.8	15052	11298	14391	9624.6	22522	18108	18118	2575.8
P60866	1293.4	1964.1	2492.2	1478.1	1831	893.25	3006.7	2332.5	2210.9	1076.9	1293.4	1964.1	2492.2	1478.1	1831	893.25	3006.7	2332.5	2210.9	1076.9
P60900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P84085;P84077;P61204;P18085	6225.7	3912.2	5626.6	6315.6	5915	5358.3	8383.2	11358	7856.4	2558.5	6225.7	3912.2	5626.6	6315.6	5915	5358.3	8383.2	11358	7856.4	2558.5
P61247	21305	13918	24374	23427	22924	15231	32372	34186	30426	13495	21305	13918	24374	23427	22924	15231	32372	34186	30426	13495
P61313	5425	4182.7	7651.8	9062.7	7262.1	4014.8	9313.2	11439	10296	3078.7	5425	4182.7	7651.8	9062.7	7262.1	4014.8	9313.2	11439	10296	3078.7
P61353	3555.5	4236	5179.8	4114.9	5813.9	3025	7564.3	5281.4	6248.5	1896.2	3555.5	4236	5179.8	4114.9	5813.9	3025	7564.3	5281.4	6248.5	1896.2
P61513	475.37	283.17	390.87	529.93	600.6	573.71	1104.3	1260.1	1045.8	215	475.37	283.17	390.87	529.93	600.6	573.71	1104.3	1260.1	1045.8	215
P61604	15717	10270	14082	13315	11625	11992	19789	21299	20583	4217.8	15717	10270	14082	13315	11625	11992	19789	21299	20583	4217.8
P61956	3491.2	2117.3	4430.7	4751.1	6308.3	3658.7	5642.1	4519.4	6237.2	2863.4	3491.2	2117.3	4430.7	4751.1	6308.3	3658.7	5642.1	4519.4	6237.2	2863.4
P61978	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P62081	1803.5	1566	3479.3	1953.4	3260.7	1532	4412.1	3252.9	3335.5	471.48	1803.5	1566	3479.3	1953.4	3260.7	1532	4412.1	3252.9	3335.5	471.48
P62241	13694	10229	16052	10511	13462	9817	19263	19120	19322	7172.3	13694	10229	16052	10511	13462	9817	19263	19120	19322	7172.3
P62249	4214.2	2800.4	5753.9	4027.4	4469.2	2992.9	5520.9	6527.3	5601.2	1047.7	4214.2	2800.4	5753.9	4027.4	4469.2	2992.9	5520.9	6527.3	5601.2	1047.7
P62258	1193.5	1001.4	1739.1	2968.4	2265.5	1195.5	3535.9	3352.6	2473.3	0	1193.5	1001.4	1739.1	2968.4	2265.5	1195.5	3535.9	3352.6	2473.3	0
P62263	1090.4	0	787.22	567.1	761.37	309.01	1057.7	1078.9	672.31	0	1090.4	0	787.22	567.1	761.37	309.01	1057.7	1078.9	672.31	0
P62266	10544	7622.8	13135	16407	14976	10668	18121	16890	18711	10237	10544	7622.8	13135	16407	14976	10668	18121	16890	18711	10237
P62269	18140	14088	19457	16319	17390	11072	28224	29274	30448	4251.2	18140	14088	19457	16319	17390	11072	28224	29274	30448	4251.2
P62273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P62277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P62424	2684.1	1393.8	2816.6	2003	2671.7	1654.3	3862.2	5370.9	4130.3	3125	2684.1	1393.8	2816.6	2003	2671.7	1654.3	3862.2	5370.9	4130.3	3125
P62701;Q8TD47;P22090	21748	16056	27984	21433	21801	16867	35350	36682	35256	7218.3	21748	16056	27984	21433	21801	16867	35350	36682	35256	7218.3
P63267;P68133;P68032;P62736	3070	1880.3	3018.2	3125.9	2307.4	1285.7	6697.9	7420.4	14597	1065.4	3070	1880.3	3018.2	3125.9	2307.4	1285.7	6697.9	7420.4	14597	1065.4
P62750	11300	6407	15090	10055	16751	7080.9	27277	14972	14052	3838	11300	6407	15090	10055	16751	7080.9	27277	14972	14052	3838
P62753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P62805	119720	75808	134790	147160	150500	94953	120780	125650	117780	17725	119720	75808	134790	147160	150500	94953	120780	125650	117780	17725
P62826	12109	18148	20350	15973	15880	11788	65712	15961	47107	5695.9	12109	18148	20350	15973	15880	11788	65712	15961	47107	5695.9
P62829	5635	3560.1	6132.9	5708	5199.4	3578.3	10008	9444.1	7618.5	5392.4	5635	3560.1	6132.9	5708	5199.4	3578.3	10008	9444.1	7618.5	5392.4
P62847	8647.6	4409	11240	7938.7	7583.1	5108.7	13256	13358	10988	691.82	8647.6	4409	11240	7938.7	7583.1	5108.7	13256	13358	10988	691.82
P62851	6566.4	7180.4	7869.7	4636.5	6169.9	3681.5	13212	10590	8896.8	1134.7	6566.4	7180.4	7869.7	4636.5	6169.9	3681.5	13212	10590	8896.8	1134.7
P62854	6726.2	4770.8	5530.1	5465.2	7777	4013.7	8649.3	9074.4	7983.2	1539.8	6726.2	4770.8	5530.1	5465.2	7777	4013.7	8649.3	9074.4	7983.2	1539.8
P62857	11981	7015	12172	11055	8056.5	6209.3	14432	16077	13926	3277.9	11981	7015	12172	11055	8056.5	6209.3	14432	16077	13926	3277.9
P62861	5035	3775.6	6496	4542.6	7001.8	2920.1	9485.5	7469	7544.6	1297.8	5035	3775.6	6496	4542.6	7001.8	2920.1	9485.5	7469	7544.6	1297.8
P62899	4838	3031.3	5460.7	3981.4	5637.5	6085	9429	7370.6	7573.7	1478.1	4838	3031.3	5460.7	3981.4	5637.5	6085	9429	7370.6	7573.7	1478.1
P62906	8030.3	5547.6	9670.5	6784	6099.6	5031.6	13296	16305	17267	2305.7	8030.3	5547.6	9670.5	6784	6099.6	5031.6	13296	16305	17267	2305.7
P62910	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P62913	9151.6	5487.8	6678.7	5800	6994.4	5205.2	11190	9209.3	9968.6	964.23	9151.6	5487.8	6678.7	5800	6994.4	5205.2	11190	9209.3	9968.6	964.23
P62917	5855	12891	5989.4	7387.8	5177.5	3916.9	8892	9443.9	9422.2	3318.6	5855	12891	5989.4	7387.8	5177.5	3916.9	8892	9443.9	9422.2	3318.6
P62937;P0DN26;A0A0B4J2A2;A0A075B767;A0A075B759;Q9Y536;F5H284	64339	36889	65766	78369	68881	51355	89301	120670	105000	10233	64339	36889	65766	78369	68881	51355	89301	120670	105000	10233
P63104;Q04917;P31946;P61981	65527	35000	69269	91023	70645	61273	100940	136110	130130	4463.5	65527	35000	69269	91023	70645	61273	100940	136110	130130	4463.5
P63220	478.21	0	647.06	523.94	816.82	582.05	568.37	980.41	454.15	0	478.21	0	647.06	523.94	816.82	582.05	568.37	980.41	454.15	0
P63241;Q9GZV4;Q6IS14	3561.7	3204	5324.8	4009.5	4288	2769	20960	11743	5664.9	827.89	3561.7	3204	5324.8	4009.5	4288	2769	20960	11743	5664.9	827.89
P63244	3406.7	7233.2	4834.8	4369.4	7255.5	5093.9	7458.2	4705.2	15232	1799.3	3406.7	7233.2	4834.8	4369.4	7255.5	5093.9	7458.2	4705.2	15232	1799.3
P67936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P68104;Q5VTE0;Q05639	41159	31679	59052	37967	31701	22598	74184	61344	70773	13993	41159	31679	59052	37967	31701	22598	74184	61344	70773	13993
Q9BQE3;Q71U36;P68363;P0DPH8;P0DPH7;Q6PEY2;P68366;Q9NY65	56074	33625	62280	73762	57325	42827	99053	99723	91946	14519	56074	33625	62280	73762	57325	42827	99053	99723	91946	14519
P68371;P04350;Q3ZCM7;CON__ENSEMBL:ENSBTAP00000025008;A6NNZ2;Q9BUF5;Q9H4B7	2776.1	1340	2629.1	3122.8	2488.3	2454.9	4622	5466.1	5510.4	2334.2	2776.1	1340	2629.1	3122.8	2488.3	2454.9	4622	5466.1	5510.4	2334.2
Q71DI3;Q16695;P84243;P68431;Q6NXT2	96454	55834	102330	126760	112280	66919	91999	86976	85698	33225	96454	55834	102330	126760	112280	66919	91999	86976	85698	33225
P78371	2719.8	1948.8	4201.8	2898.8	4074.8	2278	5741	4341.6	3548.2	320.48	2719.8	1948.8	4201.8	2898.8	4074.8	2278	5741	4341.6	3548.2	320.48
P83731	20919	15107	23102	17559	17505	12390	29786	30954	29728	4241.3	20919	15107	23102	17559	17505	12390	29786	30954	29728	4241.3
P84098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q00325	5741	4277	5788.2	7874.2	7097	4791.8	11073	16459	15025	2377.3	5741	4277	5788.2	7874.2	7097	4791.8	11073	16459	15025	2377.3
Q00610;P53675	5003.4	3537.4	7262.6	6349.1	5030.6	5607.9	13209	11733	13160	3797.4	5003.4	3537.4	7262.6	6349.1	5030.6	5607.9	13209	11733	13160	3797.4
Q00839	3030	5386.1	3417.5	2651.5	5919.9	2556.5	8172.5	3256.2	4877.4	928.07	3030	5386.1	3417.5	2651.5	5919.9	2556.5	8172.5	3256.2	4877.4	928.07
Q02878	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q02930	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
